
[00:00:00.000 --> 00:00:01.080]   That's today's deep question.
[01:17:49.440 --> 01:17:51.560]   The Feynman lectures on computation.
[01:17:52.800 --> 01:17:55.240]   There's a book form collection of a series of lectures
[01:17:55.240 --> 01:17:58.800]   that Richard Feynman gave at Caltech about computation.
[01:17:58.800 --> 01:18:01.240]   And I've pulled from it before for various classes I taught,
[01:18:01.240 --> 01:18:04.200]   but I read that right at the beginning of January
[01:18:04.200 --> 01:18:06.400]   because I didn't teach last semester.
[01:18:06.400 --> 01:18:07.240]   I was on leave.
[01:18:07.240 --> 01:18:08.080]   And then before that was summer.
[01:18:08.080 --> 01:18:11.320]   So I hadn't been in the classroom since May, 2020.
[01:18:11.320 --> 01:18:12.840]   And I wanted to get back in the mood.
[01:18:12.840 --> 01:18:13.680]   So I was like, all right,
[01:18:13.680 --> 01:18:16.040]   I'm gonna read Feynman's lectures on computation.
[01:18:16.040 --> 01:18:18.520]   Just to get back in the computer science,
[01:18:18.520 --> 01:18:20.680]   he pedagogical, Feynman's a physicist,
[01:18:20.680 --> 01:18:21.600]   not a computer scientist.
[01:18:21.600 --> 01:18:23.360]   And he just, so he comes at these things
[01:18:23.360 --> 01:18:25.800]   like with really originality and new takes.
[01:18:25.800 --> 01:18:28.440]   I just thought it would put me back in the mood of,
[01:18:28.440 --> 01:18:30.600]   you know, hey, let's explain things to people
[01:18:30.600 --> 01:18:31.880]   in useful ways.
[01:18:31.880 --> 01:18:32.720]   It was pretty good.
[01:18:32.720 --> 01:18:33.720]   I would say like 50% of the stuff
[01:18:33.720 --> 01:18:38.120]   I really loved reading about, 20% I'd know it so well.
[01:18:38.120 --> 01:18:41.160]   I teach it and the fields advanced since Feynman wrote it.
[01:18:41.160 --> 01:18:42.920]   I'm like, this is like a worst version of it.
[01:18:42.920 --> 01:18:45.280]   And then the other, whatever percent is left
[01:18:45.280 --> 01:18:47.840]   was really just physics stuff I didn't care about.
[01:18:47.840 --> 01:18:51.360]   The stupid reversible circuit stuff.
[01:18:51.360 --> 01:18:52.360]   It's like, I don't need to hear any more
[01:18:52.360 --> 01:18:53.200]   about reversible circuits,
[01:18:53.200 --> 01:18:55.200]   but like his information theory
[01:18:55.200 --> 01:18:57.000]   and coding theory chapter is fantastic.
[01:18:57.000 --> 01:18:57.840]   So there you go.
[01:18:57.840 --> 01:18:58.680]   I don't know how many people will take me up
[01:18:58.680 --> 01:18:59.600]   on that last recommendation,
[01:18:59.600 --> 01:19:01.640]   but the Feynman lectures on computation
[01:19:01.640 --> 01:19:06.760]   doesn't move as fast as coma by Robin Cook.
[01:19:06.760 --> 01:19:09.520]   It's not the similar genre, but I enjoyed it.
[01:19:09.520 --> 01:19:11.080]   All right, I got to run.
[01:19:11.080 --> 01:19:12.920]   Thank you everyone for listening.
[01:19:12.920 --> 01:19:14.800]   If you want to submit your own questions or case studies,
[01:19:14.800 --> 01:19:16.360]   there is a link in the show notes.
[01:19:16.360 --> 01:19:17.800]   If you want to watch what you just heard today,
[01:19:17.800 --> 01:19:19.120]   it's episode 236.
[01:19:19.120 --> 01:19:21.480]   Go to youtube.com/calendarportmedia.
[01:19:21.480 --> 01:19:22.400]   I'll be back next week.
[01:19:22.400 --> 01:19:24.800]   And until then, as always stay deep.
[01:19:25.240 --> 01:19:27.840]   (upbeat music)
[01:19:27.840 --> 01:19:30.440]   (upbeat music)
[01:19:30.480 --> 01:19:33.080]   (upbeat music)
[01:19:33.080 --> 01:19:35.660]   (upbeat music)
[01:19:35.660 --> 01:19:37.140]   (upbeat music)

