
[00:00:00.000 --> 00:00:06.720]   for the vast majority of human existence we've been nomadic and we've done these kind of wider
[01:17:16.080 --> 01:17:21.200]   skinny and it gets swampy down there that's called the isthmus of tehuantepec that's where the olmec are
[01:17:21.760 --> 01:17:27.600]   then you've got the maya to the east of them then you have the valley of oaxaca where the people called
[01:17:27.600 --> 01:17:34.160]   the zapotex they're rising up and then you have the valley of mexico which will eventually become the
[01:17:34.160 --> 01:17:40.080]   aztecs but not for millennia all those areas are interacting with each other
[01:17:40.080 --> 01:17:47.840]   can we just also draw some more lines yeah sure so what is mesoamerica what is south america
[01:17:48.720 --> 01:17:55.280]   uh and what you just said to omics and the the maya like can we just linger on the geography that we're
[01:17:55.280 --> 01:18:01.920]   talking about here in the what is this like a thousand bc um yeah the time period we're talking about
[01:18:01.920 --> 01:18:09.840]   where the the olmec are there a thousand bc is a great uh midpoint of it i'd say it starts about 1800 bce
[01:18:09.840 --> 01:18:20.480]   and by 500 bce the olmec are gone and a whole new wave of civilization and population increase happen
[01:18:20.480 --> 01:18:28.960]   in terms of mesoamerica looking at your map here i'd say about halfway through the chihuahua desert up there
[01:18:28.960 --> 01:18:38.560]   in the top left that's that's about the boundary of uh mesoamerica there's this big desert where almost
[01:18:38.560 --> 01:18:45.680]   nobody lives and once you get north enough you get into the ancestral pueblo people of what's now america
[01:18:45.680 --> 01:18:52.080]   the the four corners area they're not mesoamerican they have different lives where does modern mexico end
[01:18:53.040 --> 01:18:57.520]   modern mexico ends right you know you see the name maya there with the white line around it that's
[01:18:57.520 --> 01:19:04.560]   guatemala so guatemala cuts off most of mexico from central america got it but mesoamerica only goes
[01:19:04.560 --> 01:19:14.000]   about halfway through honduras and then it's really kind of a no man's land uh uh nicaragua costa rica
[01:19:14.000 --> 01:19:21.680]   panama they really uh they're neither they're not mesoamerica they're not south america they're more
[01:19:21.680 --> 01:19:27.440]   south america because they've got some gold there but then basically you get on the other side of panama
[01:19:27.440 --> 01:19:33.280]   and you're you're fully in south america with two distinct groups too you've got the guys that are on
[01:19:33.280 --> 01:19:41.520]   the andes on the west coast and then you have the amazon so the the west the andes is and the amazon are
[01:19:41.520 --> 01:19:47.920]   very distinct so when you say when you refer to the andean region is that referring to the andes and the
[01:19:47.920 --> 01:19:55.520]   amazon or just the andes just the andes the the and the and the coast that to to the pacific there
[01:19:55.520 --> 01:20:04.080]   that's that's andean civilization so did maya make it to the andes the andean region not that archaeology
[01:20:04.080 --> 01:20:09.840]   can prove but it's almost certain that they interact with each other number one it's just you know
[01:20:10.480 --> 01:20:15.360]   it's biased to think that these people couldn't travel as widely as people on the other side of
[01:20:15.360 --> 01:20:21.120]   the planet did but there's all sorts of hints like uh that first ceramics i was talking about that the
[01:20:21.120 --> 01:20:31.600]   maya made they show up strangely uh sophisticated technologically already and down in ecuador they had
[01:20:31.600 --> 01:20:39.440]   them for a thousand years before so a lot of people myself included think that the idea of ceramics actually
[01:20:39.440 --> 01:20:46.880]   that the maya came from south america to the maya did the maya get seeded by the second wave
[01:20:46.880 --> 01:20:56.080]   across the bering strait or did that initial wave of people that came and uh populated south america
[01:20:56.080 --> 01:21:03.680]   were they the ancestors of the maya like how did the migration happen here do we understand we're still
[01:21:03.680 --> 01:21:08.720]   piecing it together i don't think you know i'd be lying if i told you i had the answers but we do
[01:21:08.720 --> 01:21:15.360]   have evidence of maya stature people there are small people generally speaking people that grow
[01:21:15.360 --> 01:21:20.560]   up in the forest are smaller and people that grow up in the open plains are taller probably about you
[01:21:20.560 --> 01:21:23.600]   know just generations of people that hit their head on a branch or not
[01:21:26.000 --> 01:21:30.160]   uh you're joking but you know there could be something i think there's some truth to it i mean
[01:21:30.160 --> 01:21:36.480]   the pygmies are small and the people on the plains in africa are big the north american indians are tall
[01:21:36.480 --> 01:21:43.040]   and the maya are small it's there is there's definitely a pattern of smaller people in the forests
[01:21:44.160 --> 01:21:53.120]   but anyway um there's a cave in the yucatan called lul tune cave that has uh hand prints in the cave
[01:21:53.120 --> 01:21:57.840]   it's somebody who put their hand on the cave and spit charcoal around their hand like a negative print
[01:21:57.840 --> 01:22:07.440]   yep we can date that charcoal and it comes from 10 000 years ago and the hands are all small it's you know
[01:22:07.440 --> 01:22:13.440]   typical old mexico i i walked right up to these things and could put my hand i didn't you know
[01:22:13.440 --> 01:22:19.680]   mess with them but i put my hand next to these hands and they're all smaller than my you know northern
[01:22:19.680 --> 01:22:27.120]   european hand and so either it was a bunch of kids who were in this cave 10 000 years ago or it was people
[01:22:27.120 --> 01:22:35.200]   of maya stature who did it it's so cool that you can date the charcoal and it's so cool that 10 000
[01:22:35.200 --> 01:22:42.480]   years ago there were people leaving and and actually we have uh one that's i think 2 000 years older now
[01:22:42.480 --> 01:22:49.840]   just a couple years ago again in yucatan in a cave they found a woman they named naia now and she's like
[01:22:49.840 --> 01:23:01.280]   12 000 years old so the best guess maybe that you have is it goes across the bering strait to south america
[01:23:01.280 --> 01:23:07.760]   possibly the amazon develop a lot of cool ideas in the amazon and start drifting back up into mesoamerica
[01:23:07.760 --> 01:23:14.880]   was kind of a co-evolution the the technology of ceramics i think got there through an interaction
[01:23:14.880 --> 01:23:20.960]   with see the interesting thing is that the maya didn't really have religion didn't have as a vibrant
[01:23:20.960 --> 01:23:27.840]   religious set of ideas and they borrowed it from the all mike i've been doing a deep dive on this for this
[01:23:27.840 --> 01:23:36.000]   all my course that i just did and it really does seem like um these other cultures that have jade and
[01:23:36.000 --> 01:23:42.560]   hematite and obsidian the the olmec had none of that stuff they were living in a swamp and building things
[01:23:42.560 --> 01:23:51.120]   out of uh dirt but they were importing those materials from those areas carving them into all sorts of
[01:23:51.120 --> 01:23:58.000]   religious iconography and then exporting them back to them and still the fang deity show up no the fang
[01:23:58.000 --> 01:24:04.640]   deities nowhere in uh in central america and mesoamerica that's why there's there's jaguars there's
[01:24:04.640 --> 01:24:12.560]   jaguar iconography but it's not the same thing this this whole jaguar transformer deity does not exist there
[01:24:12.560 --> 01:24:19.840]   they do have a pantheon so the maya the olmecs are the interesting peoples of the regions what was their
