
[00:00:00.000 --> 00:00:04.120]   All the people who sold the war in Iraq, they lied us into war after a war.
[01:11:52.960 --> 01:11:58.900]   Like, we're the democracy, even though none of you know, there's millions of people who can't vote over, you know, who rules them.
[01:11:58.900 --> 01:12:00.300]   But they're the death cult.
[01:12:00.300 --> 01:12:05.660]   I mean, look, they kill people in a more primitive, barbaric way, I guess you could say.
[01:12:05.660 --> 01:12:16.140]   You know, there's something a little bit cleaner about like, you know, when it's done by a government and it's collateral damage and it was done with sophisticated weaponry.
[01:12:16.140 --> 01:12:20.280]   You know, OK, still innocent people on the end of those bombs.
[01:12:20.280 --> 01:12:28.640]   Absolutely. But there is, I think, a powerful ethical difference when you mentioned about the eight-year-old girl, right?
[01:12:28.640 --> 01:12:40.800]   If you're in your stated goals of the war is to do everything you can to avoid the death of that girl versus saying, you know, we love death more than we love life.
[01:12:40.800 --> 01:12:46.460]   And Israelis, democracies are not our pro-life for life.
[01:12:46.460 --> 01:13:04.480]   There's a little, I mean, OK, I don't, I don't 100% disagree with you, but I think if I would say like the degree to which that matters, you know, like at a murder trial, after somebody's been convicted and before sentencing, sometimes the judge will allow them to give a statement.
[01:13:04.800 --> 01:13:15.140]   And like, if their statement is like, I'm very sorry for what I did and I'm so sorry to the family and this or that or that, like that might be like life without parole rather than the death penalty.
[01:13:15.140 --> 01:13:18.160]   You know what I mean? Like it might make that bit of difference in that.
[01:13:18.360 --> 01:13:29.080]   And if you get up there and you're like, hey, I'm happy for what I did. Screw the family, blow that, that might make a judge who was going to give you life without parole, give you the death penalty or something like it's like that type of margin around the edge.
[01:13:29.160 --> 01:13:39.660]   Let's say, like, you're a really bad guy and I want to kill you and you're at home with a bunch of women and children and I know there's women and children there.
[01:13:39.660 --> 01:13:44.900]   Like, I know for a fact that if I blow up this building, it's going to kill all those babies.
[01:13:45.020 --> 01:13:54.400]   But, you know, what I what I would be charged with is murder in the first degree and the fact that I went in there and said, like, well, listen, hold on.
[01:13:54.400 --> 01:13:56.820]   It's a shame that I had to kill those babies.
[01:13:56.820 --> 01:13:59.380]   I really just wanted to kill that one guy.
[01:13:59.380 --> 01:14:00.920]   I wish the babies weren't there.
[01:14:00.920 --> 01:14:04.260]   And they'll be like, yeah, but you knew they were there and you did it anyway.
[01:14:04.260 --> 01:14:06.040]   You get murder in the first degree.
[01:14:06.040 --> 01:14:10.700]   Maybe it would make some little difference tinkering around with the sentencing at the end of it.
[01:14:10.700 --> 01:14:14.820]   But it doesn't like in kind change what the crime is there.
[01:14:14.820 --> 01:14:28.720]   And so I just think at a certain point when you're if you're doing something like, you know, look, I'll say maybe with a little bit of an edge, you know, let's say Barack Obama wants to drone bomb, you know, this place to kill a terrorist.
[01:14:28.720 --> 01:14:32.520]   And he thinks he can do it without killing any innocent civilians, does it.
[01:14:32.520 --> 01:14:34.420]   And then it ends up killing some innocent civilians.
[01:14:34.420 --> 01:14:35.300]   That's one thing.
[01:14:35.300 --> 01:14:47.100]   But once you've done it over and over and over again, and every single time it kills innocent civilians, and then there's a wedding and you order a drone bomb strike on a wedding, like, no, you murdered those people.
[01:14:47.100 --> 01:14:49.240]   That's murder in the first degree.
[01:14:49.360 --> 01:14:50.300]   Like, I just don't.
[01:14:50.300 --> 01:15:03.780]   And so, yes, like, you know, like whether you say out loud, oh, it sure is a shame that we got to kill all these kids when you're doing it over and over and you know, the action you're taking is going to kill more kids.
[01:15:04.320 --> 01:15:08.860]   I just don't think it like it's yeah, it's a little bit different, but really not that much.
[01:15:08.860 --> 01:15:10.060]   It's still pretty much.
[01:15:10.060 --> 01:15:18.600]   And then also when you mix in with that, the fact that, like, you know, I mean, if you go and I'm not taking an opinion on the word genocide, I don't even like to get into that conversation.
[01:15:18.600 --> 01:15:20.500]   I feel like it just derails it anyway.
[01:15:20.500 --> 01:15:26.640]   What Israel is doing, whether you think it's a genocide or not, it's certainly not what most people envision when they hear the word genocide.
[01:15:27.600 --> 01:15:36.060]   But, you know, if you look at South Africa's case that they promoted at the International Court of Justice, the whole thing is just quotes from Israeli leaders.
[01:15:36.060 --> 01:15:42.600]   And I'm just saying, like, by the way, it's not like they're always saying, oh, it sure is a shame that we had to kill that eight year old girl.
[01:15:42.600 --> 01:15:46.280]   They're like half the time they say that when they're talking to the international community.
[01:15:46.280 --> 01:15:51.000]   And then the other half the time they seem to basically be saying there's no such thing as an innocent eight year old girl.
[01:15:51.340 --> 01:15:58.180]   And so I just I guess I just don't find that argument to be very compelling, especially when the thing has been going on for so long.
[01:15:58.180 --> 01:16:00.680]   There is some disagreement I have with you there.
[01:16:00.680 --> 01:16:06.480]   I think the thing you're implying is when whenever they state it, it's not.
[01:16:06.480 --> 01:16:09.240]   Quite genuine to some degree.
[01:16:09.240 --> 01:16:10.280]   Not I'm saying it might be.
[01:16:10.280 --> 01:16:12.000]   It might be genuine by some people.
[01:16:12.000 --> 01:16:13.380]   I'm not saying it's necessarily not.
[01:16:13.380 --> 01:16:23.660]   I'm saying that when there's a lot of people who are saying the opposite, it doesn't seem like it's consistently genuine from from the entire, you know, Israeli leadership class.
[01:16:23.660 --> 01:16:39.640]   And that even if it is genuine, when some people say it, that that's that's kind of not enough to get away from the fact that it's you know, when when Tucker was on Pierce Morgan, he said the thing he goes, you know, I don't like my tax dollars being used to intentionally kill children.
[01:16:39.640 --> 01:16:48.100]   And a lot of people really objected to that word intentionally, because I think so many of the defenders of Israel fall behind this like, no, no, no, that's not intentional.
[01:16:48.100 --> 01:16:49.780]   We're just trying to kill Hamas.
[01:16:49.780 --> 01:16:55.620]   But again, like I said, we would never accept that standard in like a domestic murder case.
[01:16:55.620 --> 01:17:03.360]   It's like, no, like the thing is that if you know there are kids there and you know they're going to die, then that's intent.
[01:17:03.360 --> 01:17:09.600]   I think I agree with you fundamentally because war is hell and that's why I'm against war.
[01:17:09.600 --> 01:17:11.900]   But there is a difference.
[01:17:11.900 --> 01:17:16.120]   So, like, I think you're we're like mixing in a lot of things.
[01:17:17.080 --> 01:17:19.820]   I think you're fundamentally against war.
[01:17:19.820 --> 01:17:23.200]   And that's why to you, it really doesn't doesn't matter.
[01:17:23.200 --> 01:17:24.540]   It is murder.
[01:17:24.540 --> 01:17:26.080]   It's just murder.
[01:17:26.080 --> 01:17:27.360]   And we shouldn't do murder.
[01:17:27.360 --> 01:17:37.940]   And there's a lot of democracies with colorful flags and that justify murder because they're trying very hard not to kill civilians.
[01:17:37.940 --> 01:17:46.760]   And then when you say you look at the reality of the Obama administration, the entirety of the war in Iraq and Afghanistan, you're murdering civilians.
[01:17:46.760 --> 01:17:50.320]   Yes, you're trying to kill bad guys, but you're murdering civilians.
[01:17:50.800 --> 01:18:12.440]   That said, on an ethical consideration on which kind of ideals, ideologies you can build a society after the war, one that even on the surface level states that the value of every life, of every civilian life is equal and high in value.
[01:18:12.760 --> 01:18:13.940]   That's a good society.
[01:18:13.940 --> 01:18:23.960]   That's the concern with extremist ideology that that basically is very difficult to build a flourishing society on.
[01:18:23.960 --> 01:18:32.920]   But then the argument against that is the one you said, which is like, yeah, well, Hamas is really supported now because of the war.
[01:18:32.920 --> 01:18:36.400]   But by the way, I don't disagree with the first part of your statement there.
[01:18:36.400 --> 01:18:38.660]   I just don't think it's in conflict with what I'm stating.
[01:18:38.660 --> 01:18:55.780]   It's like, look, I understand, first of all, that like there is a difference between the way you're going to say prosecute crime domestically within your own country and the way you can prosecute crime or a war between two different countries.
[01:18:55.780 --> 01:18:56.040]   Right.
[01:18:56.040 --> 01:18:57.900]   Like maybe it's not exactly the same.
