
[00:00:00.000 --> 00:00:08.060]   They end up chanting in front of him, Viva la muerte. Long live death. They have their
[01:11:41.060 --> 01:11:46.580]   got down very fast. There was a unit of Devan who got down to the junction, you know, by, within about
[01:11:46.580 --> 01:11:54.900]   an hour, 90 minutes of the massacres starting and joined in the fight. And then there were self-starters
[01:11:54.900 --> 01:12:00.580]   who I write about in the book, extraordinary people who just like broke orders and just realized the
[01:12:01.140 --> 01:12:07.940]   magnitude of what was happening and said, we need it in the south, go and fought very hard for hours,
[01:12:07.940 --> 01:12:15.220]   days, in some cases. But the complexities on the ground were unbelievable. I mean, as, as usually
[01:12:15.220 --> 01:12:21.940]   happens in warfare, but what they call the fog of war is a very real thing. You, you, you know,
[01:12:21.940 --> 01:12:28.020]   what it's, you can see it in hindsight, but you can't see when you're in it. And one of the things that
[01:12:28.660 --> 01:12:37.300]   made it very complicated was for instance, Hamas coming in, uh, taking uniforms off dead Israelis,
[01:12:37.300 --> 01:12:49.700]   uh, wearing them, uh, coming in with Israeli style, um, apparatus on them. There's a Muslim doctor I
[01:12:49.700 --> 01:12:56.500]   quote in the book who I interviewed who describes how he was going to his, he's an Israeli Muslim Arab,
[01:12:56.500 --> 01:13:01.300]   and he was going to, he's a doctor. He was going to his shift at the hospital at 6:30 in the morning.
[01:13:01.300 --> 01:13:08.180]   The rockets start coming in because the rocket started first and then the full invasion. And he
[01:13:08.180 --> 01:13:13.860]   described to me how, um, you know, he's one of the members of this group, the United Hatsala, which is
[01:13:13.860 --> 01:13:19.460]   a first responders group. And, um, they sort of, you know, they get an alert and it tells them that,
[01:13:19.460 --> 01:13:25.540]   you know, a car has crashed nearby and they, they, they put on their, uh, you know, first aid kit and
[01:13:25.540 --> 01:13:31.380]   so on and go. And he got one of those alerts, one of the junctions and, uh, realized there was a car
[01:13:31.380 --> 01:13:37.380]   that something had happened and there were some dead bodies and he, he stops and he sees these men dressed
[01:13:37.380 --> 01:13:43.140]   as soldiers. Uh, and they just start, and he's wearing his Hatsala gear and they start firing at
[01:13:43.140 --> 01:13:50.340]   him. And he just thinks, what the hell, what the hell is going on? And, uh, they turned out to be Hamas
[01:13:50.340 --> 01:13:58.660]   dressed as Israeli soldiers. They, uh, used him as a human shield to try to protect from any air assault.
[01:13:58.660 --> 01:14:04.740]   And, uh, in the end they shot him and left him and he survived. He's a very, very brave man.
[01:14:05.540 --> 01:14:13.860]   Um, so there was a lot of confusion like that. There's a girl whose father, uh, I interviewed,
[01:14:13.860 --> 01:14:22.020]   she was at the Nova party and, uh, I met him at one of the reunions of the party and the weeks after
[01:14:22.020 --> 01:14:28.820]   and the reunions of the survivors and the family and so on. And he described how in the last moments
[01:14:28.820 --> 01:14:33.700]   of his daughter's life, she phoned him on her phone. Like a lot of people, you know, he reassured her
[01:14:33.700 --> 01:14:39.620]   the army would get there and so on. And, uh, her boyfriend was shot in the head and was lying on
[01:14:39.620 --> 01:14:44.180]   her lap and she was obviously panicked and they'd managed to get into a car and escape the party.
[01:14:44.180 --> 01:14:49.140]   But they went to, uh, uh, a community where they thought they'd be safe in the south of Israel. And
[01:14:49.140 --> 01:14:54.980]   they were told to stay where they were by somebody who she said was a policeman and he wasn't a policeman.
[01:14:54.980 --> 01:15:01.220]   He was Hamas dressed as police and, uh, she died as she was shot and killed as well.
[01:15:01.220 --> 01:15:12.980]   And, um, so there was a lot of confusion like that. Uh, it, it, hopefully we're, you know, the world will
[01:15:12.980 --> 01:15:19.220]   find out exactly what went wrong. Israel will find out exactly what went wrong that led to this catastrophe.
[01:15:19.220 --> 01:15:23.060]   But I mean, it, it, it was a complete catastrophe.
[01:15:23.060 --> 01:15:27.380]   Do you have a sense of how such an intelligence failure could have happened?
[01:15:27.380 --> 01:15:33.060]   So there's a bit of a temptation to go into conspiracy land because it's such a giant
[01:15:33.060 --> 01:15:39.940]   intelligence failure. It seems that there is, um, some manipulation on the inside for political
[01:15:39.940 --> 01:15:45.540]   reasons or for, you don't need to go into conspiracy land. I mean, I think there are people who say that
[01:15:45.540 --> 01:15:50.020]   there were parts of the intelligence network and so on that were trying, that were withholding the
[01:15:50.020 --> 01:15:57.780]   information. I don't know. Again, people will find out, um, there's an awful lot of politics inside
[01:15:57.780 --> 01:16:05.380]   Israel and, uh, it's, it's, it's hard to know that at this stage. I think that most people are sort of
[01:16:05.380 --> 01:16:13.460]   still Israeli and not Israeli, including people who are anti Israel, who just believe that, you know,
[01:16:13.460 --> 01:16:20.420]   Israeli military and particularly intelligence dominance is so, so strong that there must have
[01:16:20.420 --> 01:16:24.660]   been some kind of conspiracy. Otherwise, how could this have happened? I don't think you need to go
[01:16:24.660 --> 01:16:31.940]   into that. I think that, I mean, for instance, some of the young women at the observation base
[01:16:31.940 --> 01:16:38.180]   are on the record. They've said, I've spoken to myself and they, who said that they had been warning
[01:16:38.180 --> 01:16:44.660]   in the weeks running up the seventh, that they were seeing, uh, maneuvers and training by the border,
[01:16:44.660 --> 01:16:51.220]   which suggested that Hamas was, was going to do something like this. And, and they say that they
[01:16:51.220 --> 01:16:56.820]   were ignored. The, you speak to some of the more senior commanders about that. And they say, the thing
[01:16:56.820 --> 01:17:03.140]   is that this stuff was happening all the time. So it's very hard, it's very hard to know at the moment.
[01:17:03.140 --> 01:17:12.020]   Can you talk through your understanding of who and what Hamas is, its history and, uh, the governing
[01:17:12.020 --> 01:17:14.740]   ideology of this group?
[01:17:14.740 --> 01:17:22.260]   Well, Hamas in a way, quite easy to understand because they, they say what their ambitions are.
[01:17:22.260 --> 01:17:26.900]   They say what their beliefs are. They say it, said it from their governing charter onwards.
[01:17:26.900 --> 01:17:32.100]   And you also have the advantage with Hamas that they, as it were, in trying to understand them is
[01:17:32.100 --> 01:17:39.220]   that they, they tend to do what they say and, um, act on what they believe. The primary aim of Hamas
[01:17:39.220 --> 01:17:46.500]   Hamas is to destroy the state of Israel and then C. They're not an unusual group, sadly. The,
[01:17:46.500 --> 01:17:50.580]   the bit of it that is hard for some people to understand, I think,
[01:17:50.580 --> 01:17:57.460]   is that, is that they really do mean what they say and that they really do mean what they say they
[01:17:57.460 --> 01:18:03.540]   want to do. And I give a number of examples in the book of this, but I mean, the most, uh,
[01:18:05.220 --> 01:18:13.220]   obvious is the case of Yahya Sinwar, the Hamas leader, who is generally regarded as having
[01:18:13.220 --> 01:18:21.060]   orchestrated and, and, um, arranged the 7th of October. He, uh, we know a fair amount about him
[01:18:21.060 --> 01:18:31.940]   because he was in prison in Israel in the 2000s for murdering Palestinians in Gaza. And, uh, he was
[01:18:31.940 --> 01:18:38.820]   released in the prisoner swap for the, he's one of the more than 1,000, uh, Palestinian prisoners
[01:18:38.820 --> 01:18:44.340]   inside Israel who was released in his, in a swap for Gilad Shalit, the abducted Israeli soldier.
[01:18:44.340 --> 01:18:55.220]   And, uh, Yahya Sinwar in prison in Israel, um, talked to, among others, a dentist who ended up saving his
[01:18:55.220 --> 01:19:02.580]   life because Yahya Sinwar had a brain tumor. And, uh, this, this dentist identified this and, uh,
[01:19:02.580 --> 01:19:08.180]   actually sent him to the hospital. And the Israelis famously, uh, removed the tumor and, and, and saved
[01:19:08.180 --> 01:19:15.380]   Sinwar's life. But this dentist used to speak to him in, in the prison, not fairly regularly and, and has
[01:19:15.380 --> 01:19:22.820]   related, not least to the New York times, his conversations with Sinwar. And, uh, Sinwar said in
[01:19:22.820 --> 01:19:29.860]   one of those conversations, he said, you know, he said, uh, uh, at the moment, you Israel are strong.
[01:19:29.860 --> 01:19:34.100]   Um, but one day you'll be weak and then I'll come.
[01:19:34.100 --> 01:19:38.340]   And, uh, that's, that's what he did.
[01:19:38.340 --> 01:19:48.260]   Is it a hatred of Israel or is it a hatred of Jews? Is it on the level of nations or the level of, uh,
[01:19:48.260 --> 01:19:48.820]   religion?
[01:19:48.820 --> 01:19:55.700]   Both. It's both. I mean, it, it originates from a religious mindset, but it's of course, political as
[01:19:55.700 --> 01:20:03.540]   well. Um, I mean, the Hamas charter, of course, some people sort of think the Hamas charter is of no
[01:20:03.540 --> 01:20:08.900]   significance. And I often notice this sight of hand that, that, that people do again,
[01:20:08.900 --> 01:20:13.380]   it goes back to what I was saying earlier. Um, forget everything other than the most important
