
[00:00:00.000 --> 00:00:02.000]   I'm now recording.
[00:45:48.000 --> 00:45:50.000]   And they need to apologize about New York Times.
[00:45:50.000 --> 00:45:51.000]   Exactly.
[00:45:51.000 --> 00:45:52.000]   You came to a point to it.
[00:45:52.000 --> 00:45:54.000]   I am in agreement with you on that, but I think we have to first
[00:45:54.000 --> 00:45:57.000]   point, and this is where you guys have a blind spot, is what is
[00:45:57.000 --> 00:46:00.000]   the responsibility of capital allocators and governance
[00:46:00.000 --> 00:46:02.000]   and regulators?
[00:46:02.000 --> 00:46:04.000]   I think it's one, two, three.
[00:46:04.000 --> 00:46:07.000]   Our industry is responsible for setting up proper governance.
[00:46:07.000 --> 00:46:10.000]   The regulators are responsible for making sure that scientific
[00:46:10.000 --> 00:46:14.000]   claims are backed up, and then press is a distant third.
[00:46:14.000 --> 00:46:16.000]   You know who I think is responsible?
[00:46:16.000 --> 00:46:17.000]   Go.
[00:46:17.000 --> 00:46:18.000]   One, two, and three.
[00:46:18.000 --> 00:46:20.000]   And then we can talk about four, five, and six.
[00:46:20.000 --> 00:46:22.000]   Okay, four, five, and six.
[00:46:22.000 --> 00:46:25.000]   Capital allocators, regulators, the press a distant sixth.
[00:46:25.000 --> 00:46:26.000]   I agree.
[00:46:26.000 --> 00:46:27.000]   Let's go on to China.
[00:46:27.000 --> 00:46:29.000]   God, it's so spicy today in here.
[00:46:29.000 --> 00:46:31.000]   God, it's so hot.
[00:46:31.000 --> 00:46:34.000]   I do think when we attack the mainstream media, Jason feels a
[00:46:34.000 --> 00:46:39.000]   little tinge of like insecurity and illegitimacy because he were
[00:46:39.000 --> 00:46:40.000]   a journalist.
[00:46:40.000 --> 00:46:42.000]   My personal perception is I think that's bullshit.
[00:46:42.000 --> 00:46:43.000]   No.
[00:46:43.000 --> 00:46:48.000]   I think that you have an incredibly romantic view of the
[00:46:48.000 --> 00:46:51.000]   craft as you practiced it back then, which I think was fully
[00:46:51.000 --> 00:46:52.000]   of integrity.
[00:46:52.000 --> 00:46:53.000]   Yes, I think that's true.
[00:46:53.000 --> 00:46:58.000]   I think that you don't adequately realize how massively the
[00:46:58.000 --> 00:47:00.000]   industry has changed in the last 20 years since you've become
[00:47:00.000 --> 00:47:01.000]   a professor.
[00:47:01.000 --> 00:47:02.000]   I realize it more than you do.
[00:47:02.000 --> 00:47:05.000]   I fully realize that the media has absolutely become biased.
[00:47:05.000 --> 00:47:06.000]   Are they corrupt?
[00:47:06.000 --> 00:47:08.000]   And they have lost, in some cases, yes.
[00:47:08.000 --> 00:47:11.000]   I mean, if you're taking money from SBF and then giving him--
[00:47:11.000 --> 00:47:12.000]   Are they blinded?
[00:47:12.000 --> 00:47:13.000]   Are they biased?
[00:47:13.000 --> 00:47:16.000]   They are corrupt if they're taking money from SBF and then
[00:47:16.000 --> 00:47:17.000]   giving him Kigalov coverage.
[00:47:17.000 --> 00:47:18.000]   Absolutely.
[00:47:18.000 --> 00:47:20.000]   That is the definition of corruption in my mind.
[00:47:20.000 --> 00:47:23.000]   What is it called when you don't take money necessarily like
[00:47:23.000 --> 00:47:25.000]   the New York Times and still treat them with kid gloves?
[00:47:25.000 --> 00:47:26.000]   What is that?
[00:47:26.000 --> 00:47:27.000]   It is extreme bias.
[00:47:27.000 --> 00:47:29.000]   And the New York Times became extremely biased.
[00:47:29.000 --> 00:47:31.000]   Why do you think that bias exists?
[00:47:31.000 --> 00:47:34.000]   They were always left-leaning, but I can tell you why.
[00:47:34.000 --> 00:47:39.000]   They-- when Trump came in, a generation of new journalists
[00:47:39.000 --> 00:47:41.000]   became activist journalists.
[00:47:41.000 --> 00:47:44.000]   They didn't want to tell stories and take it straight down the
[00:47:44.000 --> 00:47:46.000]   middle and let the facts tell the story and let the audience
[00:47:46.000 --> 00:47:47.000]   make their own decision.
[00:47:47.000 --> 00:47:50.000]   They felt an existential risk when Trump came into office.
[00:47:50.000 --> 00:47:52.000]   They got Trump derangement syndrome.
[00:47:52.000 --> 00:47:55.000]   They picked a side like MSNBC and Fox did, and the business
[00:47:55.000 --> 00:47:59.000]   model became, for the New York Times, pick a side and get
[00:47:59.000 --> 00:48:00.000]   the subscribers.
[00:48:00.000 --> 00:48:03.000]   It was a deliberate, cynical choice on the New York Times
[00:48:03.000 --> 00:48:08.000]   part to go full MSNBC or full Fox, the two extremes in
[00:48:08.000 --> 00:48:10.000]   mainstream media, in order to get the subs.
[00:48:10.000 --> 00:48:14.000]   And they literally rallied the troops there to do anti-tech,
[00:48:14.000 --> 00:48:18.000]   anti-Trump coverage, and they became activists.
[00:48:18.000 --> 00:48:21.000]   And when journalists become activists, they are no longer
[00:48:21.000 --> 00:48:23.000]   journalists, they're activists or commentators.
[00:48:23.000 --> 00:48:24.000]   And that's the problem.
[00:48:24.000 --> 00:48:27.000]   It's being presented as journalism when in fact it's
[00:48:27.000 --> 00:48:28.000]   activism.
[00:48:28.000 --> 00:48:29.000]   And that's the problem.
[00:48:29.000 --> 00:48:30.000]   So you're right.
[00:48:30.000 --> 00:48:33.000]   So shout out to Matt Taibbi, who just did a monk debate--
[00:48:33.000 --> 00:48:34.000]   That's well said, by the way.
[00:48:34.000 --> 00:48:35.000]   --on this very topic.
[00:48:35.000 --> 00:48:36.000]   Thank you so much.
[00:48:36.000 --> 00:48:39.000]   And he has a great, great sub stack, basically saying what
[00:48:39.000 --> 00:48:40.000]   you're saying, Jason.
[00:48:40.000 --> 00:48:43.000]   And the best quote is, "The story is no longer the boss.
[00:48:43.000 --> 00:48:44.000]   Instead, we sell narrative."
[00:48:44.000 --> 00:48:47.000]   He's a lifelong journalist, whose father was a lifelong
[00:48:47.000 --> 00:48:49.000]   journalist, and he understands the way the business has
[00:48:49.000 --> 00:48:50.000]   changed.
[00:48:50.000 --> 00:48:51.000]   And it's like what you're saying.
[00:48:51.000 --> 00:48:54.000]   And this is why independent media, whether it's sub stacks,
[00:48:54.000 --> 00:48:58.000]   whether it's call-in shows, whether it's all-in podcasts or
[00:48:58.000 --> 00:49:01.000]   other podcasts--Joe Rogan, Sam Harris, whoever it is--
[00:49:01.000 --> 00:49:05.000]   independent voices are now what consumers are seeking out
[00:49:05.000 --> 00:49:07.000]   because they can sense the bias.
[00:49:07.000 --> 00:49:10.000]   They know Rachel Maddow and Tucker have an axe to grind,
[00:49:10.000 --> 00:49:12.000]   and they're left and right.
[00:49:12.000 --> 00:49:15.000]   They didn't expect the New York Times, Washington Post,
[00:49:15.000 --> 00:49:18.000]   and Wall Street Journal to--they knew they were leaning.
[00:49:18.000 --> 00:49:20.000]   They didn't expect them to pick a side.
[00:49:20.000 --> 00:49:23.000]   Do you think we should cancel--do you think folks are
[00:49:23.000 --> 00:49:26.000]   better off keeping their New York Times subscription or
[00:49:26.000 --> 00:49:29.000]   replacing that New York Times subscription with a basket
[00:49:29.000 --> 00:49:31.000]   of sub stacks?
[00:49:31.000 --> 00:49:32.000]   You answered your own question.
[00:49:32.000 --> 00:49:33.000]   It's the latter.
[00:49:33.000 --> 00:49:35.000]   I think you're on your own as a consumer now.
[00:49:35.000 --> 00:49:39.000]   You're going to have to--and I think this podcast and the
[00:49:39.000 --> 00:49:42.000]   nuance we have--shout out to Freeberg for nuance--
[00:49:42.000 --> 00:49:44.000]   what we've done on this podcast is--
[00:49:44.000 --> 00:49:45.000]   Wasn't that funny, Sax?
[00:49:45.000 --> 00:49:46.000]   --to explain to people--
[00:49:46.000 --> 00:49:49.000]   Freeberg's not the only one with nuance, Jake Helms.
[00:49:49.000 --> 00:49:51.000]   Nobody would describe David Sax with the word nuance.
[00:49:51.000 --> 00:49:53.000]   What, he's the nuance department on this podcast?
[00:49:53.000 --> 00:49:54.000]   What am I?
[00:49:54.000 --> 00:49:56.000]   100% he is, but you would know that because you leave when
[00:49:56.000 --> 00:49:57.000]   science course starts.
[00:49:57.000 --> 00:49:58.000]   I'm the truth department, okay?
[00:49:58.000 --> 00:49:59.000]   Sometimes nuance--
[00:49:59.000 --> 00:50:00.000]   You're truth bombs.
[00:50:00.000 --> 00:50:01.000]   I'm the truth department.
[00:50:01.000 --> 00:50:02.000]   You can take the both sides departments.
[00:50:02.000 --> 00:50:06.000]   The point is, consumers need to become extremely literate,
[00:50:06.000 --> 00:50:09.000]   and they have to do their own search for truth in today's age.
[00:50:09.000 --> 00:50:11.000]   They shouldn't trust New York Times.
[00:50:11.000 --> 00:50:12.000]   They shouldn't trust us.
[00:50:12.000 --> 00:50:13.000]   They should trust themselves.
[00:50:13.000 --> 00:50:17.000]   They shouldn't trust necessarily the CDC or the World Health
[00:50:17.000 --> 00:50:18.000]   Organization.
[00:50:18.000 --> 00:50:21.000]   They should trust themselves and come up with their own process
[00:50:21.000 --> 00:50:24.000]   for figuring out the truth in the middle of this mess.
[00:50:24.000 --> 00:50:27.000]   By the way, this is a good reflection on what's happened
[00:50:27.000 --> 00:50:31.000]   with the rest of media with respect to the creator class.
[00:50:31.000 --> 00:50:35.000]   Where it used to be the movie studios and a handful of
[00:50:35.000 --> 00:50:38.000]   aggregated creators that made all of the content,
[00:50:38.000 --> 00:50:41.000]   the record labels, and now independent artists,
[00:50:41.000 --> 00:50:44.000]   independent producers, independent creators,
[00:50:44.000 --> 00:50:47.000]   and now independent journalists are going to become the bulk
[00:50:47.000 --> 00:50:49.000]   of volume that's going to be consumed.
[00:50:49.000 --> 00:50:51.000]   It's just a different consumption model.
[00:50:51.000 --> 00:50:52.000]   We've already seen it happen with music.
[00:50:52.000 --> 00:50:54.000]   We saw it happen with movies, and we've seen this disruption
[00:50:54.000 --> 00:50:57.000]   happen across all of these other media classes.
[00:50:57.000 --> 00:51:01.000]   Journalism and what we call the press is very likely going to
[00:51:01.000 --> 00:51:04.000]   be that next layer of disruption.
[00:51:04.000 --> 00:51:06.000]   I would trust having a conversation with you about
[00:51:06.000 --> 00:51:09.000]   science topics over reading a science article.
[00:51:09.000 --> 00:51:10.000]   100%.
[00:51:10.000 --> 00:51:12.000]   You know, in the New York Times or Wall Street Journal,
[00:51:12.000 --> 00:51:13.000]   if I'm being honest.
[00:51:13.000 --> 00:51:14.000]   100%.
[00:51:14.000 --> 00:51:15.000]   I would much prefer to talk to you about it,
[00:51:15.000 --> 00:51:17.000]   and if it was markets, I'd rather talk to Chamath,
[00:51:17.000 --> 00:51:20.000]   and if it was SaaS, I would talk to Saks or operating a company.
[00:51:20.000 --> 00:51:22.000]   Speaking of operating a company.
[00:51:22.000 --> 00:51:24.000]   Or politics.
[00:51:24.000 --> 00:51:27.000]   [Laughter]
[00:51:27.000 --> 00:51:30.000]   We'll see. We'll see.
[00:51:30.000 --> 00:51:33.000]   But I think it's about having unique inside insight, right?
[00:51:33.000 --> 00:51:35.000]   Like, that wasn't the case.
[00:51:35.000 --> 00:51:37.000]   And what's interesting is that the people who are the professionals
[00:51:37.000 --> 00:51:41.000]   that have the knowledge and the touch points are also becoming
[00:51:41.000 --> 00:51:44.000]   journalists in the sense that they're also becoming speakers
[00:51:44.000 --> 00:51:45.000]   of their truth.
[00:51:45.000 --> 00:51:48.000]   And I think Twitter is a good enabling platform for this.
[00:51:48.000 --> 00:51:51.000]   We see it on YouTube where like scientists are putting out their
[00:51:51.000 --> 00:51:54.000]   own videos, or market actors, like people that are traders in the
[00:51:54.000 --> 00:51:57.000]   market go out and they put out their own videos,
[00:51:57.000 --> 00:51:58.000]   and they put out their own podcasts,
[00:51:58.000 --> 00:52:01.000]   and I think we're probably a good reflection of that.
[00:52:01.000 --> 00:52:04.000]   In the sense that we are the actors in the market,
[00:52:04.000 --> 00:52:08.000]   and we're not just the independent observer that has kind of a
[00:52:08.000 --> 00:52:09.000]   surface level view.
[00:52:09.000 --> 00:52:12.000]   We have the depth to be able to talk about the things that we choose
[00:52:12.000 --> 00:52:13.000]   to talk about.
[00:52:13.000 --> 00:52:16.000]   And I think that's where consumers find value and will continue to
[00:52:16.000 --> 00:52:19.000]   find value in terms of who the journalist or speaker is that they're
[00:52:19.000 --> 00:52:22.000]   going to start to trust for their information.
[00:52:22.000 --> 00:52:25.000]   I saw that interview you did with Newcomer.
[00:52:25.000 --> 00:52:27.000]   Oh, yeah.
[00:52:27.000 --> 00:52:30.000]   Yeah, I saw that coverage.
[00:52:30.000 --> 00:52:34.000]   I mean, he speaks a lot about this phenomenon of going direct.
[00:52:34.000 --> 00:52:36.000]   And of course he's against it.
[00:52:36.000 --> 00:52:41.000]   Now he interprets going direct as an attempt by newsmakers to avoid
[00:52:41.000 --> 00:52:44.000]   answering tough questions or take tough questions.
[00:52:44.000 --> 00:52:47.000]   I think that's ridiculous because, for example,
[00:52:47.000 --> 00:52:49.000]   I go on CNBC all the time.
[00:52:49.000 --> 00:52:53.000]   I go on Emily Ching and Bloomberg all the time.
[00:52:53.000 --> 00:52:55.000]   I submit to like really tough questions.
[00:52:55.000 --> 00:52:58.000]   I actually like those sort of sparring sessions.
[00:52:58.000 --> 00:53:00.000]   I did hard talk this week.
[00:53:00.000 --> 00:53:01.000]   Have you ever done that?
[00:53:01.000 --> 00:53:02.000]   Yeah, exactly.
[00:53:02.000 --> 00:53:04.000]   So that's not what's going on here.
[00:53:04.000 --> 00:53:06.000]   I think what's going on is we have expertise.
[00:53:06.000 --> 00:53:08.000]   We want to communicate them.
[00:53:08.000 --> 00:53:12.000]   And we do feel like the media has become a very unreliable narrator.
[00:53:12.000 --> 00:53:14.000]   There is too much bias and sloppiness.
[00:53:14.000 --> 00:53:16.000]   Not all of it is agenda.
[00:53:16.000 --> 00:53:18.000]   Some of it's just pure sloppiness.
[00:53:18.000 --> 00:53:20.000]   And there's no reason why we shouldn't go direct.
