
[00:00:00.000 --> 00:00:05.540]   The following is a conversation with Jeffrey Wasserstrom, a historian of modern China.
[01:13:42.720 --> 01:14:10.720]   We see this in Xi Jinping becoming impatient with Hong Kong, where there was a way of which, okay, this is a city that's part of the PRC, but it really operates very differently. He seems to be uncomfortable with difference, I guess. He's not alone in strongmen in this way, of sort of wanting to impose a kind of singular vision of what Chinese identity means, what loyalty to the status quo means.
[01:14:10.720 --> 01:14:38.340]   to the status quo means. And so there's been a kind of tightening of controls over all the borders. And even things, one thing Xi reported on was Mongolia, Inner Mongolia. It's been seen as an unproblematic kind of frontier area, and who cares if there was some revival of Mongolian language, but under Xi, there's been a less patience with those kinds of difference.
[01:14:39.720 --> 01:14:59.720]   Uh, it's been a, there's been a, there's been more of a resurgence of patriarchy, all kinds of things have happened under him. But how much is it just him? Or how much is it also a kind of mood or group within the party? Some of these trends, I think, began before he took power in late 2012.
[01:14:59.720 --> 01:15:28.720]   I think really my own feeling going to China fairly often from the mid-1990s till about 2018, was that until 2008, the year of the Olympics, year, each trip, it would feel like, oh, there's just more space, there's more breathing room for, uh, you know, it's not becoming a liberal democracy, but I would notice things that felt like, I'm surprised that that, that happened.
[01:15:28.720 --> 01:15:57.720]   That happens. That there just felt, people felt less worried about what they were saying and what they were doing. Um, that kind of trend line up until about 2008. But from the Olympics, um, and then the financial crisis after that, the Chinese Communist Party felt, I guess, more, it's still insecure, but it felt cockier in some ways. And you had, like, okay, maybe we can start.
[01:15:57.720 --> 01:16:13.720]   Start asserting more control over things. So I think that's been stronger under Xi Jinping's time and power. And Xi was already the designated successor by 2008. He was in charge of, um, he was in charge of security for the Olympics.
[01:16:13.720 --> 01:16:33.380]   And the Olympics. And the Olympics was supposed to be a moment possibly of more opening up because when Seoul hosted the Olympics, South Korea became a less tightly controlled right-wing, um, dictatorship and move toward democracy. And some people were hoping the Olympics might move China that way. And it went quite the opposite.
[01:16:33.380 --> 01:16:41.380]   You mentioned that you mentioned that you, we don't know the degree to which this change has to do with Xi Jinping or the party apparatus.
[01:16:41.380 --> 01:17:07.080]   And that question, going back to Confucius of hierarchy and how does the power within this very strict one-party state, uh, work, what can we say? What do we know about the structure of this Communist Party apparatus? Uh, how much internal power struggle is there? How much power does Xi Jinping actually have? Is there any insight we have into the system?
[01:17:07.380 --> 01:17:26.880]   So James Palmer, who worked in Beijing as a journalist and now is an editor at foreign policy, wrote an important piece a few years ago about just, we should really be straight about what a black box of the Chinese elite, elite politics are, and really not try to pretend we know more than we do.
[01:17:27.380 --> 01:17:52.940]   We did, used to have more of a sense of these kind of ideological factions, but also partly about different views of how much tinkering there should be with the economy and things like that. And they were also basic, partly based on personalities and personal ties. But we did have a sense you could sort of map out these kinds of rival power bases and things.
[01:17:53.380 --> 01:18:13.380]   And we just have much less of a sense of that under Xi Jinping. It's very hard to know other than the sort of small group around him, how it works. We don't have a major defector who says, yeah, this is how, this is how Xi Jinping, we have Xi Jinping's self-presentation and a lot of things that are then, um, said about him.
[01:18:13.380 --> 01:18:33.720]   There were some false expectations about him that some people thought, oh, he's going to be a reformer because his father was a liberalizing figure. And, you know, that doesn't work that way. And he does seem to care about orderliness. He does seem to care about certain things. He wants to present himself as a kind of scholarly figure in touch with China's deep past.
[01:18:34.380 --> 01:18:46.380]   Um, we know he's a strong nationalist and a kind of cultural nationalist as well as, um, political nationalist. But beyond that, we don't have that much of a sense of what makes him, what makes him tick.
[01:18:46.380 --> 01:19:05.380]   We get little hints. Um, you know, there was a secret speech where he talked about that leaked out that he talked about how the Soviet Union had collapsed because people didn't, the leadership didn't pay enough attention to ideology. And he also said that none of them were manly enough to keep control.
[01:19:05.380 --> 01:19:20.380]   So he, if I imagine if he and, he and Putin ever have a kind of heart to heart conversation, it's one thing they'd find to agree on is this sort of distaste for Gorbachev. This feeling that Gorbachev was, that was the wrong way to do things.
[01:19:20.380 --> 01:19:21.380]   Not manly enough.
[01:19:21.380 --> 01:19:34.380]   Yeah, to not strong enough about, you know, really keeping control. And, you know, for Putin, it would be that it led to the Soviet Union, to the loss of an empire. But for Xi Jinping, it's, there is a bit of being haunted.
[01:19:34.380 --> 01:19:53.380]   There is a bit of being haunted by what happened to the Soviet Union. And we're not, I'm not going to be the leader who sees the diminishment of this landmass that was in a sense rebuilt over time for Mao and then Deng Xiaoping.
[01:19:53.380 --> 01:20:06.380]   You know, you have the story, a very powerful story about the Chinese past that the Chinese Communist Party makes a lot out of. But the Chiang Kai-shek, the Nationalist Party, who was Mao's great rival, also made a lot out of.
[01:20:06.380 --> 01:20:35.380]   And it has a partial basis, in fact, was that from the middle of the 19th century to the middle of the 20th century, China, which had been a strong force in the world, got bullied and nibbled away at by foreign powers. And it's important to realize there are elements of that story that are very true. And the answer they had is that, under my watch, that's not going to happen. And the reason why my party deserves to rule is because it can reassert China's
[01:20:35.380 --> 01:20:48.800]   It's a place in the world. And both the Nationalist Party and the Communist Party predicated themselves on this kind of nationalistic story of being in a position to prevent that from happening again.
[01:20:48.800 --> 01:21:02.120]   This is a bit of a tricky question, but is it safe for journalists, for folks who write excellent books about the topic to travel to China?
[01:21:02.120 --> 01:21:05.360]   I think there are all kinds of different things about safety or not.
[01:21:05.360 --> 01:21:22.020]   I think, until recently at least, the people who were most vulnerable were people of Chinese descent, people originally from China who had gone abroad and coming back, or even people who were Chinese Americans who went there.
[01:21:22.100 --> 01:21:44.340]   So you had early cases. My friend Melissa Chan was an early person kicked out when she was working for Al Jazeera and reporting on Xinjiang. So that's one kind of person who was vulnerable because of this expectation that they should be somehow more loyal.
[01:21:44.740 --> 01:22:05.660]   Another kind of person who was vulnerable or, in this case, more likely to be blocked from China, the Communist Party is particularly concerned about people from outside of China who are amplifying the voices of people within China or exiles from China who the government would like to silence.
