
[00:00:00.000 --> 00:00:06.100]   The following is a conversation with Terence Tao, widely considered to be one of the greatest
[01:11:31.100 --> 01:11:34.280]   So, you know, we need more grounding.
[01:11:34.280 --> 01:11:41.680]   I mean, I think, I mean, you know, there are scientists who do excellent outreach, but there's lots of science things that you can do at home.
[01:11:41.680 --> 01:11:43.240]   There's lots of YouTube videos.
[01:11:43.240 --> 01:11:51.240]   I did a YouTube video recently with Grant Sanderson that we talked about earlier that, you know, how the ancient Greeks were able to measure things like the distance to the moon, distance to the Earth.
[01:11:51.840 --> 01:11:55.100]   And, you know, using techniques that you could also replicate yourself.
[01:11:55.100 --> 01:12:00.700]   It doesn't all have to be like fancy space telescopes and really intimidating mathematics.
[01:12:01.360 --> 01:12:03.140]   Yeah, that's, I highly recommend that.
[01:12:03.140 --> 01:12:07.300]   I believe you give a lecture and you also did an incredible video with Grant.
[01:12:07.300 --> 01:12:14.620]   It's a beautiful experience to try to put yourself in the mind of a person from that time shrouded in mystery.
[01:12:14.620 --> 01:12:15.360]   Right.
[01:12:15.720 --> 01:12:20.160]   You know, you're like on this planet, you don't know the shape of it, the size of it.
[01:12:20.160 --> 01:12:25.360]   You see some stars, you see some, you see some things and you try to like localize yourself in this world.
[01:12:25.360 --> 01:12:25.740]   Yeah, yeah.
[01:12:25.740 --> 01:12:29.360]   And try to make some kind of general statements about distance to places.
[01:12:29.360 --> 01:12:30.840]   Change of perspective is really important.
[01:12:30.840 --> 01:12:32.300]   You say travel burdens the mind.
[01:12:32.300 --> 01:12:33.560]   This is intellectual travel.
[01:12:33.560 --> 01:12:38.560]   You know, put yourself in the mind of the ancient Greeks or some other person, some other time period.
[01:12:39.040 --> 01:12:42.480]   Make hypotheses, spherical cows, whatever, you know, speculate.
[01:12:42.480 --> 01:12:48.280]   And, you know, this is what mathematicians do and some other sort of artists do, actually.
[01:12:48.280 --> 01:12:53.280]   It's just incredible that given the extreme constraints, you could still say very powerful things.
[01:12:53.280 --> 01:12:54.580]   That's why it's inspiring.
[01:12:54.580 --> 01:13:01.480]   Looking back in history, how much can be figured out when you don't have much to figure out stuff with.
[01:13:01.480 --> 01:13:05.780]   If you propose axioms, then the mathematics lets you follow those axioms to their conclusions.
[01:13:05.780 --> 01:13:08.860]   And sometimes you can get quite a long way from...
[01:13:08.860 --> 01:13:09.920]   You know, initial hypotheses.
[01:13:09.920 --> 01:13:12.900]   If we stay in the land of the weird, you mentioned general relativity.
[01:13:12.900 --> 01:13:18.620]   You've contributed to the mathematical understanding of Einstein's field equations.
[01:13:18.620 --> 01:13:20.340]   Can you explain this work?
[01:13:20.340 --> 01:13:30.660]   And from a sort of mathematical standpoint, what aspects of general relativity are intriguing to you, challenging to you?
[01:13:30.660 --> 01:13:33.200]   I have worked on some equations.
[01:13:33.200 --> 01:13:38.560]   There's something called the wave maps equation or the sigma field model, which is not quite the equation.
[01:13:38.560 --> 01:13:44.720]   of space-time gravity itself, but of certain fields that might exist on top of space-time.
[01:13:44.720 --> 01:13:49.640]   So Einstein's equations of relativity just describes space and time itself.
[01:13:49.640 --> 01:13:52.260]   But then there's other fields that live on top of that.
[01:13:52.260 --> 01:13:54.120]   There's the electromagnetic field.
[01:13:54.120 --> 01:13:55.880]   There's things called Yang-Mills fields.
[01:13:55.880 --> 01:14:01.700]   And there's this whole hierarchy of different equations, of which Einstein is considered one of the most nonlinear and difficult.
[01:14:01.700 --> 01:14:05.680]   But relatively low on the hierarchy was this thing called the wave maps equation.
[01:14:05.680 --> 01:14:10.660]   So it's a wave which at any given point is fixed to be like on a sphere.
[01:14:10.660 --> 01:14:17.900]   So I can think of a bunch of arrows in space and time, and yeah, so it's pointing in different directions.
[01:14:17.900 --> 01:14:20.040]   But they propagate like waves.
[01:14:20.040 --> 01:14:26.620]   If you wiggle an arrow, it will propagate and make all the arrows move kind of like sheaves of wheat in the wheat field.
[01:14:27.280 --> 01:14:30.980]   And I was interested in the global reality problem again for this question.
[01:14:30.980 --> 01:14:34.560]   Like, is it possible for all the energy here to collect at a point?
[01:14:34.560 --> 01:14:41.120]   So the equation I considered was actually what's called a critical equation, where it's actually the behavior at all scales is roughly the same.
[01:14:41.920 --> 01:14:50.740]   And I was able barely to show that you couldn't actually force a scenario where all the energy concentrated at one point, that the energy had to disperse a little bit.
[01:14:50.740 --> 01:14:53.940]   And the moment it disperse a little bit, it would stay regular.
[01:14:53.940 --> 01:14:55.700]   Yeah, this was back in 2000.
[01:14:55.700 --> 01:14:58.440]   That was part of why I got interested in Nari-Sogs afterwards, actually.
[01:14:58.440 --> 01:15:02.740]   Yeah, so I developed some techniques to solve that problem.
[01:15:02.740 --> 01:15:07.660]   So part of it is this problem is really nonlinear because of the curvature of the sphere.
[01:15:08.660 --> 01:15:12.440]   There was a certain nonlinear effect, which was a non-perturbative effect.
[01:15:12.440 --> 01:15:17.360]   It was when you sort of looked at it normally, it looked larger than the linear effects of the wave equation.
[01:15:17.360 --> 01:15:23.040]   And so it was hard to keep things under control, even when the energy was small.
[01:15:23.040 --> 01:15:25.320]   But I developed what's called a gauge transformation.
[01:15:25.320 --> 01:15:31.200]   So the equation is kind of like an evolution of sheaves of wheat, and they're all bending back and forth.
[01:15:31.200 --> 01:15:32.420]   And so there's a lot of motion.
[01:15:32.420 --> 01:15:38.240]   But if you imagine stabilizing the flow by attaching little cameras at different points in space,
[01:15:38.240 --> 01:15:41.520]   which are trying to move in a way that captures most of the motion.
[01:15:41.520 --> 01:15:45.720]   And under this sort of stabilized flow, the flow becomes a lot more linear.
[01:15:45.720 --> 01:15:52.440]   I discovered a way to transform the equation to reduce the amount of nonlinear effects.
[01:15:52.440 --> 01:15:55.600]   And then I was able to solve the equation.
[01:15:55.600 --> 01:15:59.000]   I found this transformation while visiting my aunt in Australia.
[01:15:59.000 --> 01:16:03.860]   And I was trying to understand the dynamics of all these fields, and I couldn't do it with pen and paper.
[01:16:04.440 --> 01:16:07.680]   And I had none of the facility of computers to do any computer simulations.
[01:16:07.680 --> 01:16:14.140]   So I ended up closing my eyes, being on the floor, and just imagining myself to actually be the specter field,
[01:16:14.140 --> 01:16:21.620]   and rolling around to try to see how to change coordinates in such a way that somehow things in all directions would behave in a reasonably linear fashion.
[01:16:22.400 --> 01:16:25.020]   And yeah, my aunt walked in on me while I was doing that.
[01:16:25.020 --> 01:16:27.460]   And she was asking, what am I doing, doing this?
[01:16:27.460 --> 01:16:29.640]   It's complicated, is the answer.
[01:16:29.640 --> 01:16:30.020]   Yeah, yeah.
[01:16:30.020 --> 01:16:31.780]   And she said, okay, fine.
[01:16:31.780 --> 01:16:32.540]   You're a young man.
[01:16:32.540 --> 01:16:33.300]   I don't ask questions.
[01:16:34.360 --> 01:16:40.360]   I have to ask about the, you know, how do you approach solving difficult problems?
[01:16:40.360 --> 01:16:53.020]   If it's possible to go inside your mind when you're thinking, are you visualizing in your mind the mathematical objects, symbols maybe?
[01:16:53.020 --> 01:16:56.700]   What are you visualizing in your mind usually when you're thinking?
[01:16:57.100 --> 01:16:58.040]   A lot of pen and paper.
[01:16:58.040 --> 01:17:02.880]   One thing you pick up as a mathematician is sort of, I call it cheating strategically.
[01:17:02.880 --> 01:17:10.460]   So the beauty of mathematics is that you get to change the rule, change the problem, change the rules as you wish.
[01:17:10.460 --> 01:17:13.380]   You don't get to do this for any other field.
[01:17:13.380 --> 01:17:19.000]   Like, you know, if you're an engineer and someone says, build a bridge over this river, you can't say, I want to build this bridge over here instead.
[01:17:19.000 --> 01:17:21.140]   Or I want to put it out of paper instead of steel.
[01:17:21.140 --> 01:17:24.300]   But a mathematician, you can do whatever you want.
[01:17:26.660 --> 01:17:31.440]   It's like trying to solve a computer game where you can, there's unlimited cheat codes available.
[01:17:31.440 --> 01:17:37.980]   And so, you know, you can set this, there's a dimension that's too large.
[01:17:37.980 --> 01:17:38.700]   I'll set it to one.
[01:17:38.700 --> 01:17:39.940]   I'd solve the one-dimensional problem first.
[01:17:39.940 --> 01:17:42.120]   So there's a main term and an error term.
[01:17:42.120 --> 01:17:43.760]   I'm going to make a spherical car assumption.
[01:17:43.760 --> 01:17:44.960]   I'll assume the error term is zero.
[01:17:44.960 --> 01:17:50.620]   And so the way you should solve these problems is not in sort of this Iron Man mode where you make things maximally difficult.
[01:17:51.540 --> 01:18:03.160]   But actually, the way you should approach any reasonable math problem is that if there are 10 things that are making it difficult, find a version of the problem that turns off nine of the difficulties but only keeps one of them.
[01:18:03.160 --> 01:18:05.200]   And solve that.
[01:18:05.200 --> 01:18:07.300]   And then that just figures.
[01:18:07.300 --> 01:18:09.260]   So you install nine cheats.
[01:18:09.260 --> 01:18:11.120]   Okay, if you install 10 cheats, then the game is trivial.
[01:18:11.120 --> 01:18:12.100]   But you install nine cheats.
[01:18:12.100 --> 01:18:13.140]   You solve one problem.
[01:18:13.500 --> 01:18:16.620]   That teaches you how to deal with that particular difficulty.
[01:18:16.620 --> 01:18:19.640]   And then you turn that one off and you turn someone else on.
