
[00:00:00.000 --> 00:00:01.640]   what do women want?
[01:12:27.560 --> 01:12:30.600]   Women on average prioritize resources,
[01:12:30.600 --> 01:12:32.040]   resource acquisition,
[01:12:32.040 --> 01:12:34.400]   qualities that lead to resource acquisition
[01:12:34.400 --> 01:12:37.760]   like status, ambition, industriousness, and so forth.
[01:12:37.760 --> 01:12:39.520]   But there's overlap in the distributions.
[01:12:39.520 --> 01:12:43.480]   So some women place the total priority
[01:12:43.480 --> 01:12:45.840]   on how physically attractive the guy is,
[01:12:45.840 --> 01:12:50.520]   and some men view that as irrelevant.
[01:12:50.520 --> 01:12:54.000]   And so the point that I'm making
[01:12:54.000 --> 01:12:58.480]   is that there are psychological sex differences
[01:12:58.480 --> 01:13:01.960]   that make some people uncomfortable.
[01:13:01.960 --> 01:13:06.960]   But it's one of these things where I'm a scientist,
[01:13:06.960 --> 01:13:11.120]   I'm not a political advocate,
[01:13:11.120 --> 01:13:14.680]   and so I adhere to the empirical data.
[01:13:14.680 --> 01:13:17.120]   Empirical data are very strong in these domains.
[01:13:17.120 --> 01:13:19.280]   So with respect to sex differences
[01:13:19.280 --> 01:13:21.880]   in the mating domain and sexuality,
[01:13:21.880 --> 01:13:23.600]   and things we haven't even talked about
[01:13:23.600 --> 01:13:26.040]   like desire for sexual variety
[01:13:26.040 --> 01:13:29.440]   and sex differences in the whole desire
[01:13:29.440 --> 01:13:33.960]   for short-term mating, huge sex differences there.
[01:13:33.960 --> 01:13:36.680]   And these have been documented universally in all cultures.
[01:13:36.680 --> 01:13:41.680]   So, okay, now, are there things that are culture-specific
[01:13:41.680 --> 01:13:46.840]   or social-cultural overlays
[01:13:46.840 --> 01:13:50.320]   onto these fundamental psychological sex differences?
[01:13:50.320 --> 01:13:51.240]   Absolutely.
[01:13:51.240 --> 01:13:57.560]   But there's also an issue of levels of analysis,
[01:13:57.560 --> 01:14:00.000]   levels of abstraction,
[01:14:00.000 --> 01:14:02.880]   and how closely you look at the phenomenon.
[01:14:02.880 --> 01:14:06.040]   So quick analogy, language.
[01:14:06.040 --> 01:14:10.280]   So you say, well, in China, they speak Chinese.
[01:14:10.280 --> 01:14:12.120]   In Korea, they speak Korean.
[01:14:12.120 --> 01:14:14.920]   In Brazil, they speak Portuguese.
[01:14:14.920 --> 01:14:18.200]   So look how culturally infinitely variable languages are,
[01:14:18.200 --> 01:14:20.080]   which they are at that level.
[01:14:20.080 --> 01:14:25.080]   But do humans have a universal human innate grammar?
[01:14:25.080 --> 01:14:29.520]   And I think the evidence points to the answer yes to that.
[01:14:29.520 --> 01:14:32.480]   At least that's what Steve Pink or Paul Bloom
[01:14:32.480 --> 01:14:35.280]   and some others argue.
[01:14:35.280 --> 01:14:37.640]   So at one level of abstraction,
[01:14:37.640 --> 01:14:39.920]   things are infinitely culturally variable
[01:14:39.920 --> 01:14:42.400]   or at least highly culturally variable.
[01:14:42.400 --> 01:14:45.400]   At another level of abstraction, there's universality.
[01:14:45.400 --> 01:14:49.320]   So here's one example in the mating domain of this.
[01:14:49.320 --> 01:14:54.000]   So Margaret Mead, who is a famous anthropologist,
[01:14:54.000 --> 01:14:57.240]   studied the Samoan Islanders,
[01:14:57.240 --> 01:14:59.680]   and she tried to argue basically
[01:14:59.680 --> 01:15:03.040]   for the infinite malleability of things like gender
[01:15:03.040 --> 01:15:04.880]   and gender roles and so forth.
[01:15:04.880 --> 01:15:07.200]   And she said, look at this culture.
[01:15:07.200 --> 01:15:10.600]   In this culture, it's the men who paint their face,
[01:15:10.600 --> 01:15:12.920]   whereas in Western cultures,
[01:15:12.920 --> 01:15:15.760]   it's the women who wear makeup and so forth.
[01:15:15.760 --> 01:15:19.320]   Well, it turns out if you look carefully at the culture
[01:15:19.320 --> 01:15:20.660]   where men paint their face,
[01:15:20.660 --> 01:15:23.840]   they're painting war paint on their face.
[01:15:23.840 --> 01:15:26.880]   They're not putting on makeup
[01:15:26.880 --> 01:15:30.400]   to enhance their cues to youth and cues to health.
[01:15:30.400 --> 01:15:31.760]   They're putting on war paint
[01:15:31.760 --> 01:15:33.680]   to make themselves more ferocious
[01:15:33.680 --> 01:15:36.800]   or to demarcate what tribe they're in,
[01:15:36.800 --> 01:15:38.480]   what coalition they're in.
[01:15:38.480 --> 01:15:41.240]   And so at sort of one level of abstraction,
[01:15:41.240 --> 01:15:44.480]   you could say, well, there's high cultural variability
[01:15:44.480 --> 01:15:46.780]   in application of face paint,
[01:15:46.780 --> 01:15:47.840]   but on another level,
[01:15:47.840 --> 01:15:51.040]   there's really a fundamental functional difference
[01:15:51.040 --> 01:15:55.120]   in the purpose to which the paint is applied.
[01:15:55.120 --> 01:16:00.240]   - Yeah, and then you can abstract the paint away
[01:16:00.240 --> 01:16:03.800]   and fashion in general is magnify the characteristics
[01:16:03.800 --> 01:16:06.240]   that are appealing to the opposite sex.
[01:16:06.240 --> 01:16:07.840]   'Cause war paint is probably,
[01:16:07.840 --> 01:16:10.760]   you're magnifying the characteristics
[01:16:10.760 --> 01:16:13.720]   that are appealing to the other sex.
[01:16:13.720 --> 01:16:16.880]   So ability to gain resources, maintain resources,
[01:16:16.880 --> 01:16:22.040]   status in the hierarchy, all those kinds of things.
[01:16:22.040 --> 01:16:23.800]   - Well, that's part of it,
[01:16:23.800 --> 01:16:26.280]   but I think another part has to do with,
[01:16:26.280 --> 01:16:28.440]   in that case, male coalitions.
[01:16:28.440 --> 01:16:31.360]   So we were in a intense,
[01:16:31.360 --> 01:16:33.080]   this is another unique characteristic.
[01:16:33.080 --> 01:16:35.320]   I don't know if you got into this with Richard Wrangham.
[01:16:35.320 --> 01:16:36.920]   I don't remember you talking about this,
[01:16:36.920 --> 01:16:41.000]   but he's written a lot about male coalitionary psychology
[01:16:41.000 --> 01:16:46.000]   and humans cooperate to an extraordinary degree
[01:16:46.000 --> 01:16:50.680]   in forming coalitions for the purpose
[01:16:50.680 --> 01:16:53.160]   of competing with rival coalitions.
[01:16:53.160 --> 01:16:55.720]   And so you even see this with,
[01:16:55.720 --> 01:16:58.080]   well, you see it in the sports arenas
[01:16:58.080 --> 01:17:02.560]   with team sports, where this team wears a different uniform
[01:17:02.560 --> 01:17:06.280]   than that team, they have different mascot, et cetera.
[01:17:06.280 --> 01:17:11.280]   And so part of that is male coalitionary psychology.
[01:17:11.280 --> 01:17:16.080]   - Well, so you write, again, returning to the textbook.
[01:17:16.080 --> 01:17:18.520]   Now, people should know you wrote a lot of incredible book
[01:17:18.520 --> 01:17:20.280]   that is maybe more accessible
[01:17:20.280 --> 01:17:22.680]   than the evolutionary psychology textbook, but--
[01:17:22.680 --> 01:17:27.280]   - The evolutionary psychology textbook is very accessible.
[01:17:27.280 --> 01:17:28.800]   - Yes, it is extremely accessible,
[01:17:28.800 --> 01:17:30.320]   but that's not your thing.
[01:17:30.320 --> 01:17:34.520]   And on Amazon, you can't, it's a pain.
[01:17:34.520 --> 01:17:35.480]   It's a textbook.
[01:17:35.480 --> 01:17:38.400]   It's a little bit more of a pain to purchase,
[01:17:38.400 --> 01:17:40.600]   which I did, I bought all your books.
[01:17:40.600 --> 01:17:42.120]   They're amazing.
[01:17:42.120 --> 01:17:43.920]   We'll talk about a bunch of them.
[01:17:43.920 --> 01:17:46.720]   But in terms of coalitions,
[01:17:46.720 --> 01:17:49.680]   in chapter 12 of your evolutionary psychology textbook,
[01:17:49.680 --> 01:17:53.840]   you write about status, prestige, and social dominance.
[01:17:53.840 --> 01:17:57.440]   So how do hierarchies of status and social dominance emerge
[01:17:57.440 --> 01:17:59.040]   in human society?
[01:17:59.040 --> 01:18:02.800]   And what's the value of status in sexual selection?
[01:18:02.800 --> 01:18:07.000]   We talked about cues of individual health
[01:18:07.000 --> 01:18:08.280]   and all that kind of stuff,
[01:18:08.280 --> 01:18:10.080]   but what the heck's the purpose of status?
[01:18:10.080 --> 01:18:13.360]   Why does it matter if I'm the big boss?
[01:18:13.360 --> 01:18:18.640]   - Well, it matters because status
[01:18:20.360 --> 01:18:23.920]   influences your access to resources
[01:18:23.920 --> 01:18:26.520]   and your ability to influence other people
[01:18:26.520 --> 01:18:28.800]   within your group.
[01:18:28.800 --> 01:18:32.800]   And so this is part of the reason why women
[01:18:32.800 --> 01:18:37.160]   prioritize a man's social status,
[01:18:37.160 --> 01:18:39.320]   how he is viewed in the eyes of others,
[01:18:39.320 --> 01:18:43.840]   because high-status men have access to more resources.
[01:18:43.840 --> 01:18:47.220]   It's interesting that you ask about that
[01:18:47.220 --> 01:18:50.160]   because I've just published,
[01:18:50.160 --> 01:18:52.000]   this is with Patrick Durkee,
[01:18:52.000 --> 01:18:53.640]   a former graduate student of mine.
[01:18:53.640 --> 01:18:56.400]   We published a couple papers on precisely this issue
[01:18:56.400 --> 01:19:00.320]   where we looked at what we call human status criteria.
[01:19:00.320 --> 01:19:02.840]   That is, what are the things that lead to increases
[01:19:02.840 --> 01:19:04.500]   or decreases in status?
[01:19:04.500 --> 01:19:07.240]   And we did this in 14 different cultures.
[01:19:07.240 --> 01:19:10.000]   And we found some things that are universal,
[01:19:10.000 --> 01:19:12.900]   but also some things that are sex-differentiated.
[01:19:12.900 --> 01:19:18.600]   And so universal things like people value
[01:19:19.440 --> 01:19:24.440]   trustworthiness, they value intelligence, wisdom, knowledge.
[01:19:24.440 --> 01:19:29.920]   So it's even, if you go across cultures,
[01:19:29.920 --> 01:19:34.920]   even to the small-scale cultures that we alluded to earlier,
[01:19:34.920 --> 01:19:38.940]   there are these wise people, wise men, wise women
[01:19:38.940 --> 01:19:43.940]   in the culture who have people go to for advice, for wisdom.
[01:19:43.940 --> 01:19:48.240]   And so having a wide range of knowledge
[01:19:48.240 --> 01:19:51.320]   is a universal status criterion.
[01:19:51.320 --> 01:19:53.600]   And there's some things that are sex-differentiated,
[01:19:53.600 --> 01:19:56.880]   and they often fall into the mating domain as well.
[01:19:56.880 --> 01:19:58.620]   This is where mating and status
[01:19:58.620 --> 01:20:02.520]   are interestingly related to each other
[01:20:02.520 --> 01:20:07.520]   in that successful mating increases your status,
[01:20:07.520 --> 01:20:10.680]   but having high status also gives you access
[01:20:10.680 --> 01:20:12.520]   to more desirable mates.
[01:20:12.520 --> 01:20:16.920]   And so the game gets harder and harder always.
[01:20:16.920 --> 01:20:21.480]   - So wait, so are we talking about what are the characteristics,
[01:20:21.480 --> 01:20:26.240]   what's the role of power and wealth, those kinds of things?
[01:20:26.240 --> 01:20:28.120]   So you said wisdom is universal.
[01:20:28.120 --> 01:20:28.960]   - Yeah.
[01:20:28.960 --> 01:20:29.800]   - What about wealth and power?
[01:20:29.800 --> 01:20:33.840]   - Yeah, well, I guess it depends on what you mean by power.
[01:20:33.840 --> 01:20:37.600]   So I think of power as the ability to influence--
[01:20:37.600 --> 01:20:38.560]   - A large number of people.
[01:20:38.560 --> 01:20:43.560]   - Yeah, so, and this is one of the interesting things
[01:20:44.200 --> 01:20:47.040]   about the fact that cash economies
[01:20:47.040 --> 01:20:50.840]   are evolutionarily very recent,
[01:20:50.840 --> 01:20:53.960]   in that people are like, so I guess recently,
[01:20:53.960 --> 01:20:55.800]   or it's about to happen,
[01:20:55.800 --> 01:20:59.960]   that Elon Musk is gonna buy Twitter.
[01:20:59.960 --> 01:21:01.420]   - Yeah, it's happened.
[01:21:01.420 --> 01:21:02.360]   - Has it happened already?
[01:21:02.360 --> 01:21:03.200]   - Yeah.
[01:21:03.200 --> 01:21:05.400]   - Okay, so they say that the wealthiest,
[01:21:05.400 --> 01:21:07.760]   or one of the wealthiest men on Earth
[01:21:07.760 --> 01:21:11.400]   has now purchased the most influential media platform
[01:21:11.400 --> 01:21:13.720]   on Earth.
[01:21:13.720 --> 01:21:18.720]   So obviously, you or I couldn't compete with Elon Musk
[01:21:18.720 --> 01:21:21.720]   for the purchase of Twitter.
[01:21:21.720 --> 01:21:25.840]   And so the fact that cash economies
[01:21:25.840 --> 01:21:29.680]   allow the stockpiling of unprecedented amounts of wealth
[01:21:29.680 --> 01:21:33.920]   produces these tremendous power differentials
[01:21:33.920 --> 01:21:37.020]   that didn't exist in over most
[01:21:37.020 --> 01:21:38.620]   of human evolutionary history.
[01:21:38.620 --> 01:21:41.320]   - So their wealth is power,
[01:21:41.320 --> 01:21:42.720]   but you can also be,
[01:21:42.720 --> 01:21:47.080]   power can be attained through other ways.
[01:21:47.080 --> 01:21:49.840]   - Yeah, but I would say that the interesting thing
[01:21:49.840 --> 01:21:54.840]   about wealth is that it's an infinitely fungible resource.
[01:21:54.840 --> 01:21:59.960]   So you can use it and translate it
[01:21:59.960 --> 01:22:02.280]   into many, many other things,
[01:22:02.280 --> 01:22:07.280]   like buying Twitter, or buying a big house,
[01:22:07.320 --> 01:22:12.320]   or even getting mates, or an artificial,
[01:22:12.320 --> 01:22:16.200]   I don't know if you wanna get into that at all,
[01:22:16.200 --> 01:22:18.680]   but I know they have these sex dolls,
[01:22:18.680 --> 01:22:23.680]   or virtual reality sex that some people are developing.
[01:22:23.680 --> 01:22:25.960]   If you have enough resources,
[01:22:25.960 --> 01:22:27.480]   you can purchase things like that.
[01:22:27.480 --> 01:22:32.360]   So you can translate wealth into a variety
[01:22:32.360 --> 01:22:35.880]   of other tangible things in ways
[01:22:35.880 --> 01:22:37.680]   that you couldn't ancestrally.
[01:22:37.680 --> 01:22:40.280]   - That's one really powerful thing.
[01:22:40.280 --> 01:22:43.400]   But there is still power that's correlated,
[01:22:43.400 --> 01:22:47.200]   but not intricately connected to wealth,
[01:22:47.200 --> 01:22:49.720]   which is like being leaders of nations.
[01:22:49.720 --> 01:22:51.920]   Technically, the President of the United States' salary
[01:22:51.920 --> 01:22:53.680]   is not very high.
[01:22:53.680 --> 01:22:54.840]   - Right.
[01:22:54.840 --> 01:22:58.120]   - Presidents, and then you go outside of that,
