
[00:00:00.000 --> 00:00:02.240]   a generally well-educated human.
[00:43:21.340 --> 00:43:23.580]   We've seen enormously more of these groks now,
[00:43:23.580 --> 00:43:25.300]   and so we're well calibrated,
[00:43:25.300 --> 00:43:26.700]   but there's still uncertainty, right?
[00:43:26.700 --> 00:43:29.620]   In all these statements, I said, in two or three years,
[00:43:29.620 --> 00:43:30.700]   we might be there, right?
[00:43:30.700 --> 00:43:32.380]   There's a substantial risk of it,
[00:43:32.380 --> 00:43:33.660]   and we don't wanna take that risk.
[00:43:33.660 --> 00:43:37.060]   But I wouldn't say it's 100%, it could be 50/50.
[00:43:37.060 --> 00:43:38.580]   - Okay, let's talk about cybersecurity,
[00:43:38.580 --> 00:43:40.980]   which in addition to bio-risk is another thing
[00:43:40.980 --> 00:43:42.980]   Anthropic has been emphasizing.
[00:43:42.980 --> 00:43:46.060]   How have you avoided the cloud microarchitecture
[00:43:46.060 --> 00:43:46.900]   from leaking?
[00:43:46.900 --> 00:43:48.460]   Because as you know, your competitors
[00:43:48.460 --> 00:43:51.260]   have been less successful at this kind of security.
[00:43:51.260 --> 00:43:53.060]   - Can't comment on anyone else's security.
[00:43:53.060 --> 00:43:54.620]   Don't know what's going on in there.
[00:43:54.620 --> 00:43:57.420]   A thing that we have done is,
[00:43:57.420 --> 00:44:01.300]   so there are these architectural innovations, right,
[00:44:01.300 --> 00:44:02.460]   that make training more efficient.
[00:44:02.460 --> 00:44:04.260]   We call them compute multipliers
[00:44:04.260 --> 00:44:07.020]   because they're the equivalent of improving,
[00:44:07.020 --> 00:44:10.740]   they're like having more compute.
[00:44:10.740 --> 00:44:12.100]   Our compute multipliers, again,
[00:44:12.100 --> 00:44:13.580]   I don't wanna say too much about it
[00:44:13.580 --> 00:44:15.100]   because it could allow an adversary
[00:44:15.100 --> 00:44:18.220]   to counteract our measures.
[00:44:18.220 --> 00:44:19.940]   But we limit the number of people
[00:44:19.940 --> 00:44:24.300]   who are aware of a given compute multiplier
[00:44:24.300 --> 00:44:26.100]   to those who need to know about it.
[00:44:26.100 --> 00:44:29.180]   And so there's a very small number of people
[00:44:29.180 --> 00:44:30.540]   who could leak all of these secrets.
[00:44:30.540 --> 00:44:31.580]   There's a larger number of people
[00:44:31.580 --> 00:44:33.380]   who could leak one of them.
[00:44:33.380 --> 00:44:36.380]   But this is the standard compartmentalization strategy
[00:44:36.380 --> 00:44:38.300]   that's used in the intelligence community
[00:44:38.300 --> 00:44:42.820]   or resistant cells or whatever.
[00:44:42.820 --> 00:44:47.100]   So we've, over the last few months,
[00:44:47.100 --> 00:44:48.540]   we've implemented these measures.
[00:44:48.540 --> 00:44:50.500]   So I don't wanna jinx anything by saying,
[00:44:50.500 --> 00:44:52.660]   oh, this could never happen to us,
[00:44:52.660 --> 00:44:55.580]   but I think it would be harder for it to happen.
[00:44:55.580 --> 00:44:57.140]   I don't wanna go into any more detail.
[00:44:57.140 --> 00:44:59.740]   And by the way, I'd encourage all the other companies
[00:44:59.740 --> 00:45:00.580]   to do this as well.
[00:45:00.580 --> 00:45:04.620]   As much as competitors' architectures leaking
[00:45:04.620 --> 00:45:06.620]   is narrowly helpful to Anthropic,
[00:45:06.620 --> 00:45:09.340]   it's not good for anyone in the long run, right?
[00:45:09.340 --> 00:45:11.820]   So security around this stuff is really important.
[00:45:11.820 --> 00:45:13.700]   - Even with all the security you have,
[00:45:13.700 --> 00:45:15.420]   could you, with your current security,
[00:45:15.420 --> 00:45:17.620]   prevent a dedicated state-level actor
[00:45:17.620 --> 00:45:19.220]   from getting the CLAW-2 weights?
[00:45:19.220 --> 00:45:22.380]   - It depends how dedicated is what I would say.
[00:45:22.380 --> 00:45:26.420]   Our head of security, who used to work on security
[00:45:26.420 --> 00:45:31.140]   for Chrome, which very widely used an attack application,
[00:45:31.140 --> 00:45:32.980]   he likes to think about it in terms of
[00:45:32.980 --> 00:45:36.180]   how much would it cost to attack Anthropic successfully?
[00:45:36.180 --> 00:45:37.860]   Again, I don't wanna go into super detail
[00:45:37.860 --> 00:45:39.420]   of how much I think it will cost to attack,
[00:45:39.420 --> 00:45:40.820]   and it's just kind of inviting people,
[00:45:40.820 --> 00:45:43.740]   but one of our goals is that it costs more
[00:45:43.740 --> 00:45:46.660]   to attack Anthropic than it costs
[00:45:46.660 --> 00:45:48.700]   to just train your own model,
[00:45:48.700 --> 00:45:50.180]   which doesn't guarantee things
[00:45:50.180 --> 00:45:52.140]   because, of course, you need the talent as well,
[00:45:52.140 --> 00:45:56.020]   so you might still, but attacks have risks,
[00:45:56.020 --> 00:45:59.460]   the diplomatic costs, and they use up
[00:45:59.460 --> 00:46:02.820]   the very sparse resources that nation-state actors
[00:46:02.820 --> 00:46:05.940]   might have in order to do the attacks.
[00:46:05.940 --> 00:46:07.500]   So we're not there yet, by the way,
[00:46:07.500 --> 00:46:12.500]   but I think we're to a very high standard
[00:46:12.500 --> 00:46:14.540]   compared to the size of company that we are.
[00:46:14.540 --> 00:46:16.260]   Like, I think if you look at security
[00:46:16.260 --> 00:46:19.260]   for most 150-person companies,
[00:46:19.260 --> 00:46:21.740]   I think there's just no comparison,
[00:46:21.740 --> 00:46:26.740]   but could we resist if it was a state actor's top priority
[00:46:26.740 --> 00:46:28.820]   to steal our model weights?
[00:46:28.820 --> 00:46:30.140]   No, they would succeed.
[00:46:30.140 --> 00:46:32.100]   - How long does that stay true?
[00:46:32.100 --> 00:46:34.940]   Because at some point, the value keeps increasing
[00:46:34.940 --> 00:46:37.980]   and increasing, and another part of this question
[00:46:37.980 --> 00:46:41.260]   is that what kind of a secret is
[00:46:41.260 --> 00:46:43.900]   how to train Cloud 3 or Cloud 2?
[00:46:43.900 --> 00:46:46.500]   Is it, you know, with nuclear weapons, for example,
[00:46:46.500 --> 00:46:48.820]   we have lots of spies, you just take a blueprint across,
[00:46:48.820 --> 00:46:51.780]   and that's the implosion device, and that's what you need.
[00:46:51.780 --> 00:46:53.500]   Here, is it just, is it more tacit,
[00:46:53.500 --> 00:46:54.940]   like the thing you were talking about, biology,
[00:46:54.940 --> 00:46:56.180]   you need to know how these reagents work?
[00:46:56.180 --> 00:46:57.820]   Is it just like, you got the blueprint,
[00:46:57.820 --> 00:46:58.660]   you got the microarchitecture
[00:46:58.660 --> 00:46:59.500]   and the hardware parameters, you're good to go?
[00:46:59.500 --> 00:47:01.460]   - I mean, there are some things that are like,
[00:47:01.460 --> 00:47:02.860]   you know, a one-line equation,
[00:47:02.860 --> 00:47:05.300]   and there are other things that are more complicated.
[00:47:05.300 --> 00:47:09.380]   And I think compartmentalization is the best way to do it.
[00:47:09.380 --> 00:47:11.660]   Just limit the number of people who know about something.
[00:47:11.660 --> 00:47:12.980]   If you're a thousand-person company
[00:47:12.980 --> 00:47:14.340]   and everyone knows every secret,
[00:47:14.340 --> 00:47:17.300]   like one, I guarantee you have a leaker,
[00:47:17.300 --> 00:47:19.820]   and two, I guarantee you have a spy, like a literal spy.
[00:47:19.820 --> 00:47:21.220]   - Okay, let's talk about alignment.
[00:47:21.220 --> 00:47:22.940]   And let's talk about mechanistic interoperability,
[00:47:22.940 --> 00:47:26.700]   which is the branch of which you guys specialize in.
[00:47:26.700 --> 00:47:28.340]   While you're answering this question,
[00:47:28.340 --> 00:47:29.220]   you might want to explain
[00:47:29.220 --> 00:47:30.900]   what mechanistic interoperability is.
[00:47:30.900 --> 00:47:33.540]   But just the broader question is,
[00:47:33.540 --> 00:47:35.660]   mechanistically, what is alignment?
[00:47:35.660 --> 00:47:38.740]   Is it that you're locking in the model
[00:47:38.740 --> 00:47:40.820]   into a benevolent character?
[00:47:40.820 --> 00:47:43.820]   Are you disabling deceptive circuits and procedures?
[00:47:43.820 --> 00:47:47.020]   Like what concretely is happening when you align a model?
[00:47:47.020 --> 00:47:49.380]   - I think as with most things, you know,
[00:47:49.380 --> 00:47:51.700]   when we actually train a model to be aligned,
[00:47:51.700 --> 00:47:54.220]   we don't know what happens inside the model, right?
[00:47:54.220 --> 00:47:56.100]   There are different ways of training it to be aligned,
[00:47:56.100 --> 00:47:58.380]   but I think we don't really know what happens.
[00:47:58.380 --> 00:48:01.180]   I mean, I think for some of the current methods,
[00:48:01.180 --> 00:48:02.300]   I think all the current methods
[00:48:02.300 --> 00:48:04.300]   that involve some kind of fine tuning,
[00:48:04.300 --> 00:48:05.660]   of course have the property
[00:48:05.660 --> 00:48:07.820]   that the underlying knowledge and abilities
[00:48:07.820 --> 00:48:11.340]   that we might be worried about don't disappear.
[00:48:11.340 --> 00:48:12.380]   It's just, you know,
[00:48:12.380 --> 00:48:14.940]   the model is just taught not to output them.
[00:48:14.940 --> 00:48:17.900]   I don't know if that's a fatal flaw or if, you know,
[00:48:17.900 --> 00:48:20.060]   or if that's just the way things have to be.
[00:48:20.060 --> 00:48:22.180]   I don't know what's going on inside mechanistically,
[00:48:22.180 --> 00:48:23.300]   and I think that's the whole point
[00:48:23.300 --> 00:48:24.980]   of mechanistic interoperability,
[00:48:25.020 --> 00:48:28.460]   to really understand what's going on inside the models
[00:48:28.460 --> 00:48:30.540]   at the level of individual circuits.
[00:48:30.540 --> 00:48:31.700]   - Eventually when it's solved,
[00:48:31.700 --> 00:48:33.300]   what does the solution look like?
[00:48:33.300 --> 00:48:36.100]   What is it the case where if you're Cloud4,
[00:48:36.100 --> 00:48:38.100]   you do the mechanistic interoperability thing
[00:48:38.100 --> 00:48:39.940]   and you're like, "I'm satisfied, it's aligned."
[00:48:39.940 --> 00:48:41.300]   What is it that you've seen?
[00:48:41.300 --> 00:48:44.940]   - Yeah, so I think we don't know that yet.
[00:48:44.940 --> 00:48:47.020]   I think we don't know enough to know that yet.
[00:48:47.020 --> 00:48:48.620]   I mean, I can give you a sketch
[00:48:48.620 --> 00:48:50.900]   for like what the process looks like
[00:48:50.900 --> 00:48:53.740]   as opposed to what the final result looks like.
[00:48:53.740 --> 00:48:56.700]   So I think verifiability is a lot of the challenge here,
[00:48:56.700 --> 00:48:57.540]   right?
[00:48:57.540 --> 00:49:01.420]   We have all these methods that purport to align AI systems
[00:49:01.420 --> 00:49:04.860]   and do succeed at doing so for today's tasks.
[00:49:04.860 --> 00:49:07.340]   But then the question is always,
[00:49:07.340 --> 00:49:08.860]   if you had a more powerful model
[00:49:08.860 --> 00:49:11.420]   or if you had a model in a different situation,
[00:49:11.420 --> 00:49:13.180]   would it be aligned?
[00:49:13.180 --> 00:49:15.380]   And so I think this problem would be much easier
[00:49:15.380 --> 00:49:18.420]   if you had an Oracle that could just scan a model
[00:49:18.420 --> 00:49:21.060]   and say like, "Okay, I know this model is aligned.
[00:49:21.060 --> 00:49:23.940]   "I know what it'll do in every situation."
[00:49:23.940 --> 00:49:25.740]   Then the problem would be much easier.
[00:49:25.740 --> 00:49:27.860]   And I think the closest thing we have to that
[00:49:27.860 --> 00:49:30.460]   is something like mechanistic interpretability.
[00:49:30.460 --> 00:49:33.020]   It's not anywhere near up to the task yet.
[00:49:33.020 --> 00:49:34.860]   But I guess I would say,
[00:49:34.860 --> 00:49:37.500]   I think of it as almost like an extended training set
[00:49:37.500 --> 00:49:39.500]   and an extended test set, right?
[00:49:39.500 --> 00:49:40.420]   Everything we're doing,
[00:49:40.420 --> 00:49:41.660]   all the alignment methods we're doing
[00:49:41.660 --> 00:49:43.120]   are the training set, right?
[00:49:43.120 --> 00:49:45.440]   You can run tests in them,
[00:49:45.440 --> 00:49:47.020]   but will it really work out a distribution?
[00:49:47.020 --> 00:49:48.980]   Will it really work in another situation?
[00:49:48.980 --> 00:49:51.380]   Mechanistic interpretability is the only thing
[00:49:51.380 --> 00:49:53.060]   that even in principle,
[00:49:53.060 --> 00:49:54.620]   and we're nowhere near there yet,
[00:49:54.620 --> 00:49:57.420]   but even in principle is the thing where it's like,
[00:49:57.420 --> 00:49:59.700]   it's more like an X-ray of the model
[00:49:59.700 --> 00:50:01.100]   than a modification of the model, right?
[00:50:01.100 --> 00:50:03.980]   It's more like an assessment than an intervention.
[00:50:03.980 --> 00:50:07.100]   And so somehow we need to get into a dynamic
[00:50:07.100 --> 00:50:09.300]   where we have an extended test set,
[00:50:09.300 --> 00:50:10.700]   an extended training set,
[00:50:10.700 --> 00:50:12.380]   which is all these alignment methods
[00:50:12.380 --> 00:50:13.780]   and an extended test set,
[00:50:13.780 --> 00:50:18.380]   which is kind of like you X-ray the model and say like,
[00:50:18.380 --> 00:50:20.180]   okay, what works and what didn't,
[00:50:20.180 --> 00:50:22.980]   in a way that goes beyond just the empirical tests
[00:50:22.980 --> 00:50:25.660]   that you've run, right?
[00:50:25.660 --> 00:50:26.500]   Where you're saying,
[00:50:26.500 --> 00:50:30.940]   what is the model going to do in these situations?
[00:50:30.940 --> 00:50:32.780]   What is it within its capabilities to do
[00:50:32.780 --> 00:50:36.100]   instead of what did it do phenomenologically?
