
[00:00:00.000 --> 00:00:08.380]   and you see that manifest itself on D-Day, where you've got 6,939 vessels, of which there are 1,213
[01:09:37.260 --> 01:09:41.260]   what we're, what we're up to. You know, we want to be, you're our European neighbors. We're all friends
[01:09:41.260 --> 01:09:45.480]   together, this kind of stuff. Come and see what we've got. And he takes him to this airfield.
[01:09:45.480 --> 01:09:51.520]   There's a row of Messerschmitt 109s all lined up like sort of 50 of them. And the head of the army
[01:09:51.520 --> 01:09:55.780]   of the air sort of looks at him and goes, correct, that's impressive. And milk goes, well, let me go
[01:09:55.780 --> 01:10:00.080]   and take you to another airfield. And they, they go off the sort of the, uh, the back route out of the
[01:10:00.080 --> 01:10:04.860]   airfield and a long circuitous route in the Mercedes. Meanwhile, all the Messerschmitts take off
[01:10:04.860 --> 01:10:08.260]   from that airfield, going to land on the next airfield. Here's another, and they're all the
[01:10:08.260 --> 01:10:13.180]   same aircraft. And the commander in chief of the army of the air goes back to France and goes,
[01:10:13.180 --> 01:10:17.080]   we're never going to be able to eat Germany. So you would earlier, you were, you were alluding
[01:10:17.080 --> 01:10:21.260]   to this earlier on, you know, how much is this sort of this, this, this justice chutzpah of,
[01:10:21.260 --> 01:10:30.980]   of this ability to kind of portray the, the, the, the mechanized moloch. Um, yeah, it absolutely
[01:10:30.980 --> 01:10:38.300]   cows, the enemy. So, so then they're, they're increasing the effectiveness of their armed forces
[01:10:38.300 --> 01:10:45.220]   purely by propaganda and by, by mind games and by talking the talk. And, you know, you look at,
[01:10:45.220 --> 01:10:50.800]   we might all think these military parades that the Nazis have look rather silly by today's standards,
[01:10:50.800 --> 01:10:55.060]   but you look what that looks like. If you're the rest of the world, you're in Britain and you're
[01:10:55.060 --> 01:11:00.460]   still reeling from the depression and you see the triumph of the will. You see some of that footage
[01:11:00.460 --> 01:11:05.240]   and you see these automatons in their steel helmets and you see the swastikas and you see
[01:11:05.240 --> 01:11:10.060]   hundreds of thousands of people all lined up and see Kylie and all the rest of it. You're going to
[01:11:10.060 --> 01:11:15.640]   think again before you go into war with people like that. It's also hard to put yourself in the,
[01:11:15.640 --> 01:11:23.340]   in the mind of those leaders. Now, now that we have nuclear weapons, so nuclear weapons have
[01:11:23.340 --> 01:11:34.560]   created this kind of cloak of a kind of safety from mutually shared destruction that you think surely
[01:11:34.560 --> 01:11:43.480]   you will not do, you know, a million or two million, uh, soldier army invading another land,
[01:11:43.480 --> 01:11:51.340]   right? Just full on gigantic hot war. Uh, but at that time, that's the real possibility. You remember,
[01:11:51.340 --> 01:11:57.680]   you remember world war one, you remember all of that. So, you know, you're okay. There's a mad,
[01:11:57.680 --> 01:12:05.280]   uh, guy with a mustache. Uh, he's making statements that this land belongs to Germany anyway,
[01:12:05.280 --> 01:12:12.340]   cause it's mostly German, uh, populated. So, and like you said, Treaty of Versailles wasn't really
[01:12:12.340 --> 01:12:16.480]   fair and you can start justifying all kinds of things. Yeah. Yeah. Yeah. And maybe they got a point
[01:12:16.480 --> 01:12:20.960]   about the Danzig corridor, you know, they are mainly Germans, German speaking people there. And, you know,
[01:12:20.960 --> 01:12:25.320]   it's disconnected from East Prussia, which is this thing, you know, I can, I sort of get it, you know,
[01:12:25.380 --> 01:12:30.020]   maybe they've got a point, you know, and is Poland really a kind of thriving democracy anyway? Not
[01:12:30.020 --> 01:12:35.440]   really by 1930, late 1930s. It's not, it's to all intents and purposes, a dictatorship in Poland
[01:12:35.440 --> 01:12:41.840]   at that time. I mean, it's not right that you just go and take someone else's country. Of course you
[01:12:41.840 --> 01:12:48.660]   you can't do that, but, but you can see why in Germany people are thinking they've got a point.
[01:12:48.660 --> 01:12:53.320]   You can also see why in France and Britain, they're thinking, well, you know, do we really care about
[01:12:53.320 --> 01:13:00.020]   the Poles? I mean, you know, is it worth going to, to war over? Um, but there's kind of bigger things
[01:13:00.020 --> 01:13:05.540]   at play by this point. That that's the point. Yeah. But before we get to Poland, there is
[01:13:05.540 --> 01:13:14.860]   this meeting, September 1938. Uh, so Chamberlain made three trips to meet with Hitler. Yeah. Uh,
[01:13:14.860 --> 01:13:19.800]   which culminated in the Munich conference. Yeah. On the 30th of September. Yeah. Where was Chamberlain,
[01:13:19.800 --> 01:13:26.560]   Hitler, Mussolini and Delagier, prime minister of France. They met to discuss essentially Czechoslovakia
[01:13:26.560 --> 01:13:33.780]   without any of the government officials of Czechoslovakia participating. And Hitler promised to make
[01:13:33.780 --> 01:13:40.540]   no more territorial conquest and Chamberlain believed him. He chose to believe him. I think
[01:13:40.540 --> 01:13:44.340]   is the thing. It's the point. So, so it's very interesting. So, so Chamberlain gets a very bad
[01:13:44.340 --> 01:13:53.400]   press. Um, uh, well, no, I'm not, no, it's not really. Oh, it's, it's, it's, I, I just think there's
[01:13:53.400 --> 01:14:00.780]   too much retrospective view on this. And that's fine because we, the whole point of history is you can look
[01:14:00.780 --> 01:14:05.500]   back and you can judge decisions that were made at a certain point through the prism of what
[01:14:05.500 --> 01:14:09.180]   subsequently happened, which of course the people that are making the decisions at the time can't
[01:14:09.180 --> 01:14:17.720]   because they're in that particular moment. So I don't think Chamberlain did trust Hitler, but he
[01:14:17.720 --> 01:14:23.540]   wanted to give him the benefit of the doubt. Britain was not obliged to Czechoslovakia at all. France was.
[01:14:23.540 --> 01:14:28.880]   France had signed a treaty with, with Czechoslovakia in 1924, but, but, but, but Britain had not. So
[01:14:28.880 --> 01:14:33.540]   there was no obligation at all for Britain to do this. The only reason why Britain would go to war
[01:14:33.540 --> 01:14:39.440]   over Czechoslovakia is because of the threat of Nazism and what the ramifications of not going to war with
[01:14:39.440 --> 01:14:44.320]   him. But the problem is, is that Chamberlain is interesting because in 1935, he was, he was
[01:14:44.320 --> 01:14:47.640]   chancellor of his checker. And when they started to sort of think, okay, we really do need to rearm.
[01:14:47.640 --> 01:14:57.580]   He was very much in favor of, of substantially expanding and rehabilitating the Navy. So updating
[01:14:57.580 --> 01:15:06.740]   existing battleships and so on. And also developing the air force. There's not really much argument for
[01:15:06.740 --> 01:15:10.740]   having a large army because if you have a large army, you've got to maintain it. Britain is a small
[01:15:10.740 --> 01:15:15.460]   place. Where do you put them? You've also got to transport them. That's complicated. You've got to
[01:15:15.460 --> 01:15:17.600]   train them. You've got to put them in barracks. You've got to feed them all this kind of stuff.
[01:15:17.600 --> 01:15:22.260]   There's a kind of sort of impracticality about having a large army. Whereas Navy is great because
[01:15:22.260 --> 01:15:26.520]   you can keep them at sea and they can be, you know, on the water. Air force is slightly different.
[01:15:26.520 --> 01:15:31.640]   Air power is viewed in very much the same way that, that naval power is viewed. That this is,
[01:15:31.640 --> 01:15:37.640]   we're an island nation. We have a global, global assets and air power gives us the flexibility that an
[01:15:37.640 --> 01:15:43.920]   army doesn't. So he is all for backing the expansion of the, of the army, of the air force and the
[01:15:43.920 --> 01:15:48.140]   navy in 1930. Then he subsequently becomes prime minister and sticks to his guns on that. It is he
[01:15:48.140 --> 01:15:55.040]   that enables the air force and the air ministry to develop the first fully coordinated air defense
[01:15:55.040 --> 01:15:59.700]   system anywhere in the world. There is not an air defense system in Poland, nor Norway, nor Denmark,
[01:15:59.700 --> 01:16:05.020]   nor the Netherlands, nor Belgium, nor France. There is in Britain. Britain is the only one. And frankly,
[01:16:05.020 --> 01:16:12.000]   it pays off big time in the summer of 1940. So you have to give him credit for that. Britain,
[01:16:12.300 --> 01:16:18.740]   interestingly, is also the world's leading armaments exporter in the 1930s, which is amazing,
[01:16:18.740 --> 01:16:21.880]   really, when you think everyone complains about the fact that we weren't rearming enough.
[01:16:21.880 --> 01:16:26.260]   Actually, we were. When we had all the infrastructure there and we were expanding that infrastructure
[01:16:26.260 --> 01:16:32.380]   dramatically. I say we, I'm only saying that because I'm British. So they were doing that.
[01:16:32.380 --> 01:16:38.520]   But in 1938, Britain wasn't ready for war. Now, you can argue that Germany wasn't ready for war either,
[01:16:38.520 --> 01:16:44.500]   but Chamberlain was prime minister in a democracy, parliamentary democracy,
[01:16:44.500 --> 01:16:51.340]   when 92% of the population were against going to war in 1938. There is, there is not a single
[01:16:51.340 --> 01:16:58.000]   democratic leader in the world that will go against the wishes of 92% of the population.
[01:16:58.960 --> 01:17:02.820]   Now, you could say, well, he should have just argued it better and presented his case better
[01:17:02.820 --> 01:17:07.200]   and all the rest of it. But at that point, there was no legal obligation to go to the defense of
[01:17:07.200 --> 01:17:12.440]   Czechoslovakia. You know, Czechoslovakia was another of these new nations that had been created out of
[01:17:12.440 --> 01:17:19.140]   1919 and the Versailles Treaty. You know, who was to say, you know, we in Britain are able to judge the
[01:17:19.140 --> 01:17:25.440]   rights and rights and wrongs of that, you know, how fantastic it would be to go to war with a nation a
[01:17:25.440 --> 01:17:30.440]   long way away for people whom we know very little, et cetera, et cetera. I'm paraphrasing his quote.
[01:17:30.440 --> 01:17:37.480]   But, but I'm not saying it was the right decision. I'm just saying I can see why in September 1938,
