
[00:00:00.000 --> 00:00:01.660]   So it's mid-summer.
[00:38:30.140 --> 00:38:31.340]   - Yeah, it's technically two different jobs, yeah.
[00:38:31.340 --> 00:38:33.980]   But like I could, like if I was only doing,
[00:38:33.980 --> 00:38:36.040]   I mean, now I'm not as much a pure computer scientist
[00:38:36.040 --> 00:38:40.720]   anymore, more digital ethicist and technology theorist.
[00:38:40.720 --> 00:38:44.180]   But back when I was doing pure computer science
[00:38:44.180 --> 00:38:47.180]   and writing books, if I was just doing one of those,
[00:38:47.180 --> 00:38:48.620]   I would probably, I could be like, hey,
[00:38:48.620 --> 00:38:51.140]   I'm working on these three academic papers
[00:38:51.140 --> 00:38:52.220]   at the same time.
[00:38:52.220 --> 00:38:54.380]   But because I had this, I might be working on a book
[00:38:54.380 --> 00:38:56.260]   or a New Yorker thing at the same time,
[00:38:56.260 --> 00:38:57.100]   I would reduce that to like,
[00:38:57.100 --> 00:38:58.420]   I really should just be working on one,
[00:38:58.420 --> 00:39:00.220]   maybe two academic papers at the same time.
[00:39:00.220 --> 00:39:01.380]   - Yeah, okay, it makes perfect sense.
[00:39:01.380 --> 00:39:03.300]   - They do influence each other a little bit.
[00:39:03.300 --> 00:39:07.020]   Work in progress limit, by the way, is like the thing.
[00:39:07.020 --> 00:39:09.540]   I'm thinking about like, if I was a manager
[00:39:09.540 --> 00:39:13.540]   or if I could wave a wand and add like new practices
[00:39:13.540 --> 00:39:14.940]   to managers and knowledge work,
[00:39:14.940 --> 00:39:17.700]   like what would be the most effective?
[00:39:17.700 --> 00:39:20.300]   Work in progress limits, I think would make a big difference.
[00:39:20.300 --> 00:39:23.100]   If bosses were like, you got to write down
[00:39:23.100 --> 00:39:24.420]   what you're actively working on.
[00:39:24.420 --> 00:39:26.100]   Everyone can see what everyone's actually working on.
[00:39:26.100 --> 00:39:27.100]   It's on a board.
[00:39:27.100 --> 00:39:28.780]   You can have like two things up there.
[00:39:28.780 --> 00:39:30.580]   You can't bother someone about something
[00:39:30.580 --> 00:39:31.860]   that's not on that board.
[00:39:31.860 --> 00:39:33.940]   Like that would make a huge difference.
[00:39:33.940 --> 00:39:36.260]   And I think normalizing office hours
[00:39:36.260 --> 00:39:39.460]   and meeting windows would also make a huge difference.
[00:39:39.460 --> 00:39:40.300]   Those would be the two things.
[00:39:40.300 --> 00:39:43.380]   If I ran a company that I would be most interested
[00:39:43.380 --> 00:39:45.180]   in making sort of policies.
[00:39:45.180 --> 00:39:47.380]   All right, so there we go.
[00:39:47.380 --> 00:39:49.340]   It's a little productivity primer.
[00:39:49.340 --> 00:39:51.420]   We got some great in the weeds productivity questions,
[00:39:51.420 --> 00:39:54.280]   but first let's hear from some sponsors.
[00:39:56.020 --> 00:40:00.660]   This show is sponsored by BetterHelp.
[00:40:00.660 --> 00:40:04.420]   So look, we just talked a lot about productivity,
[00:40:04.420 --> 00:40:07.500]   which is about controlling your time and your attention
[00:40:07.500 --> 00:40:09.980]   so you don't burn out and get things done.
[00:40:09.980 --> 00:40:11.260]   But there's a flip side to this,
[00:40:11.260 --> 00:40:12.980]   a non-technical side of productivity,
[00:40:12.980 --> 00:40:14.980]   which is just the stress and anxiety
[00:40:14.980 --> 00:40:17.460]   that comes from all these things you have to do.
[00:40:17.460 --> 00:40:18.820]   Work is chaotic.
[00:40:18.820 --> 00:40:20.900]   Our lives are chaotic.
[00:40:20.900 --> 00:40:22.260]   You work in an office job.
[00:40:22.260 --> 00:40:24.700]   It's not like it used to be where what I do
[00:40:24.700 --> 00:40:26.500]   is I rivet engines on a plane.
[00:40:26.500 --> 00:40:28.940]   You have an unlimited amount of things you could be doing.
[00:40:28.940 --> 00:40:30.940]   You have to navigate this yourself.
[00:40:30.940 --> 00:40:33.300]   You have to somehow balance your job
[00:40:33.300 --> 00:40:34.820]   versus the needs of your family
[00:40:34.820 --> 00:40:36.080]   and your other types of communities.
[00:40:36.080 --> 00:40:37.340]   This is a source of anxiety.
[00:40:37.340 --> 00:40:39.780]   This is a source of stress.
[00:40:39.780 --> 00:40:42.240]   So just as much as we talk about productivity
[00:40:42.240 --> 00:40:43.540]   in this new distracted world,
[00:40:43.540 --> 00:40:46.860]   we also should be talking about mental health
[00:40:46.860 --> 00:40:49.260]   'cause none of this is gonna matter
[00:40:49.260 --> 00:40:51.100]   if you're struggling with your own head,
[00:40:51.100 --> 00:40:53.600]   if you're struggling with your own thoughts.
[00:40:53.600 --> 00:40:56.580]   You yourself can be the biggest obstacle
[00:40:56.580 --> 00:40:59.260]   to actually sort of like a deeper life.
[00:40:59.260 --> 00:41:02.860]   So this is where therapy can enter the scene.
[00:41:02.860 --> 00:41:05.840]   Right, I hear this from our listeners all the time.
[00:41:05.840 --> 00:41:08.740]   Having a professional help you improve the relationship
[00:41:08.740 --> 00:41:11.740]   with your brain is really an important first step
[00:41:11.740 --> 00:41:14.700]   towards doing other interesting things with your brain.
[00:41:14.700 --> 00:41:16.960]   So therapy really should be in the toolkit
[00:41:16.960 --> 00:41:19.040]   when we're thinking about productivity
[00:41:19.040 --> 00:41:22.380]   and crafting a deep life more generally.
[00:41:22.380 --> 00:41:24.380]   So if you're thinking of starting therapy,
[00:41:24.380 --> 00:41:27.140]   you should give BetterHelp a try.
[00:41:27.140 --> 00:41:28.380]   It's entirely online.
[00:41:28.380 --> 00:41:30.400]   It's designed to be convenient, flexible,
[00:41:30.400 --> 00:41:31.880]   and suited to your schedule.
[00:41:31.880 --> 00:41:33.420]   You just fill out a brief questionnaire
[00:41:33.420 --> 00:41:36.200]   and you will get matched with a licensed therapist.
[00:41:36.200 --> 00:41:37.720]   You can switch therapists at any time
[00:41:37.720 --> 00:41:39.760]   for no additional cost if you don't like
[00:41:39.760 --> 00:41:41.760]   who you're paired up with.
[00:41:41.760 --> 00:41:45.300]   So it's a very easy way to add this crucial tool
[00:41:45.300 --> 00:41:47.020]   to your toolkit.
[00:41:47.020 --> 00:41:50.520]   So never skip therapy day with BetterHelp.
[00:41:50.520 --> 00:41:54.320]   Visit betterhelp.com/deepquestions today
[00:41:54.320 --> 00:41:56.440]   to get 10% off your first month.
[00:41:56.440 --> 00:42:01.440]   That's betterhelp, H-E-L-P.com/deepquestions.
[00:42:01.440 --> 00:42:03.520]   Also wanna talk about our friends
[00:42:03.520 --> 00:42:07.560]   and longtime sponsors at Element, L-M-N-T.
[00:42:07.560 --> 00:42:11.420]   For years, I have been talking about the Element drink mix.
[00:42:11.420 --> 00:42:14.800]   You can add your water to get those electrolytes you need,
[00:42:14.800 --> 00:42:17.920]   especially after days of sweat,
[00:42:17.920 --> 00:42:20.480]   be it like hard exercise or like I do,
[00:42:20.480 --> 00:42:22.580]   a day of lecturing and giving interviews
[00:42:22.580 --> 00:42:25.780]   where you dehydrate yourself a lot by talking or teaching.
[00:42:25.780 --> 00:42:29.760]   Element drink mix, you put in your water,
[00:42:29.760 --> 00:42:31.840]   it gets you those electrolytes, it gets you hydrated,
[00:42:31.840 --> 00:42:33.160]   but with none of the junk.
[00:42:33.160 --> 00:42:34.000]   There's no sugar,
[00:42:34.000 --> 00:42:36.240]   there's no weird artificial ingredients.
[00:42:36.240 --> 00:42:38.240]   You can absolutely trust the quality of the product.
[00:42:38.240 --> 00:42:40.120]   It just gives you what you need.
[00:42:40.120 --> 00:42:42.160]   I use it, especially in the summer, basically every day.
[00:42:42.160 --> 00:42:45.040]   Every time I work out, I'm often drinking it in the morning
[00:42:45.040 --> 00:42:46.740]   if I feel unusually dehydrated.
[00:42:46.740 --> 00:42:49.960]   So we're big fans of Element here on the show.
[00:42:49.960 --> 00:42:51.840]   They have a new product, which I'm excited about,
[00:42:51.840 --> 00:42:53.600]   Element Sparkling,
[00:42:53.600 --> 00:42:56.600]   which delivers the same zero sugar electrolyte formulation
[00:42:56.600 --> 00:42:57.680]   you already know and trust,
[00:42:57.680 --> 00:43:00.520]   but now in a bold 16-ounce cans of sparkling water,
[00:43:00.520 --> 00:43:03.000]   you can just grab it cold from the fridge
[00:43:03.000 --> 00:43:05.680]   when you need that high quality hydration.
[00:43:05.680 --> 00:43:07.440]   Element Sparkling offers health seekers
[00:43:07.440 --> 00:43:09.040]   and all new options support their health
[00:43:09.040 --> 00:43:11.200]   across a broad spectrum of occasions.
[00:43:11.200 --> 00:43:13.160]   With each can, you can take a sip against sugar
[00:43:13.160 --> 00:43:15.160]   and simulant loaded drinks,
[00:43:15.160 --> 00:43:18.160]   turning the tides towards health.
[00:43:18.160 --> 00:43:20.080]   So Element Sparkling is new right now.
[00:43:20.080 --> 00:43:23.840]   It's available only to Element Insiders.
[00:43:23.840 --> 00:43:25.680]   You can find out if you're an Element Insider or not
[00:43:25.680 --> 00:43:30.680]   by going to drinkelement.com/deep.
[00:43:30.680 --> 00:43:31.580]   So check that out.
[00:43:31.580 --> 00:43:34.480]   You can get an early preview of Element Sparkling,
[00:43:34.480 --> 00:43:36.820]   but the Element Drink Mix is there and available,
[00:43:36.820 --> 00:43:39.220]   and I highly recommend it.
[00:43:39.220 --> 00:43:41.460]   So you can get a free sample pack
[00:43:41.460 --> 00:43:43.540]   with any Drink Mix purchase
[00:43:43.540 --> 00:43:47.380]   if you go to drinkelement.com/deep.
[00:43:47.380 --> 00:43:50.460]   That's drinkelementlmnt.com/deep
[00:43:50.460 --> 00:43:52.740]   to get a free sample pack with any Drink Mix purchase.
[00:43:52.740 --> 00:43:54.840]   And remember, if you're an Element Insider,
[00:43:54.840 --> 00:43:57.200]   you'll have first access to Element Sparkling,
[00:43:57.200 --> 00:44:01.280]   a bold 16-ounce can of sparkling electrolyte water.
[00:44:01.280 --> 00:44:03.740]   All right, Jesse, let's move on to some questions.
[00:44:03.740 --> 00:44:07.820]   - All right, first question is from Luke.
[00:44:07.820 --> 00:44:10.380]   I've been using weekly and time block planning
[00:44:10.380 --> 00:44:12.540]   to organize my professional life for some time now,
[00:44:12.540 --> 00:44:13.900]   and it's working great.
[00:44:13.900 --> 00:44:15.380]   I have a second child on the way
[00:44:15.380 --> 00:44:17.780]   and still wanna be able to make modest progress
[00:44:17.780 --> 00:44:19.980]   on my non-professional pursuits.
[00:44:19.980 --> 00:44:22.900]   Would time blocking be suitable here?
[00:44:22.900 --> 00:44:25.220]   - Well, I got a couple different thoughts here, Luke.
[00:44:25.220 --> 00:44:28.860]   First, I wanna just give you some, a parenting thought.
[00:44:28.860 --> 00:44:33.060]   So I'm a big believer from a productivity perspective
[00:44:33.060 --> 00:44:36.040]   in what I call simulated paternity leave.
[00:44:36.040 --> 00:44:38.740]   So, I mean, if you have paternity leave, take paternity leave.
[00:44:38.740 --> 00:44:41.780]   But if you don't, like a lot of people don't,
[00:44:41.780 --> 00:44:43.100]   you want to simulate this.
[00:44:43.100 --> 00:44:45.300]   And what I mean by simulate this
[00:44:45.300 --> 00:44:49.300]   is you want to first of all reduce your work efforts
[00:44:49.300 --> 00:44:51.380]   back down to towards what I call
[00:44:51.380 --> 00:44:53.240]   the unnoticeable bare minimum.
[00:44:53.240 --> 00:44:54.700]   So like down to this minimum
[00:44:54.700 --> 00:44:55.860]   where no one's really noticing.
[00:44:55.860 --> 00:44:56.940]   It's not like people,
[00:44:56.940 --> 00:45:00.080]   you're actively saying I'm working less right now,
[00:45:00.080 --> 00:45:01.860]   but you're really keeping that work footprint
[00:45:01.860 --> 00:45:04.780]   as small as possible for about three months.
[00:45:04.780 --> 00:45:07.460]   If you master the type of tools
[00:45:07.460 --> 00:45:08.580]   we talked about in the deep dive,
[00:45:08.580 --> 00:45:10.020]   you'll have a lot of control over this.
[00:45:10.020 --> 00:45:11.740]   You can turn that dial down.
[00:45:11.740 --> 00:45:15.380]   Outside of work during this simulated paternity leave,
[00:45:15.380 --> 00:45:17.940]   you also want to redirect
[00:45:17.940 --> 00:45:21.260]   most of your non-professional energy towards family.
[00:45:21.260 --> 00:45:23.620]   So like maybe you're still working,
[00:45:23.620 --> 00:45:25.820]   but now it's like, I'm working a bare minimum,
[00:45:25.820 --> 00:45:27.940]   I'm home early, like my energy is on like,
[00:45:27.940 --> 00:45:29.940]   you know, whatever, what my wife needs.
[00:45:29.940 --> 00:45:31.580]   Probably in this case as a second child,
[00:45:31.580 --> 00:45:33.620]   it's gonna be a lot of like taking care of the first child.
[00:45:33.620 --> 00:45:35.040]   And just be in that head space
[00:45:35.040 --> 00:45:37.340]   for the first three months or so, okay?
[00:45:37.340 --> 00:45:39.140]   You don't want when there's like a new child
[00:45:39.140 --> 00:45:41.180]   and it's really disruptive, but also really meaningful,
[00:45:41.180 --> 00:45:44.260]   it's not the right time to be trying to make sure
[00:45:44.260 --> 00:45:46.780]   you get your, you know, 10K run in
[00:45:46.780 --> 00:45:48.600]   because you're training for whatever.
[00:45:48.600 --> 00:45:50.300]   A lot of people, especially a lot of guys
[00:45:50.300 --> 00:45:53.460]   sometimes react to the disruption
[00:45:53.460 --> 00:45:56.400]   and the sort of like existential shake up
[00:45:56.400 --> 00:45:58.500]   of a child arriving by trying to double down
[00:45:58.500 --> 00:45:59.980]   on like these things that are important to me,
[00:45:59.980 --> 00:46:01.780]   I'm gonna, I'm not gonna lose them.
[00:46:01.780 --> 00:46:05.620]   You don't have to lose them in the big picture,
[00:46:05.620 --> 00:46:06.700]   but maybe for a few months,
