
[00:00:00.000 --> 00:00:04.400]   Democrats still think the currency of politics is money and the currency of politics is attention.
[00:54:10.500 --> 00:54:15.200]   And who gets credit for them and where the idea goes, and that's all secondary.
[00:54:15.200 --> 00:54:17.360]   I believe in ideas because they're important.
[00:54:17.360 --> 00:54:23.880]   And so I want to talk to people who have large platforms about those ideas because how else is the idea getting to the mainstream except through those large platforms?
[00:54:23.880 --> 00:54:26.940]   That's how broadcast technology works in the first place.
[00:54:26.940 --> 00:54:32.400]   So maybe one thing that you're touching on is a little bit of ideological ambiguity.
[00:54:33.400 --> 00:54:38.940]   Maybe a part of this is this sense that people don't know exactly what it is they have to say for three hours.
[00:54:38.940 --> 00:54:42.240]   All I can say for sure is that we know.
[00:54:42.240 --> 00:54:46.380]   There's also a reality, and I mean, the book is trying to enter into this reality.
[00:54:46.380 --> 00:54:49.200]   I think one thing you're saying is that people have coded you.
[00:54:49.200 --> 00:54:54.120]   And so Donald Trump is really excited to do it and maybe loving politicians or not.
[00:54:55.880 --> 00:54:59.760]   One thing that we think is that we're in a period of realignment.
[00:54:59.760 --> 00:55:07.260]   The last chapter of the book, we talk about an idea that is picked up from a historian named Gary Garstle, which is an idea of political orders.
[00:55:07.260 --> 00:55:16.860]   And political orders are periods that have a sort of structure of consensus and a structure of a zone of conflict.
[00:55:16.860 --> 00:55:20.900]   But it's more or less agreed on by the two sides, even if only tacitly.
[00:55:20.900 --> 00:55:22.800]   So you have a New Deal order.
[00:55:22.800 --> 00:55:24.740]   New Deal order is founded by FDR.
[00:55:25.480 --> 00:55:35.420]   It is entrenched when Dwight Eisenhower accepts the New Deal as part of the U.S. proving that it can treat workers better than the Soviet Union.
[00:55:35.420 --> 00:55:39.920]   So those are sort of right there, the three ingredients typically of an order.
[00:55:39.920 --> 00:55:45.740]   You have a party that starts it, an opposition party that accepts key premises, right?
[00:55:45.740 --> 00:55:48.420]   Dwight Eisenhower doesn't come in and say, we're going to roll back the whole New Deal.
[00:55:48.420 --> 00:55:52.820]   And it's often held in place by an external antagonist, in that case, the Soviet Union.
[00:55:52.820 --> 00:56:00.020]   You have then, you have in the 70s, stagflation, the Vietnam War, a series of problems that the New Deal order no longer seems able to handle.
[00:56:00.020 --> 00:56:02.780]   So you have the rise of what he calls the neoliberal order.
[00:56:02.780 --> 00:56:07.720]   And the neoliberal order is, if you're going to choose a founder, it's going to be Reagan on that one, right?
[00:56:07.720 --> 00:56:09.000]   It's much more about markets.
[00:56:09.000 --> 00:56:11.200]   It is very concerned with things like inflation.
[00:56:11.860 --> 00:56:13.880]   And it really is entrenched by Bill Clinton.
[00:56:13.880 --> 00:56:16.200]   You know, the era of big government is over.
[00:56:16.200 --> 00:56:20.200]   And partially, it's entrenched also by the fall of the Soviet Union, right?
[00:56:20.200 --> 00:56:28.840]   The fall of the Soviet Union is like this proof point that the sort of capitalists were right, that markets are the way of the future.
[00:56:28.840 --> 00:56:30.660]   Government does not know what it's doing.
[00:56:31.940 --> 00:56:34.540]   And that becomes like the governing set of assumptions.
[00:56:34.540 --> 00:56:36.740]   And so there are arguments about what the markets should be doing, right?
[00:56:36.740 --> 00:56:39.660]   You know, Obamacare is about creating sort of markets and health insurance, right?
[00:56:39.660 --> 00:56:41.520]   You can use markets for very progressive ends.
[00:56:41.520 --> 00:56:44.460]   We want to use markets for lots of progressive ends.
[00:56:44.980 --> 00:56:51.400]   But the neoliberal order basically collapses amidst a financial crisis and climate change and China.
[00:56:51.400 --> 00:57:00.220]   And those are the three things that sort of girth a little bit, but also separately we think kill it, which is the neoliberal order does not have an answer to the financial crisis.
[00:57:00.220 --> 00:57:09.580]   And it botches, in many ways, the answer to the financial crisis, puts too little demand in the economy, lets a sort of recession linger and a very slow recovery linger for too long.
[00:57:09.580 --> 00:57:12.100]   It doesn't know what to say really about climate change.
[00:57:12.200 --> 00:57:19.780]   Markets have made a lot of people rich by, you know, doing a lot of things that are very, very damaging for the environment, very damaging for the future of the human race, potentially.
[00:57:19.780 --> 00:57:21.520]   And you have the rise of China.
[00:57:21.520 --> 00:57:26.060]   And the neoliberal order said, you integrate China into the global economy.
[00:57:26.060 --> 00:57:27.620]   You bring them into the WTO.
[00:57:27.620 --> 00:57:28.760]   You trade with them.
[00:57:28.760 --> 00:57:30.720]   You help them build their industrial base.
[00:57:30.720 --> 00:57:33.280]   You help them pull their people out of poverty, which that part is good.
[00:57:33.280 --> 00:57:35.780]   And they will become more like the West.
[00:57:35.780 --> 00:57:37.620]   They will liberalize.
[00:57:37.620 --> 00:57:38.920]   They will have a free press.
[00:57:39.560 --> 00:57:44.220]   The richer we make China, the more China is going to become like us.
[00:57:44.220 --> 00:57:46.840]   And that proves totally wrong, right?
[00:57:46.840 --> 00:57:48.520]   China becomes more authoritarian over time.
[00:57:48.520 --> 00:57:51.320]   But it also sort of develops an industrial base.
[00:57:51.320 --> 00:57:56.300]   It becomes, as it does not become more like us, it becomes dangerous, you know, at least in our view, right?
[00:57:56.300 --> 00:58:03.100]   You don't want to ever have a conflict with another country who you've outsourced your key industrial base to.
[00:58:03.780 --> 00:58:05.520]   And so you have the sort of fall of that order.
[00:58:05.520 --> 00:58:12.600]   And then, again, here, things that would have been ridiculous at one point in American politics had become possible.
[00:58:12.600 --> 00:58:14.580]   Bernie Sanders is one of them, right?
[00:58:14.580 --> 00:58:22.080]   The idea that you would have somebody, a self-described socialist, running for president and coming anywhere near the Democratic nomination, that was unthinkable in 2004.
[00:58:22.080 --> 00:58:24.320]   And by 2016, it almost happened.
[00:58:24.320 --> 00:58:25.460]   And Donald Trump is another thing.
[00:58:25.460 --> 00:58:31.740]   Donald Trump runs, like, headlong into the failures of neoliberalism in the Republican Party.
[00:58:31.740 --> 00:58:33.360]   He runs against trade.
[00:58:33.360 --> 00:58:36.500]   He runs against a sort of Paul Ryan, more open to immigration.
[00:58:36.500 --> 00:58:41.100]   George W. Bush and John McCain were both very big on liberalizing immigration policy.
[00:58:42.060 --> 00:58:46.300]   He runs against the Iraq War and, you know, sort of foreign adventurism.
[00:58:46.300 --> 00:58:52.440]   And there's a sort of isolationist instinct that coexists very awkwardly now within a territorial expansionist instinct.
[00:58:52.440 --> 00:58:55.240]   But at least in 2016, it was more isolationist.
[00:58:55.240 --> 00:59:10.560]   And so Donald Trump and his sort of reimagining of the Republican Party as a right wing populist, more like sort of some Christian Democratic parties in other countries, you know, up in that quadrant of socially conservative, economically populist.
[00:59:11.060 --> 00:59:12.860]   That becomes something that's possible.
[00:59:12.860 --> 00:59:17.040]   But nothing has found an equilibrium, right?
[00:59:17.040 --> 00:59:19.620]   Nobody's agreed to the other side's premises.
[00:59:19.620 --> 00:59:21.520]   There are certain ones that people are agreeing on.
[00:59:21.520 --> 00:59:25.760]   Both the Republican and Democratic parties have a very different view on China now, right?
[00:59:25.760 --> 00:59:30.060]   Like Biden kept a lot of Trump's policies on China and actually strengthened them.
[00:59:30.060 --> 00:59:32.620]   And now Trump is building on that aggressively again.
[00:59:32.620 --> 00:59:38.240]   But in terms of the other things, there isn't agreement about what the next period in American politics should look like.
[00:59:38.240 --> 00:59:40.560]   And that's one reason I think it's very dangerous.
[00:59:40.560 --> 00:59:48.340]   Both as a question of media strategy, but also as a question of politics to code people, places, platforms too tightly.
[00:59:48.340 --> 00:59:51.300]   Republicans and Democrats aren't going to get along in Congress.
[00:59:51.300 --> 00:59:53.680]   That has to do with, I think, the incentives of Congress.
[00:59:53.680 --> 00:59:55.580]   My first book is called Why We're Polarized.
[00:59:55.740 --> 00:59:58.880]   It's about those almost hydraulic incentives for partisanship.
[00:59:58.880 --> 01:00:13.280]   But in terms of what is the meaning of my podcast, of Derek's, of yours, of Joe Rogan, of Theo Vaughn, of Call Her Daddy, of a million different places that are not well-coded.
[01:00:14.840 --> 01:00:16.420]   That's, I think, very up for grabs.
[01:00:16.420 --> 01:00:19.100]   I mean, Elon Musk was an Obama-era liberal in 2012.
[01:00:19.100 --> 01:00:23.720]   I mean, I think his personal process of radicalization is not going to unwind itself.
[01:00:23.720 --> 01:00:27.340]   But a lot of the people who Democrats are like, all these billionaires are right-wing now.
[01:00:27.340 --> 01:00:29.420]   No, people are just uncertain.
[01:00:29.420 --> 01:00:32.160]   I mean, some of them are a little bit afraid, but people are uncertain.
[01:00:32.160 --> 01:00:33.500]   They're moving back and forth.
[01:00:33.500 --> 01:00:36.280]   The sort of texture of it is unsettled.
[01:00:37.160 --> 01:00:38.940]   And it's going to take time.
[01:00:38.940 --> 01:00:42.540]   These transitionary periods, I mean, they can go very badly, too.
[01:00:42.540 --> 01:00:44.500]   But they take time.
[01:00:44.500 --> 01:00:59.860]   And I think people who are clinging to old certainties about what tells you which side folks are on, my sense is a lot of people who are very open to MAGA in 2025 are going to feel very differently about it in 2028, depending on how they do, right?
[01:00:59.860 --> 01:01:01.840]   If they do great, then they're going to entrench.
[01:01:01.840 --> 01:01:06.840]   But if they don't, then a lot of people who became MAGA-curious are not going to be MAGA-curious anymore.
[01:01:06.840 --> 01:01:10.280]   But they're not going to want the last Democratic Party either.
[01:01:10.280 --> 01:01:19.660]   I was making this point to someone the other day about why the Democratic Party's embrace of the Liz Cheney-style independent didn't work.
[01:01:19.660 --> 01:01:23.120]   Liz Cheney, of course, being Dick Cheney's daughter, a Republican.
[01:01:23.120 --> 01:01:30.380]   But what Liz Cheney, the never-Trumpers, were, were a way of reaching out to who the Democratic Party thought the independents were.
[01:01:30.380 --> 01:01:37.420]   But the key thing about an independent to a political party is not that they don't like the other party.
[01:01:37.420 --> 01:01:40.420]   It's that they're an independent because they also don't like your party.
[01:01:40.420 --> 01:01:46.660]   And so finding a bunch of people who are meant to be messengers to them about why they shouldn't like the other party, it's fine.
