
[00:00:00.000 --> 00:00:02.040]   The following is a conversation with Scott Horton.
[02:12:10.840 --> 02:12:16.360]   and Aiden in 2000. So this is, uh, these attacks are building up and these are building up and building
[02:12:16.360 --> 02:12:23.160]   up in the run up to September 11th. And then the whole time they're saying exactly why they're doing
[02:12:23.160 --> 02:12:30.040]   this. So we know their motive and they're also saying their strategy, their strategy is to provoke
[02:12:30.040 --> 02:12:35.720]   us into invading Afghanistan. They're going to replicate. They're going to give us our own
[02:12:35.720 --> 02:12:42.680]   Afghanistan, the way we gave the Soviets their own Vietnam in Afghanistan. And Bin Laden said repeatedly,
[02:12:42.680 --> 02:12:50.920]   the point was to provoke us into overreacting, to bog us down, bleed us to bankruptcy, break our empire on
[02:12:50.920 --> 02:12:59.640]   the rocks of Afghanistan, the same way we had helped them do to the USSR. And so then W. Bush, when he was
[02:12:59.640 --> 02:13:05.960]   elected, his son, Bin Laden's son gave an interview to Rolling Stone in 2010, where he says, I was in
[02:13:05.960 --> 02:13:14.200]   Afghanistan with my father. And when Bush was elected in 2000, my father was so happy. He said, this is the
[02:13:14.200 --> 02:13:22.440]   kind of president he needs one who will attack and spend money and break the country. He said, this is in
[02:13:22.440 --> 02:13:27.720]   2010. So Bin Laden's still alive. He says, Bill Clinton sent missiles after my father and didn't get him.
[02:13:27.720 --> 02:13:34.120]   But now you spent 10 years in Afghanistan and you still haven't gotten them. America used to be smart,
[02:13:34.120 --> 02:13:44.120]   not like the bull that runs after the red scarf. Okay. So that was the strategy was to get America to
[02:13:44.120 --> 02:13:53.240]   kill itself, to get us to strap on the suicide vest. Get the irony of the whole thing. How is a group of
[02:13:53.240 --> 02:14:02.200]   400 bandits hiding out in Nangarhar province supposed to bring down the empire? The answer is you give the
[02:14:02.200 --> 02:14:09.720]   empire an excuse to exploit. It's not that George Bush is stupid and innocent. It's that he's stupid and
[02:14:09.720 --> 02:14:16.360]   guilty, right? You know, it's not that Bin Laden thought, oh, here's a guy who's such a super patriot
[02:14:16.360 --> 02:14:23.160]   that he'll go the extra mile. He looked at Bush said, here's a guy who's a corrupt, evil, narrow-minded,
[02:14:23.160 --> 02:14:30.280]   short-sighted idiot of a criminal who will exploit a crisis to the nth degree if I give him one.
[02:14:30.280 --> 02:14:37.800]   And that's what I'm trying to do. And which by the way, consider the collectivism of Osama Bin Laden,
[02:14:37.800 --> 02:14:43.720]   who considers that there's no limit apparently on the number of Afghans that he can get killed in his
[02:14:43.720 --> 02:14:48.760]   plan here when he ain't from there, right? He's trying to provoke a war with the superpower
[02:14:48.760 --> 02:14:53.720]   against a regime that's allowed him to stay and against a people who did nothing to him or to us,
[02:14:53.720 --> 02:14:59.640]   right? A people, I hate that, but some people, millions of people who did nothing to us whatsoever.
[02:14:59.640 --> 02:15:03.800]   And he put them in our crosshairs on what? The idea, well, God will sort them out. They'll go to
[02:15:03.800 --> 02:15:08.680]   paradise if they believe well. And so who cares about them? And which was something that was a big
[02:15:08.680 --> 02:15:14.760]   problem with Mullah Omar, where Mullah Omar, despite the narrative, actually hated and feared Osama
[02:15:14.760 --> 02:15:19.480]   Bin Laden and wanted rid of him and was trying to negotiate to get rid of him. Because as Murray
[02:15:19.480 --> 02:15:26.120]   Rothbard says, a radical becomes conservative the day he captures the capital city, right? And so Mullah
[02:15:26.120 --> 02:15:33.400]   Omar didn't want a world revolution like, you know, uh, Osama Bin Lenin, right? He wasn't interested in
[02:15:33.400 --> 02:15:37.800]   that he was interested in holding down Afghanistan. He'd already won most of the country. He hadn't
[02:15:37.800 --> 02:15:42.840]   finished winning it all yet. And he wasn't trying to get in a fight with America, which Bill Clinton
[02:15:42.840 --> 02:15:49.720]   had supported the rise of the Taliban in 1996, had encouraged Saudi Arabia and Pakistan to encourage
[02:15:49.720 --> 02:15:55.480]   the Taliban to go all the way to Kabul. And in fact, wanted them to not even settle with the Northern
[02:15:55.480 --> 02:16:01.160]   Alliance, wanted to see an outright victory against the Northern Alliance because they wanted the Taliban to
[02:16:01.160 --> 02:16:07.240]   have total control, a monopoly on the entire state so they could build an oil pipeline from Tajikistan
[02:16:07.240 --> 02:16:13.800]   across Afghanistan to Pakistan. Now they abandoned this project after 98, after the embassy bombings of 98.
[02:16:13.800 --> 02:16:20.520]   People sometimes say that's why Bush invaded in 01 or whatever. No, that wasn't it. But that is why Bill
[02:16:20.520 --> 02:16:25.560]   Clinton supported the rise of the Taliban in 1996 in the first place. And they said, well, we figured there
[02:16:25.560 --> 02:16:31.800]   will be an Amir and no parliament and lots of Sharia law. We can live with that. That was the
[02:16:31.800 --> 02:16:36.600]   Bill Clinton administration is what they said about that, right? So in Ahmed Rashid's book, the Taliban
[02:16:36.600 --> 02:16:41.800]   has all that stuff in it. And I quote him at length in my books. And so what was the point of that? Screwing
[02:16:41.800 --> 02:16:46.440]   the Russians, figuring out a way to get hydrocarbons out of the Caspian basin without having to go through
[02:16:46.440 --> 02:16:51.880]   Russia or Iran. And so that was part of that whole game, which we'll have to talk about that later in the Cold War
[02:16:51.880 --> 02:16:59.960]   segment here. Um, but that's part where these stories overlap a bit now. Um, so it's important
[02:16:59.960 --> 02:17:07.000]   to bring up to that during this time, the cliche in the Pentagon, among the joint staff who are the
[02:17:07.000 --> 02:17:13.960]   most important policy planners for the Pentagon, they had a cliche that said, terrorism is a small
[02:17:13.960 --> 02:17:19.160]   price to pay for being a superpower, right? What are they going to do? They're going to set off a truck
[02:17:19.160 --> 02:17:22.360]   bomb here or there. They're going to kill a few hundred people here or there. Look at the
[02:17:22.360 --> 02:17:31.400]   Africa embassies is mostly Africans who died. And so the, I don't think that they thought that losing
[02:17:31.400 --> 02:17:35.560]   a couple of towers full of a couple of thousand people would be a small price to pay. I think
[02:17:35.560 --> 02:17:43.080]   they weren't not imagining that level of consequence, but after all they did have to hijack our airliners to
[02:17:43.080 --> 02:17:48.280]   have something to crash into anything. We are talking about a stateless group of essentially
[02:17:48.280 --> 02:17:53.160]   penniless bandits, right? Who have millions of dollars, not billions, much less trillions,
[02:17:53.160 --> 02:18:01.640]   right? These are, these were criminals, right? Outlaws terrorists. So they had no ability to truly
[02:18:01.640 --> 02:18:07.880]   bring us down. They had to, and of course the analogy to Pearl Harbor is perfect because 3000 people died
[02:18:07.880 --> 02:18:14.200]   in a sneak attack. What more do you need to know? And I kind of like to harp on this. Not that I ever really
[02:18:14.200 --> 02:18:18.360]   like studied psychology more than a couple of semesters in junior college, but it seems probably
[02:18:18.360 --> 02:18:25.720]   meaningful, right? That in the images, the planes literally come out of the clear blue sky, right?
[02:18:25.720 --> 02:18:32.680]   And so, geez, I guess I don't know what's behind this. Someone explain it. It's just like tabula rasa,
[02:18:32.680 --> 02:18:38.120]   man, go ahead and let me know what I'm supposed to think about this. I'm shocked and I'm completely
[02:18:38.120 --> 02:18:43.480]   surprised said, you know, of course people knew a lot about this. We're very worried about it, of course,
[02:18:43.480 --> 02:18:48.600]   but for the average American, and this was the meaning of the term blowback, by the way, as Chalmers
[02:18:48.600 --> 02:18:55.400]   Johnson explained, and it was coined in Donald Wilbur, who was a CIA historian in his after action report
[02:18:55.400 --> 02:19:01.240]   about the coup in Iran. He said, well, CIA officers are going to have to be very careful about blowback
[02:19:01.240 --> 02:19:07.080]   coming down the line from operations like this. And then as Johnson explained, what it really meant was not just
[02:19:07.080 --> 02:19:12.520]   consequences because you can just have a funny term for consequences, but blowback meant the long-term
[02:19:12.520 --> 02:19:19.320]   consequences of secret foreign policies. So that when they come due, the American people don't understand
[02:19:19.320 --> 02:19:25.560]   what it means. Why are the Iranians burning our flag? Why are the Bin Ladenites crashing into our towers?
[02:19:25.560 --> 02:19:30.920]   Somebody tell us because we don't know. And when the answer is, well, it's actually all our fault,
[02:19:30.920 --> 02:19:36.280]   then the security force, our national government will not tell us that. In fact, they'll make up a lie and say,
[02:19:36.280 --> 02:19:41.640]   Islam makes them hate us because we love our mamas and Jesus so much. And then people go, oh man,
[02:19:41.640 --> 02:19:47.240]   what a terrible psychopathic. I didn't realize Islam was that bad of a religion. We better have to fight
[02:19:47.240 --> 02:19:52.600]   all of them now if that's what it does to you. It's radical Islam. See, once you believe in Islam hard
[02:19:52.600 --> 02:19:58.280]   enough, it turns you into a suicide bomber and makes you hate North Americans. There is no other cause and
[02:19:58.280 --> 02:20:04.840]   effect that you guys need to be aware of. And people might not remember this, but boy, did they push it
[02:20:04.840 --> 02:20:11.800]   that fall that the Taliban had done it. Al-Qaeda was the Taliban. The Taliban was Al-Qaeda.
[02:20:11.800 --> 02:20:16.520]   You mean 2001? Yeah. Yeah. That they were Taliban and Al-Qaeda.
[02:20:16.520 --> 02:20:21.720]   And they conflated them together so powerfully, but then this became a reason why people were just so
