
[00:00:00.000 --> 00:00:05.000]   The following is a conversation with Jack Weatherford, anthropologist and historian
[01:43:45.740 --> 01:43:47.340]   thinking in and to be able to surprise them.
[01:43:47.340 --> 01:43:54.620]   What do you think it, again, felt like to have this Mongol armada, the horses?
[01:43:54.620 --> 01:44:00.780]   It must have, the ground must shake when you have that many horses. What do you think it feels like
[01:44:00.780 --> 01:44:04.620]   to be in a town when Genghis Khan is approaching?
[01:44:04.620 --> 01:44:14.060]   I think the terror was one of the greatest weapons that he had. He cultivated this reputation of
[01:44:14.060 --> 01:44:20.620]   ferocity. Not only did he win battles, but he didn't allow people to write about him, as we said,
[01:44:20.620 --> 01:44:25.980]   but he encouraged refugees. And when he conquered a city, he always made sure there were plenty of
[01:44:25.980 --> 01:44:31.820]   refugees to go to the next city because it's going to weaken them, it's going to weaken their food supply,
[01:44:31.820 --> 01:44:36.780]   and they're going to terrorize the people with tales of the millions of people that the Mongols killed
[01:44:36.780 --> 01:44:42.220]   with their steel chiseled teeth and eating children and all kinds of horrible tales. Genghis
[01:44:42.220 --> 01:44:49.180]   Khan encouraged it. You know, this is propaganda. It's terrorism of a mental sort to weaken the enemy.
[01:44:49.180 --> 01:44:54.940]   And so when you hear, or even if you know they're coming, you see the dust, you hear the
[01:44:54.940 --> 01:45:01.020]   kind of roar that comes with all those horses and the trembling of the earth, it must have been
[01:45:01.020 --> 01:45:07.260]   truly terrifying. So the psychological warfare was a part of the whole process.
[01:45:07.260 --> 01:45:13.340]   But as I understand, there was always an offer for the towns and the territories being attacked
[01:45:13.340 --> 01:45:22.940]   for them to surrender peacefully without the loss of life. And the alternative would be the near complete
[01:45:22.940 --> 01:45:30.860]   loss of life. Can you speak to that? Genghis Khan had a precise system, exactly. He sent in envoys first to
[01:45:30.860 --> 01:45:37.020]   explain to the people a little bit about the Mongols, already much was known, but to explain to them
[01:45:37.020 --> 01:45:43.740]   that if they surrendered, all the lives would be spared, and they could continue in their professions.
[01:45:43.740 --> 01:45:48.300]   It's just that now the rulers would be the Mongols. They would have to pay the taxes, and used to be the
[01:45:48.300 --> 01:45:53.100]   same taxes they'd paid before, but now they would go to the Mongols. That was kind of the general system.
[01:45:53.100 --> 01:45:59.340]   And because you only have 100,000 soldiers, you can't leave a detachment there. So you're going to leave
[01:45:59.340 --> 01:46:05.340]   the local people in charge to run their country or their city or their area the way they have done in the
[01:46:05.340 --> 01:46:13.740]   in the past. He was absolutely faithful to that. In one episode in the north of Persia, modern Iran,
[01:46:13.740 --> 01:46:20.380]   his son-in-law, Tokachar, he violated that and was stealing and looting from the people who had surrendered.
[01:46:21.740 --> 01:46:28.620]   Chinggis Khan called him in, and he stripped him of his rank, and he said, "The next city,
[01:46:28.620 --> 01:46:34.860]   you go first as a common soldier." And of course, he was killed in the next battle.
[01:46:34.860 --> 01:46:39.020]   I don't know the name of the daughter. Unfortunately, I've tried to figure that out. But anyway, it was a
[01:46:39.020 --> 01:46:44.620]   close relative to him, and he was killed in the next by violating this law. So that was the law.
[01:46:45.420 --> 01:46:52.060]   So then, if the city fought, and the Mongols won, they did not kill everyone. What they did was they
[01:46:52.060 --> 01:46:57.820]   killed all the leaders. They felt like the elite had not served them well. And they usually killed the
[01:46:57.820 --> 01:47:03.900]   army, because they couldn't incorporate the army into their own. The army had failed. But the one
[01:47:03.900 --> 01:47:09.580]   thing that they valued were all the artisans, everybody who had a skill. And that skill could be
[01:47:09.580 --> 01:47:16.220]   making a pot. It could be hammering out a metal plate. It can be weaving carpets. It can be
[01:47:16.220 --> 01:47:21.180]   translating or just reading and writing. Every person with a skill was spared.
[01:47:21.180 --> 01:47:29.740]   So the killing of the people who were defeated wasn't so severe. What was truly severe was if you
[01:47:29.740 --> 01:47:35.340]   surrendered, and many of them did, and then they knew they would not be harmed. So they're not harmed.
[01:47:35.340 --> 01:47:40.780]   The Mongols go on. The Mongols are hundreds of miles away. And also, forget about the Mongols.
[01:47:40.780 --> 01:47:46.060]   Jacob's Hahn said word that we're supposed to send so many cows or sheep to help. Forget about the Mongols.
[01:47:46.060 --> 01:47:54.940]   They're far away. It's a... No. He stopped. He returned. He conquered the city. And he killed everyone.
[01:47:54.940 --> 01:47:56.860]   That's the way it worked.
[01:47:56.860 --> 01:48:03.740]   So the most drastic slaughter happens when there's an agreement and then betrayal.
[01:48:03.740 --> 01:48:10.460]   Yes. And as it turned out, I would say it was more the Middle East, what we call around Iran and
[01:48:10.460 --> 01:48:19.340]   Afghanistan, where these were the worst cases. And I would say only in Afghanistan did sometimes
[01:48:19.340 --> 01:48:27.580]   the emotion of the slaughter take over in an unfortunate way. But he had a grandson whom he
[01:48:27.580 --> 01:48:35.020]   loved very much. And that grandson traveled with him. And he had the happy childhood that Temujin had not
[01:48:35.020 --> 01:48:42.780]   had. And I think Chinggis Khan just loved that about him. But in Afghanistan, he was sent off to conquer the
[01:48:42.780 --> 01:48:50.940]   valley of Bamiyan, where the great Buddhas are actually. He was sent to Bamiyan. And as it says in the Persian
[01:48:50.940 --> 01:49:04.060]   history, you know, the thumb of fate fired the arrow that shot him down. He was killed. And for Chinggis Khan,
[01:49:04.060 --> 01:49:11.100]   he had never lost a family member, not one. None of his sons, none of his grandsons in battle,
[01:49:11.100 --> 01:49:17.660]   he had not lost them. And now to lose the most valuable grandson you have, the one that's your pride and
[01:49:17.660 --> 01:49:26.460]   joy in so many ways. And so he called the father, his own son, to him and did not tell him. He did not
[01:49:26.460 --> 01:49:33.260]   announce it to the public. And the son came. And the son didn't know why he was being summoned. And Chinggis
[01:49:33.260 --> 01:49:47.740]   said, "You have to tell me that you will not cry or moan when I tell you this. But your son is no more."
[01:49:47.740 --> 01:49:56.540]   And the father was, no one was allowed to moan. No one was allowed to cry. No one was allowed to do
[01:49:56.540 --> 01:50:07.900]   anything. He said, "Make them cry." You know, he came down on the people of Afghanistan
[01:50:07.900 --> 01:50:17.020]   so harshly. And it went on for weeks and weeks, the killing in Afghanistan. And then
[01:50:18.140 --> 01:50:25.420]   it just kind of wore itself out. He recognized that he had allowed his emotions to overcome practicality,
[01:50:25.420 --> 01:50:31.420]   and the slaughtering of these people should stop. And so he did. But that's the only time I know of that
[01:50:31.420 --> 01:50:38.540]   he really kind of lost control of his own emotions. And it's something we can all understand. But his
[01:50:38.540 --> 01:50:45.980]   response was truly extreme of, "We will not cry. We will not mourn. They will cry. They will mourn."
[01:50:45.980 --> 01:50:57.980]   So that goes against the cold, rational way he approached war, which is peace is offered
[01:50:57.980 --> 01:51:05.340]   and then betrayal is punished. I should add, he did not slaughter the people in the peaceful towns. What
[01:51:05.340 --> 01:51:11.100]   happened was the killing of the, what people thought was the heir, and he well may have been,
[01:51:11.100 --> 01:51:17.580]   of Chinggis Khan, the killing of him revitalized a lot of people's hopes. And a lot of cities revolted.
[01:51:17.580 --> 01:51:22.780]   The ones who did not revolt were not killed. But the cities who revolted, he killed them all. There
[01:51:22.780 --> 01:51:30.300]   was a mass slaughter. There are estimates that Genghis Khan and his Mongol Empire were responsible for an
[01:51:30.300 --> 01:51:38.300]   estimated 40 million deaths, approximately 10% of the world's population. So to put this number in the
[01:51:38.300 --> 01:51:43.820]   perspective of the modern day, that would be equivalent to killing about 800 million people in today's
[01:51:43.820 --> 01:51:50.140]   population. So how should we think about the brutality of numbers like these?
[01:51:50.140 --> 01:51:57.660]   The number itself is difficult to deal with. Millions of people were killed. For every family that lost
[01:51:57.660 --> 01:52:04.940]   someone, it's a total loss. There's no, it doesn't matter what the number is, it's a tremendous loss.
[01:52:04.940 --> 01:52:11.500]   And there was tremendous loss of life as in every war. I don't think we should judge him
[01:52:12.620 --> 01:52:19.820]   any differently than other conquerors in history and other countries today that fight wars, including
