
[00:00:00.000 --> 00:00:02.320]   I hate affirmative action.
[00:57:59.540 --> 00:58:03.880]   based on these kinds of groups, race in particular?
[00:58:03.880 --> 00:58:06.120]   - (sighs)
[00:58:06.120 --> 00:58:09.080]   I think there are pros and I think there are cons.
[00:58:09.080 --> 00:58:11.840]   I mean, I am myself, Glenn Lowry,
[00:58:11.840 --> 00:58:13.380]   sits before you right now,
[00:58:13.380 --> 00:58:16.720]   a black American, an African American.
[00:58:16.720 --> 00:58:18.880]   I quote, unquote, I identify as,
[00:58:18.880 --> 00:58:21.280]   you know, that's the way they talk about it nowadays.
[00:58:21.280 --> 00:58:22.880]   I identify as a black American.
[00:58:22.880 --> 00:58:26.320]   My skin is brown, my hair is coarse,
[00:58:26.320 --> 00:58:29.400]   my nose is broad relative to the way
[00:58:29.400 --> 00:58:30.960]   other people's noses look.
[00:58:30.960 --> 00:58:32.640]   My lips are thicker.
[00:58:32.640 --> 00:58:37.640]   That's a consequence of my ancestral descent
[00:58:37.640 --> 00:58:41.680]   from the human population resident
[00:58:41.680 --> 00:58:45.580]   in the African continent in millennia past.
[00:58:45.580 --> 00:58:47.720]   My race.
[00:58:47.720 --> 00:58:50.720]   Here in the United States,
[00:58:50.720 --> 00:58:53.680]   we have various quote, unquote, races
[00:58:53.680 --> 00:58:56.760]   defined crudely in the way
[00:58:56.760 --> 00:58:58.880]   that I just tried to define myself.
[00:58:59.840 --> 00:59:02.000]   - You could say, and I think there is
[00:59:02.000 --> 00:59:03.500]   a very powerful argument,
[00:59:03.500 --> 00:59:07.480]   that these are superficial differences.
[00:59:07.480 --> 00:59:09.200]   I mean, really?
[00:59:09.200 --> 00:59:11.960]   Why should it matter that your eye color
[00:59:11.960 --> 00:59:16.960]   or your hair color or the shape of the bones in your face
[00:59:16.960 --> 00:59:19.220]   or the color, the tone of your skin,
[00:59:19.220 --> 00:59:21.360]   the amount of melanin, how it is that you react
[00:59:21.360 --> 00:59:25.580]   to ultraviolet radiation in terms of your skin?
[00:59:26.840 --> 00:59:30.720]   What is that to the basis of anything?
[00:59:30.720 --> 00:59:32.280]   I mean, that's arbitrary.
[00:59:32.280 --> 00:59:33.320]   That's not meaningful.
[00:59:33.320 --> 00:59:34.680]   Could there really be meaning
[00:59:34.680 --> 00:59:38.000]   in these superficial differences among human beings?
[00:59:38.000 --> 00:59:40.960]   Isn't that an archaic or barbaric way
[00:59:40.960 --> 00:59:42.160]   of thinking about ourselves,
[00:59:42.160 --> 00:59:46.000]   to look at each other's skin color or hair texture
[00:59:46.000 --> 00:59:48.540]   and then to decide, oh, that's a black
[00:59:48.540 --> 00:59:50.440]   or that's a white or that's a Latin
[00:59:50.440 --> 00:59:53.180]   or that's an Asian or that's a whatever.
[00:59:54.240 --> 00:59:57.480]   That's something that we should outgrow,
[00:59:57.480 --> 00:59:59.300]   a person might say.
[00:59:59.300 --> 01:00:03.300]   That's a relic of a kind of tribal society,
[01:00:03.300 --> 01:00:06.840]   of a kind of pre-modern society
[01:00:06.840 --> 01:00:11.320]   where we built real structure
[01:00:11.320 --> 01:00:14.840]   on the basis of such superficial difference.
[01:00:14.840 --> 01:00:16.000]   A person could say that.
[01:00:16.000 --> 01:00:20.600]   On the other hand, I am a black American.
[01:00:20.600 --> 01:00:22.880]   I mean, that's part of my identity.
[01:00:22.880 --> 01:00:25.500]   That's part of my heritage.
[01:00:25.500 --> 01:00:29.400]   It's part of the stories that I tell myself
[01:00:29.400 --> 01:00:32.640]   about who my people are.
[01:00:32.640 --> 01:00:34.240]   Why do I need a people?
[01:00:34.240 --> 01:00:37.320]   Why do I need a narrative of descent
[01:00:37.320 --> 01:00:42.320]   in which I affiliate with a racially defined people?
[01:00:42.320 --> 01:00:45.680]   Do I really need that?
[01:00:45.680 --> 01:00:48.040]   I mean, I think that's an important question.
[01:00:48.040 --> 01:00:51.080]   In fact, this is a confession,
[01:00:51.080 --> 01:00:52.360]   think of myself as black.
[01:00:52.360 --> 01:00:55.040]   I could think of myself as simply human.
[01:00:55.040 --> 01:00:58.960]   I could not identify specifically as black.
[01:00:58.960 --> 01:01:03.160]   I could say, my eyes are brown too, so what?
[01:01:03.160 --> 01:01:04.440]   I'm a brown eye.
[01:01:04.440 --> 01:01:08.240]   I mean, I'm gonna invent a group based on my eye color.
[01:01:08.240 --> 01:01:10.360]   I weigh 290 pounds.
[01:01:10.360 --> 01:01:12.480]   I'm gonna have a body size group.
[01:01:12.480 --> 01:01:17.400]   I'm a plus 200 and that's quote, who I am, close quote.
[01:01:17.400 --> 01:01:18.800]   I don't do that.
[01:01:18.800 --> 01:01:20.000]   I came from Chicago.
[01:01:20.000 --> 01:01:23.720]   Yes, I do have a certain sense of affinity with my hometown.
[01:01:23.720 --> 01:01:26.280]   I'm a Chicago born person,
[01:01:26.280 --> 01:01:29.760]   but frankly I haven't lived in Chicago since 1979.
[01:01:29.760 --> 01:01:32.120]   That's a long time.
[01:01:32.120 --> 01:01:37.600]   I wear my Chicago origins very, very lightly.
[01:01:37.600 --> 01:01:40.120]   I would not go to war with someone from Cleveland
[01:01:40.120 --> 01:01:42.960]   or St. Louis and fight to the death
[01:01:42.960 --> 01:01:46.820]   with that St. Louis person or that Cleveland person
[01:01:46.820 --> 01:01:49.680]   based upon the fact that we come from different cities.
[01:01:49.680 --> 01:01:52.080]   - And you have even abandoned in your heart
[01:01:52.080 --> 01:01:53.560]   the Chicago Bulls.
[01:01:53.560 --> 01:01:55.960]   - There's some Chicago that's still in me, I suppose,
[01:01:55.960 --> 01:01:57.560]   but it's not very deep.
[01:01:57.560 --> 01:02:00.360]   It's not quote, who I am anymore.
[01:02:00.360 --> 01:02:02.840]   And I'm wondering, here I'm trying to pose a question.
[01:02:02.840 --> 01:02:06.040]   Why is it that being a descendant of African slaves
[01:02:06.040 --> 01:02:06.880]   should be who I am?
[01:02:06.880 --> 01:02:08.060]   So there's some answers.
[01:02:08.060 --> 01:02:12.840]   One answer is people will look at me
[01:02:12.840 --> 01:02:15.520]   and deal with me differently based upon what they see.
[01:02:15.520 --> 01:02:19.120]   I don't have control over that.
[01:02:19.120 --> 01:02:22.400]   I'm going to be perceived as a member of a group
[01:02:22.400 --> 01:02:24.960]   whether or not I elect to affiliate myself
[01:02:24.960 --> 01:02:27.840]   with that group or not.
[01:02:27.840 --> 01:02:31.640]   Therefore, I need to be mindful of the fact
[01:02:31.640 --> 01:02:36.640]   that regardless of what my internal orientation is,
[01:02:36.640 --> 01:02:40.400]   the world will perceive me in a particular way
[01:02:40.400 --> 01:02:42.480]   and will perceive me differently
[01:02:42.480 --> 01:02:44.120]   based upon the color of my skin.
[01:02:44.120 --> 01:02:46.960]   So a police officer who stops me at two o'clock
[01:02:46.960 --> 01:02:49.600]   in the morning because my taillight is out
[01:02:49.600 --> 01:02:54.120]   and ask me for my automobile registration
[01:02:54.120 --> 01:02:57.040]   and I reach quickly to the glove compartment
[01:02:57.040 --> 01:03:00.160]   to get my registration and the police officer says,
[01:03:00.160 --> 01:03:01.760]   "Show me your hands."
[01:03:01.760 --> 01:03:03.880]   And I don't quite hear what he says
[01:03:03.880 --> 01:03:07.640]   or I ignore what he says as I'm getting my document
[01:03:07.640 --> 01:03:08.740]   out of my glove compartment.
[01:03:08.740 --> 01:03:11.880]   But the police officer thinks because I have not responded
[01:03:11.880 --> 01:03:13.440]   to his demand to show my hands
[01:03:13.440 --> 01:03:15.600]   that I might be reaching for a weapon.
[01:03:15.600 --> 01:03:18.400]   And the police officer sees that I'm black
[01:03:18.400 --> 01:03:22.040]   and fears that the likelihood that I might have a weapon
[01:03:22.040 --> 01:03:25.000]   is higher because in that town at that time,
[01:03:25.000 --> 01:03:27.760]   a lot of the people who get stopped with weapons
[01:03:27.760 --> 01:03:31.700]   in their car happen to be black and male and so on.
[01:03:31.700 --> 01:03:34.960]   And he pulls his weapon and he discharges it
[01:03:34.960 --> 01:03:37.560]   and I'm bleeding out there and I'm dead now.
[01:03:37.560 --> 01:03:40.160]   And all of that is a possibility that's very real
[01:03:40.160 --> 01:03:42.420]   and it's based upon the color of my skin.
[01:03:42.420 --> 01:03:44.940]   And therefore, when he stops me,
[01:03:44.940 --> 01:03:46.940]   I keep my hands on the steering wheel
[01:03:46.940 --> 01:03:48.980]   and I don't go to the glove compartment
[01:03:48.980 --> 01:03:52.660]   and I'm fearful of the fact that he might mistake me
[01:03:52.660 --> 01:03:54.780]   for a criminal, et cetera.
[01:03:54.780 --> 01:03:58.420]   Or I walk into a high-end store, a clothing store,
[01:03:58.420 --> 01:04:00.540]   I see you're nicely dressed there, Lex.
[01:04:00.540 --> 01:04:02.100]   I'm not, but that's okay.
[01:04:02.100 --> 01:04:04.940]   I do have some good clothes at home,
[01:04:04.940 --> 01:04:07.060]   I just didn't wear them here today.
[01:04:07.060 --> 01:04:07.900]   But you know what I mean?
[01:04:07.900 --> 01:04:11.580]   And the salesman in the clothing store,
[01:04:11.580 --> 01:04:15.940]   either treats me like an old friend
[01:04:15.940 --> 01:04:19.540]   and is warm and welcoming and what can I do for you, sir?
[01:04:19.540 --> 01:04:20.980]   And let me show you this and that
[01:04:20.980 --> 01:04:22.100]   and what are you looking for?
[01:04:22.100 --> 01:04:24.220]   And what, because he thinks I'm gonna spend $1,000 there
[01:04:24.220 --> 01:04:27.520]   that day and he gonna get a 5% commission or whatever it is.
[01:04:27.520 --> 01:04:31.240]   And he either does that or he ignores me
[01:04:31.240 --> 01:04:32.540]   and looks at me with suspicion
[01:04:32.540 --> 01:04:34.520]   and thinks I might be trying to shoplift something
[01:04:34.520 --> 01:04:38.380]   or thinks I'm only gonna spend $50 and not $500
[01:04:38.380 --> 01:04:40.460]   and therefore I'm not worth his time.
[01:04:40.460 --> 01:04:42.260]   And I'm aware of the fact
[01:04:42.260 --> 01:04:44.700]   that when I go into the clothing store,
[01:04:44.700 --> 01:04:47.980]   especially the high-end places where I can buy a good suit
[01:04:47.980 --> 01:04:50.620]   or buy some really good dress shirts
[01:04:50.620 --> 01:04:54.220]   or slacks that fit me well and so on,
[01:04:54.220 --> 01:04:57.460]   I'm aware of the fact that I may not be taken seriously
[01:04:57.460 --> 01:05:00.220]   by the salesman based upon the fact
[01:05:00.220 --> 01:05:03.140]   that he's looking at me and he sees a black person.
[01:05:03.140 --> 01:05:08.060]   And therefore, I dress up before I go out to buy clothes
[01:05:08.060 --> 01:05:10.460]   to get, 'cause I wanna present myself
[01:05:10.460 --> 01:05:13.140]   as not someone who just walked in off the street
[01:05:13.140 --> 01:05:14.540]   but as one of those black people
[01:05:14.540 --> 01:05:17.340]   who is really prepared to spend some money in the store
[01:05:17.340 --> 01:05:18.820]   so that I can be treated with respect.
[01:05:18.820 --> 01:05:23.740]   And I have to carry the burden, such as it is,
[01:05:23.740 --> 01:05:28.740]   of knowing that I need to earn the being taken seriously
[01:05:28.740 --> 01:05:34.680]   by overcoming the suppositions that people may have about me
[01:05:34.680 --> 01:05:37.620]   based upon the color of my skin.
[01:05:37.620 --> 01:05:39.340]   Something like that.
[01:05:39.340 --> 01:05:43.780]   Or I ask myself, what am I gonna teach my children
[01:05:43.780 --> 01:05:46.380]   about who they are and where they come from?
[01:05:46.380 --> 01:05:50.460]   What stories am I gonna tell them about their ancestors?
[01:05:50.460 --> 01:05:52.340]   Who are their ancestors?
[01:05:52.340 --> 01:05:55.860]   Every African-American has European ancestors.
[01:05:55.860 --> 01:05:58.420]   Every black person in the United States of America,
[01:05:58.420 --> 01:06:02.660]   I think that I can say that almost without exception.
[01:06:02.660 --> 01:06:05.900]   We could go to 23andMe and look at the DNA.
[01:06:05.900 --> 01:06:07.100]   They have European ancestors.
[01:06:07.100 --> 01:06:08.460]   They're not purely African.
[01:06:08.460 --> 01:06:12.260]   That's a fact and that's a consequence
[01:06:12.260 --> 01:06:16.180]   of the experience of African-descended people
[01:06:16.180 --> 01:06:17.960]   because it's a mixed population.
[01:06:17.960 --> 01:06:21.900]   My name is Lowry, spelled L-O-U-R-Y,
[01:06:21.900 --> 01:06:25.340]   but pronounced as if it were L-O-W-E-R-Y.
[01:06:25.340 --> 01:06:28.980]   And I gather, if you trace the history of that name,
[01:06:28.980 --> 01:06:30.640]   that it's Scottish.
[01:06:30.640 --> 01:06:33.420]   So somewhere back in--
[01:06:33.420 --> 01:06:35.900]   - So you could identify as a Scot.
[01:06:35.900 --> 01:06:38.880]   - Well, or I could claim some Scottish descent,
[01:06:38.880 --> 01:06:42.180]   but I don't, I don't know who those ancestors are.
[01:06:42.180 --> 01:06:47.060]   And frankly, I don't know who my enslaved ancestors are.
[01:06:47.060 --> 01:06:49.700]   I can't trace my family history back
[01:06:49.700 --> 01:06:53.160]   very far into the 19th century.
[01:06:53.160 --> 01:06:57.940]   But so what stories do I tell my children about who we are,
[01:06:57.940 --> 01:06:59.340]   about who their ancestors are?
[01:06:59.340 --> 01:07:01.900]   I mean, I wanna tell my children some story
[01:07:01.900 --> 01:07:05.300]   and that story is gonna be colored, quote unquote,
[01:07:05.300 --> 01:07:08.100]   by my race.
[01:07:08.100 --> 01:07:10.620]   So even though it is superficial,
[01:07:10.620 --> 01:07:14.260]   and in an ideal world, you might think,
[01:07:14.260 --> 01:07:17.980]   why would human beings, I mean, I read science fiction.
[01:07:17.980 --> 01:07:19.780]   So there's this Chinese writer,
[01:07:19.780 --> 01:07:21.480]   Chixin Liu is his name.
