
[00:00:00.000 --> 00:00:01.500]   - Hi, it's Helen.
[01:30:15.700 --> 01:30:17.980]   And then I try to supplement that
[01:30:17.980 --> 01:30:20.580]   with lots of literature, et cetera, to reinforce that.
[01:30:20.580 --> 01:30:25.080]   But that's the affirmations, that's how I use them.
[01:30:25.080 --> 01:30:28.020]   Yes, I do them, not as much as I should.
[01:30:28.020 --> 01:30:31.460]   Not as much as I will, based upon your reminding me
[01:30:31.460 --> 01:30:33.820]   of the importance of them, et cetera.
[01:30:33.820 --> 01:30:38.540]   - Well, I'm looking forward to stealing a lot of that,
[01:30:38.540 --> 01:30:40.500]   and I'm inspired with my family as well
[01:30:40.500 --> 01:30:42.500]   to try to figure out how to implement that,
[01:30:42.500 --> 01:30:45.800]   just not for me, but also for my family.
[01:30:45.800 --> 01:30:47.340]   I don't know if you have time for another question,
[01:30:47.340 --> 01:30:48.820]   but it was totally different on--
[01:30:48.820 --> 01:30:49.660]   - Sure, go ahead.
[01:30:49.660 --> 01:30:52.860]   - You know, is Texas gonna secede?
[01:30:52.860 --> 01:30:53.940]   What do you think of the odds of that?
[01:30:53.940 --> 01:30:57.500]   And do you think there are, it's a good plan B potential,
[01:30:57.500 --> 01:31:01.100]   and if so, how might we do that beforehand?
[01:31:01.100 --> 01:31:03.500]   Maybe like buying a piece of property,
[01:31:03.500 --> 01:31:04.880]   do you think that might help with the residency
[01:31:04.880 --> 01:31:06.820]   at some point down the line?
[01:31:06.820 --> 01:31:08.180]   Or what are your thoughts on that?
[01:31:08.180 --> 01:31:09.820]   Because you're one of the only people,
[01:31:09.820 --> 01:31:11.140]   weird enough that I respect,
[01:31:11.140 --> 01:31:13.300]   that might actually have an opinion on this matter.
[01:31:13.300 --> 01:31:15.980]   - Yeah, it's a fun question.
[01:31:15.980 --> 01:31:18.540]   So, buying a piece of property,
[01:31:18.540 --> 01:31:21.580]   if you could do it, and it were a small,
[01:31:21.580 --> 01:31:24.860]   modest part of your life and your component,
[01:31:24.860 --> 01:31:27.580]   then absolutely, I would say, go for it.
[01:31:27.580 --> 01:31:30.460]   Because after all, isn't it fun
[01:31:30.460 --> 01:31:33.040]   to have a little flag planted in a place
[01:31:33.040 --> 01:31:37.300]   that you appreciate or that you are interested in, et cetera?
[01:31:37.300 --> 01:31:39.940]   I think what would be a more practical thing
[01:31:39.940 --> 01:31:42.860]   than necessarily buying property
[01:31:42.860 --> 01:31:47.340]   is to change, if it were appropriate,
[01:31:47.340 --> 01:31:50.400]   and again, you can't commit fraud,
[01:31:50.400 --> 01:31:55.200]   but Texas is one of the states that allows nomad residency.
[01:31:55.200 --> 01:31:57.960]   And so, you can be a resident of the state of Texas,
[01:31:57.960 --> 01:32:01.140]   if you were deeply convinced of the thesis
[01:32:01.140 --> 01:32:03.240]   that you're describing, that Texas may secede,
[01:32:03.240 --> 01:32:07.720]   and I wanna have a flag planted there,
[01:32:07.720 --> 01:32:09.940]   then you can be a resident of the state of Texas,
[01:32:09.940 --> 01:32:11.280]   with a Texas driver's license,
[01:32:11.280 --> 01:32:13.280]   a Texas mailing address, et cetera,
[01:32:13.280 --> 01:32:16.720]   even if you don't spend all of your time in Texas.
[01:32:16.720 --> 01:32:19.520]   There are a few things to be careful of.
[01:32:19.520 --> 01:32:21.720]   That's not a system that should be abused.
[01:32:21.720 --> 01:32:23.840]   So, if you live in Minnesota
[01:32:23.840 --> 01:32:25.160]   and that's where you are all the time,
[01:32:25.160 --> 01:32:26.920]   then obviously, you need to,
[01:32:26.920 --> 01:32:29.440]   then you're probably gonna,
[01:32:29.440 --> 01:32:32.080]   a lot of your stuff is gonna reflect that.
[01:32:32.080 --> 01:32:34.880]   But Texas is a state that would be relatively easy
[01:32:34.880 --> 01:32:37.240]   for many people to place a flag in.
[01:32:37.240 --> 01:32:38.680]   Again, as I said, you could be a resident
[01:32:38.680 --> 01:32:40.840]   of the state of Texas, formally, officially,
[01:32:40.840 --> 01:32:43.000]   legally with the court system, et cetera.
[01:32:43.000 --> 01:32:44.100]   You would just need to make sure
[01:32:44.100 --> 01:32:45.700]   that you weren't violating any local laws
[01:32:45.700 --> 01:32:46.840]   of where you spent more time
[01:32:46.840 --> 01:32:48.720]   if you weren't spending time in Texas.
[01:32:48.720 --> 01:32:51.000]   I think the future of Texas is very strong.
[01:32:51.000 --> 01:32:56.640]   It just seems that Texas has a great structure.
[01:32:56.640 --> 01:33:00.440]   I listened to Peter Zeihan's analysis of it,
[01:33:00.440 --> 01:33:04.180]   and he goes on and on about Texas, the future of Texas,
[01:33:04.180 --> 01:33:05.800]   and I can't argue with his comments.
[01:33:05.800 --> 01:33:07.060]   I think he's correct.
[01:33:07.060 --> 01:33:09.800]   I've said to various people, I was like,
[01:33:09.800 --> 01:33:11.600]   hey, you probably ought to move to Texas
[01:33:11.600 --> 01:33:14.360]   and get potentially involved
[01:33:14.360 --> 01:33:18.120]   into the future growth of Texas.
[01:33:18.120 --> 01:33:23.120]   The Texas Triangle is powerfully enormous growth potential,
[01:33:23.120 --> 01:33:27.280]   and the integration of Texas with Mexico,
[01:33:27.280 --> 01:33:29.320]   enormous potential, et cetera.
[01:33:29.320 --> 01:33:32.680]   So I think Texas has a very strong economic future.
[01:33:32.680 --> 01:33:36.320]   I don't think there's any chance of Texas seceding,
[01:33:36.320 --> 01:33:38.960]   and it's not that technically they couldn't
[01:33:38.960 --> 01:33:41.600]   in the sense that all the arguments for Texas secession,
[01:33:41.600 --> 01:33:44.160]   and look, we've got, we're a,
[01:33:44.160 --> 01:33:46.040]   oh, what do they call the state?
[01:33:46.040 --> 01:33:50.360]   What's the name they use for the Republic of Texas, I guess?
[01:33:50.360 --> 01:33:53.880]   Is that the name that they call Texas?
[01:33:53.880 --> 01:33:55.360]   - I'm sorry, go ahead, what was that?
[01:33:55.360 --> 01:33:57.800]   - Sorry, what is the thing that Texans call themselves?
[01:33:57.800 --> 01:33:59.200]   Like, we're not a republic,
[01:33:59.200 --> 01:34:02.160]   but they don't call themselves a state.
[01:34:02.160 --> 01:34:03.920]   They call themselves something else.
[01:34:03.920 --> 01:34:04.760]   Anyway, it doesn't matter.
[01:34:04.760 --> 01:34:06.640]   - Oh, yeah, I think it's the Republic of Texas,
[01:34:06.640 --> 01:34:08.260]   I don't think.
[01:34:08.260 --> 01:34:10.160]   - So in their state constitution,
[01:34:10.160 --> 01:34:12.640]   we've got the Republic of Texas, et cetera,
[01:34:12.760 --> 01:34:17.440]   and we're the Republic of Texas,
[01:34:17.440 --> 01:34:18.640]   we've got an independent power grid,
[01:34:18.640 --> 01:34:20.640]   we're one of the few people that could secede.
[01:34:20.640 --> 01:34:22.320]   So could they do it?
[01:34:22.320 --> 01:34:23.480]   Yeah, probably so.
[01:34:23.480 --> 01:34:27.320]   My answer on that is quite simply
[01:34:27.320 --> 01:34:31.280]   that I think the entire idea of a state
[01:34:31.280 --> 01:34:36.280]   being able to secede from the United States federal entity
[01:34:36.280 --> 01:34:38.980]   was decided in the Civil War,
[01:34:38.980 --> 01:34:40.880]   and I'm no Civil War historian,
[01:34:40.880 --> 01:34:43.200]   but as far as I can tell,
[01:34:43.200 --> 01:34:46.520]   the actions of the South to secede from the Union
[01:34:46.520 --> 01:34:48.520]   were entirely legal.
[01:34:48.520 --> 01:34:50.720]   I can't see any law that they broke
[01:34:50.720 --> 01:34:52.960]   by seceding from the South.
[01:34:52.960 --> 01:34:57.000]   As distasteful as it is to talk about slavery
[01:34:57.000 --> 01:34:59.480]   and all of the issues associated with it,
[01:34:59.480 --> 01:35:03.280]   as far as I can tell from a strict legal perspective,
[01:35:03.280 --> 01:35:06.120]   it seems persuasive to me that the South
[01:35:06.120 --> 01:35:09.200]   and the Southern states were able, legally speaking,
[01:35:09.200 --> 01:35:11.480]   to secede from the Union.
[01:35:11.480 --> 01:35:15.520]   And Abraham Lincoln, as much as we wish to lionize him
[01:35:15.520 --> 01:35:18.720]   for his anti-slavery work,
[01:35:18.720 --> 01:35:23.720]   Abraham Lincoln broke enormous swaths of law and precedent
[01:35:23.720 --> 01:35:27.340]   in order to prosecute the war against the South.
[01:35:27.340 --> 01:35:29.040]   And the war happened,
[01:35:29.040 --> 01:35:32.240]   and I think that was where it was settled,
[01:35:32.240 --> 01:35:36.200]   is that the official stance of the United States
[01:35:36.200 --> 01:35:39.560]   is basically once you're in, you ain't getting out.
[01:35:39.560 --> 01:35:42.600]   Now, I'm just shooting from the hip.
[01:35:42.600 --> 01:35:44.280]   Imagine we're having a cold drink together,
[01:35:44.280 --> 01:35:45.760]   that's what I would say.
[01:35:45.760 --> 01:35:48.220]   Maybe someone could convince me of that,
[01:35:48.220 --> 01:35:51.460]   but when I think about the clear legal arguments
[01:35:51.460 --> 01:35:54.760]   that the Southern states had for the Confederacy,
[01:35:54.760 --> 01:35:58.880]   when I think about what the process they did,
[01:35:58.880 --> 01:36:00.640]   they did secede from the Union
[01:36:00.640 --> 01:36:04.080]   to establish the Confederate States of America, et cetera,
[01:36:04.080 --> 01:36:08.680]   and then how that war was ultimately prosecuted,
[01:36:08.680 --> 01:36:12.560]   then I think the same basic thing that happened then
[01:36:12.560 --> 01:36:13.960]   would happen again.
[01:36:13.960 --> 01:36:18.040]   And so, as I understand the history of the Civil War,
[01:36:18.040 --> 01:36:23.040]   an enormous component of the Civil War was around tariffs
[01:36:23.040 --> 01:36:29.600]   and around, basically, economic policies
[01:36:29.600 --> 01:36:32.280]   of keeping the country integrated.
[01:36:32.280 --> 01:36:34.080]   A significant component of it
[01:36:34.080 --> 01:36:37.160]   was also the arguments over slavery,
[01:36:37.160 --> 01:36:39.880]   but it wasn't exclusively over slavery,
[01:36:39.880 --> 01:36:43.640]   and it wasn't exclusively over economics and tariffs
[01:36:43.640 --> 01:36:50.800]   and who had the right to collect taxes.
[01:36:50.800 --> 01:36:51.800]   When I was in high school,
[01:36:51.800 --> 01:36:54.780]   I wrote a paper for a history class
[01:36:54.780 --> 01:36:58.300]   in which I argued that the Civil War was not about slavery,
[01:36:58.300 --> 01:36:59.640]   not about ending slavery.
[01:36:59.640 --> 01:37:03.680]   And in that paper, I quoted all of President Lincoln's
[01:37:03.680 --> 01:37:05.240]   addresses in which he said,
[01:37:05.240 --> 01:37:08.900]   "I'm not interested in ending slavery."
[01:37:08.900 --> 01:37:12.000]   I now believe that I was wrong in high school, I was naive,
[01:37:12.000 --> 01:37:15.880]   and that Lincoln was engaging in political convenience
[01:37:15.880 --> 01:37:20.880]   by not fully stating publicly his ambition to end slavery,
[01:37:20.880 --> 01:37:25.040]   but simply keeping that in reserve
[01:37:25.040 --> 01:37:28.800]   as trying to basically say one thing.
[01:37:28.800 --> 01:37:30.920]   Basically the same thing Barack Obama did
[01:37:30.920 --> 01:37:33.560]   around the concept of homosexual marriage, et cetera.
[01:37:33.560 --> 01:37:35.480]   I'm gonna say one thing, do another, et cetera,
[01:37:35.480 --> 01:37:36.320]   no difference.
[01:37:36.320 --> 01:37:37.760]   So I think Lincoln did the same thing.
[01:37:37.760 --> 01:37:39.880]   But those issues were related.
[01:37:39.880 --> 01:37:42.320]   And so if Texas seceded,
[01:37:42.320 --> 01:37:44.960]   what would be the justification for that secession?
[01:37:44.960 --> 01:37:48.680]   So there would have to be a lot of change
[01:37:48.680 --> 01:37:50.720]   that would happen in order for that kind of thing
[01:37:50.720 --> 01:37:51.980]   to be supported more broadly.
[01:37:51.980 --> 01:37:54.500]   Now, I was encouraged to see that,
[01:37:54.500 --> 01:37:57.340]   was it like 20 states, 22 states or something like that,
[01:37:57.340 --> 01:38:01.680]   signed the letter about the recent scuffle at the border,
[01:38:01.680 --> 01:38:04.000]   and that a lot of other state governors
[01:38:04.000 --> 01:38:05.320]   were willing to put their names down.
[01:38:05.320 --> 01:38:10.320]   And so I think that there is enough of a pressure
[01:38:10.320 --> 01:38:13.120]   that I think the actions of the federal government
[01:38:13.120 --> 01:38:16.280]   may be somewhat limited because of some of this pressure.
[01:38:16.280 --> 01:38:20.800]   So I expect some kind of significant political change.
[01:38:20.800 --> 01:38:23.080]   And I think that this is much more,
[01:38:23.080 --> 01:38:26.720]   I'm pretty persuaded of the thesis
[01:38:26.720 --> 01:38:29.880]   that the current scenario in the United States,
[01:38:29.880 --> 01:38:33.280]   the frustration, the vitriol, the arguing, the fighting,
[01:38:33.280 --> 01:38:36.360]   is more of a turning of the age
[01:38:36.360 --> 01:38:39.400]   than it is of any specific thing.
[01:38:39.400 --> 01:38:44.400]   And I first became persuaded of that by reading George,
[01:38:44.400 --> 01:38:51.400]   the geopolitical, George Friedman's book
[01:38:51.400 --> 01:38:53.480]   called "The Storm Before the Calm."
[01:38:53.480 --> 01:38:55.440]   And he talked about the cyclical nature
[01:38:55.440 --> 01:38:57.360]   and the two trends in the United States
[01:38:57.360 --> 01:38:58.960]   that are converging on the 2020s
[01:38:58.960 --> 01:39:00.960]   and why he predicted years ago
[01:39:00.960 --> 01:39:02.860]   the 2020s were gonna be hugely,
[01:39:02.860 --> 01:39:09.080]   hugely frustrating and filled with anger and vitriol,
[01:39:09.080 --> 01:39:10.920]   et cetera, but it was gonna lead
[01:39:10.920 --> 01:39:13.440]   to a complete transformation of the political system
[01:39:13.440 --> 01:39:15.840]   and of the economic system in the United States.
[01:39:15.840 --> 01:39:18.520]   And then finally, a listener convinced me,
[01:39:18.520 --> 01:39:21.400]   and I'm halfway through the recent book,
[01:39:21.400 --> 01:39:22.680]   "The Fourth Turning is Here,"
[01:39:22.680 --> 01:39:25.580]   and I find his arguments persuasive
[01:39:25.580 --> 01:39:28.920]   of the cyclical nature of the seculum
[01:39:28.920 --> 01:39:30.120]   in "The Fourth Turning" arguments.
[01:39:30.120 --> 01:39:32.640]   I never read the original one, and I knew that I should,
[01:39:32.640 --> 01:39:34.040]   but I just got annoyed by everyone
[01:39:34.040 --> 01:39:35.520]   who went on and on about "The Fourth Turning,"
[01:39:35.520 --> 01:39:36.600]   and so I'd never read the book
[01:39:36.600 --> 01:39:37.840]   'cause I just got annoyed by the people
[01:39:37.840 --> 01:39:39.000]   who promoted the book.
[01:39:39.000 --> 01:39:40.360]   So I'm reading "The Fourth Turning is Here,"
[01:39:40.360 --> 01:39:42.680]   and it seems persuasive to me.
[01:39:42.680 --> 01:39:45.400]   So I think that we're just in kind of
[01:39:45.400 --> 01:39:48.800]   a fairly intense period in the 2020s,
[01:39:48.800 --> 01:39:51.480]   and that intensity is gonna lead
[01:39:51.480 --> 01:39:54.360]   to a transformation of the political system,
[01:39:54.360 --> 01:39:56.360]   a transformation of the economic system,
[01:39:56.360 --> 01:39:59.040]   and we're gonna emerge in the 2030s, mid-2030s,
[01:39:59.040 --> 01:40:02.840]   something like that, with a new and unrecognizable system
[01:40:02.840 --> 01:40:06.000]   because that's what happened about four or five times before
[01:40:06.000 --> 01:40:08.080]   in the American system.
[01:40:08.080 --> 01:40:11.920]   And I see good historical evidence for that
[01:40:11.920 --> 01:40:16.080]   that goes a lot farther than expecting a civil war.
[01:40:16.080 --> 01:40:17.160]   So those are my thoughts.
[01:40:17.160 --> 01:40:20.060]   Who knows, we'll sit back and watch and see what happens.
[01:40:20.060 --> 01:40:24.640]   - Thank you very much, love hearing it.
[01:40:24.640 --> 01:40:28.920]   - My pleasure, and thank you for the good questions.
[01:40:28.920 --> 01:40:32.000]   As we close, I think it was that caller who mentioned
[01:40:32.000 --> 01:40:35.160]   that I am indeed hosting a Radical Family Camp.
[01:40:35.160 --> 01:40:36.280]   If you are interested in that,
[01:40:36.280 --> 01:40:39.080]   check out the previous show that I just did,
[01:40:39.080 --> 01:40:42.080]   the one right before this show in the podcast feed.
[01:40:42.080 --> 01:40:43.640]   You can find all of the details on that,
[01:40:43.640 --> 01:40:44.640]   and if you'd like to sign up for that,
[01:40:44.640 --> 01:40:47.520]   go to www.radicalfamilycamp.com.
[01:40:47.520 --> 01:40:50.320]   Move soon, again, the early bird sale tickets
[01:40:50.320 --> 01:40:52.320]   are more than half sold out.
[01:40:52.320 --> 01:40:54.580]   So go to radicalfamilycamp.com.
[01:40:54.580 --> 01:40:56.280]   Basically, the short version is that
[01:40:56.280 --> 01:40:59.920]   we're gonna have a great three-day camp together,
[01:40:59.920 --> 01:41:03.160]   financial conversations, lifestyle conversations,
[01:41:03.160 --> 01:41:05.440]   camp activities for you, for your children, et cetera,
[01:41:05.440 --> 01:41:06.360]   and just hanging out.
[01:41:06.360 --> 01:41:09.160]   So I'll be there with my wife and all of our children,
[01:41:09.160 --> 01:41:12.260]   and very excited to start moving our relationship
[01:41:12.260 --> 01:41:14.120]   out of the digital world and into the physical world.
[01:41:14.120 --> 01:41:16.240]   We can argue about the next civil war
[01:41:16.240 --> 01:41:18.440]   and the causes of the last one, et cetera,
[01:41:18.440 --> 01:41:19.300]   around a campfire.
[01:41:19.300 --> 01:41:21.200]   I look forward to that conversation
[01:41:21.200 --> 01:41:22.960]   and hearing your input on that.
[01:41:22.960 --> 01:41:25.000]   Also, if you would like to join me on next week's show,
[01:41:25.000 --> 01:41:27.600]   go to www.patreon.com/radicalpersonalfinance,
[01:41:27.600 --> 01:41:30.040]   www.patreon.com/radicalpersonalfinance.
[01:41:30.040 --> 01:41:33.320]   Sign up there and you'll gain access to next week's show.

