
[00:00:00.000 --> 00:00:05.660]   Humans are by far the hardest part of computer graphics because millions of years of evolution
[01:48:46.900 --> 01:48:54.560]   When we're speaking, it's our whole face that's active and emoting in different ways and it's not just a mechanical motion of the pieces.
[01:48:54.560 --> 01:49:10.020]   So we spoke a bit about the magic behind the virtualized geometry system, but can you speak a little bit to Lumen and in general what it takes to dynamically light in all the complicated ways, the faces, the scenes that we discussed?
[01:49:10.240 --> 01:49:14.660]   What are some interesting things to you that made the magic of it happen?
[01:49:14.660 --> 01:49:24.600]   Lumen is a system for global illumination, meaning it's supposed to calculate the interaction of light with the entire scene in a way that mimics reality.
[01:49:25.280 --> 01:49:34.480]   The first generation of engines that did lighting just said, well, the light casts light and the surfaces it hits are lit and the surfaces it doesn't directly hit are dark.
[01:49:34.480 --> 01:49:36.920]   And that's just all the techniques we have.
[01:49:36.920 --> 01:49:41.440]   So you'd have an area that wasn't hit by any light being completely black.
[01:49:41.440 --> 01:49:45.540]   But in reality, light bounces around the entire scene dynamically.
[01:49:45.540 --> 01:49:54.900]   When a light hits a red wall, then most of the blue and green light is absorbed, but the red light reflects off and now is hitting other things.
[01:49:54.900 --> 01:50:02.140]   And so if you have a red wall with a white floor, light is bouncing off of the red wall into the floor and now the floor is being turned red.
[01:50:02.140 --> 01:50:08.920]   And so the entire bouncing of light around the scene through multiple bounces is the critical challenge to solve here.
[01:50:08.920 --> 01:50:11.280]   And again, laws of physics are known.
[01:50:11.520 --> 01:50:16.380]   And so the complete solution to this was written down in the 1950s, I think.
[01:50:16.380 --> 01:50:29.740]   The real magic here in Lumen is the system that Daniel Wright developed over the course of many years based on ideas formed over a longer period of time to calculate the way lighting bounces around at different scales.
[01:50:30.720 --> 01:50:37.020]   Ranging from, you know, the scale of miles or kilometers down to the scale of pixels and millimeters.
[01:50:37.960 --> 01:50:46.440]   And to not only calculate it at each level, but integrate it seamlessly at each level to give the appearance of completely seamless and accurate lighting.
[01:50:46.440 --> 01:50:52.840]   And previous techniques were highly specialized and artists had to make a decision for each light about exactly what it did.
[01:50:52.840 --> 01:51:01.060]   The goal, you know, and a lot of the practice with the light now is you build a scene, you place lights in it and it just works to make it that much easier.
[01:51:01.820 --> 01:51:05.380]   Yeah, I mean, we're watching, so I'd recommend people go to this blog post.
[01:51:05.380 --> 01:51:06.460]   Like, look at that.
[01:51:06.460 --> 01:51:14.760]   So dynamically, I mean, we should say that so there's the indoors and the outdoors and to be able to dynamically compute the impact of outdoor light.
[01:51:14.760 --> 01:51:15.780]   Just look at that.
[01:51:15.780 --> 01:51:18.020]   Look at how gorgeous that is.
[01:51:18.020 --> 01:51:18.540]   Yeah.
[01:51:18.540 --> 01:51:19.540]   Just the lighting.
[01:51:19.540 --> 01:51:22.840]   Like, look, we're looking now at an image of a cave.
[01:51:22.840 --> 01:51:29.380]   So external light lighting this, the intricate complexity of the insides of a cave.
[01:51:29.380 --> 01:51:30.740]   Yeah, that's right.
[01:51:31.260 --> 01:51:35.580]   Light in the real world goes through a lot of bounces and the effects of it are very, very subtle.
[01:51:35.580 --> 01:51:37.360]   But when they're not there, you miss them.
[01:51:37.360 --> 01:51:41.900]   Often a person can't point out why a scene is wrong, but they know it looks wrong.
[01:51:41.900 --> 01:51:44.760]   And it's the lack of the subtle lighting cues that we're seeing here.
[01:51:44.760 --> 01:51:52.260]   And, you know, for great, because we mentioned for great video games, but also for great films, lighting can make a film.
[01:51:52.260 --> 01:51:55.820]   And we're just looking at sort of a very dramatic lighting of a scene.
[01:51:55.820 --> 01:51:58.160]   Like, imagine stepping into the scene.
[01:51:58.780 --> 01:51:59.740]   It's exciting.
[01:51:59.740 --> 01:52:00.080]   It's terrifying.
[01:52:00.080 --> 01:52:00.660]   It's terrifying.
[01:52:00.660 --> 01:52:02.840]   And all of that has to do with light.
[01:52:02.840 --> 01:52:06.220]   The interplay between light and darkness.
[01:52:06.220 --> 01:52:07.980]   It's incredible.
[01:52:07.980 --> 01:52:09.700]   It's really, truly, truly incredible.
[01:52:09.700 --> 01:52:10.660]   Like, light is everything.
[01:52:11.100 --> 01:52:15.780]   And then to put the power of the tooling in the hands of an artist, that is really special.
[01:52:16.420 --> 01:52:22.340]   Yeah, the industry's gone through a massive evolution, and there's so many supporting systems to make this awesome.
[01:52:22.340 --> 01:52:23.840]   And always artists.
[01:52:23.840 --> 01:52:29.440]   We're looking at reflections on smooth surfaces.
[01:52:29.440 --> 01:52:30.500]   Oh, boy.
[01:52:30.500 --> 01:52:32.320]   Oh, boy.
[01:52:32.320 --> 01:52:34.400]   Look at how gorgeous that is.
[01:52:35.120 --> 01:52:35.900]   Yeah, that's right.
[01:52:35.900 --> 01:52:36.400]   Wow.
[01:52:36.400 --> 01:52:39.260]   And you have to appreciate the algorithms are doing quite a lot here.
[01:52:39.260 --> 01:52:46.520]   You can have a scene with a huge number of not just lights, but also bright objects that reflect light off of them.
[01:52:46.520 --> 01:52:50.180]   Every one of those has to be captured in the reflections in order for it to be realistic.
[01:52:50.180 --> 01:52:54.060]   And you can't calculate every photon in the scene.
[01:52:54.220 --> 01:52:56.940]   And so you need really detailed approximations.
[01:52:56.940 --> 01:52:58.200]   And that's the field of computer graphics.
[01:52:58.200 --> 01:53:03.640]   It's about increasingly effective approximations of the laws of physics, which are just totally intractable.
[01:53:03.640 --> 01:53:08.240]   But the result of that graphics is a feeling, is an experience by the viewer.
[01:53:08.240 --> 01:53:20.320]   And it's just, to me, as a fan of, well, let's say beauty in the world, it's exciting that we can create that synthetically, artificially, via graphics.
[01:53:20.320 --> 01:53:24.080]   And that just, it blows wide open the possibilities of storytelling.
[01:53:24.080 --> 01:53:30.380]   So outside of video games, a lot of people are using Unreal Engine for movies, for films.
[01:53:30.380 --> 01:53:32.580]   And big congrats.
[01:53:32.580 --> 01:53:38.280]   I saw Wars Over, a short film that was made with Unreal Engine, won an Oscar.
[01:53:38.280 --> 01:53:41.820]   So you can add that to the resume.
[01:53:41.820 --> 01:53:43.600]   So that's huge.
[01:53:43.600 --> 01:53:47.620]   You know, an Oscar-winning film made with Unreal Engine.
[01:53:47.800 --> 01:53:55.960]   So what do you see as the future of the use of Unreal Engine in creating stories in the film industry?
[01:53:55.960 --> 01:53:59.200]   Increasing capabilities and productivity.
[01:53:59.200 --> 01:54:04.220]   You know, the limiting factor in every one of these businesses is cost.
[01:54:05.300 --> 01:54:10.040]   And the more the engine can make their jobs easier, the more power that brings them.
[01:54:10.040 --> 01:54:19.920]   One of the big revolutions we've seen in Hollywood is moving away from doing computer graphics integration into a human scene with green screens,
[01:54:19.920 --> 01:54:23.320]   to moving to these large LED wall panels.
[01:54:23.320 --> 01:54:27.020]   They're displaying real-time computer graphics powered by the Unreal Engine.
[01:54:27.960 --> 01:54:29.800]   And that's a massive improvement in quality.
[01:54:29.800 --> 01:54:33.760]   You can recognize the old green screen movies because the lighting on the characters is just wrong.
[01:54:33.760 --> 01:54:37.900]   And, you know, as much as they try to fix it up, it never really works.
[01:54:37.900 --> 01:54:42.520]   When you're filming in front of an LED panel with LED light emitters in front of you as well,
[01:54:42.520 --> 01:54:48.060]   the actor not only picks up all the lighting from the actual natural scene that they're supposed to appear in in the movie,
[01:54:48.240 --> 01:54:52.280]   but they also can look around and see it, and they're aware of exactly what set they're acting in.
[01:54:52.280 --> 01:54:55.440]   And just the overall end result is that much higher.
[01:54:55.440 --> 01:55:00.080]   It's as much because the actors are able to do their jobs better seeing the scene they're in,
[01:55:00.080 --> 01:55:03.920]   because the technology is enabling a better lighting calculation
[01:55:03.920 --> 01:55:08.920]   and a better interplay of virtual light and real-world light to make the end result awesome.
[01:55:08.920 --> 01:55:12.080]   So there's a lot of excitement around generative AI.
[01:55:12.080 --> 01:55:18.440]   What do you think is the future of the interplay between what a human artist creates
[01:55:18.440 --> 01:55:22.900]   and what an AI system can create in Unreal Engine?
[01:55:22.900 --> 01:55:30.040]   I think a lot of people in the industry are overly optimistic about the rate of progress of AI for video and other things like that.
[01:55:30.040 --> 01:55:31.540]   The real problem is consistency.
[01:55:31.540 --> 01:55:33.840]   Like, spurting out an image is really high quality.
[01:55:33.840 --> 01:55:41.100]   But with video, over the course of scene, all the AI approaches have consistency issues going from one place to another.
[01:55:41.100 --> 01:55:43.360]   And I don't think that those will just be remedied easily.
