
[00:00:00.000 --> 00:00:05.240]   I write the script in December, January, Josh Arnett, Marlee Shelton, come down, fly Frank in,
[00:52:18.640 --> 00:52:22.560]   interesting case study. And you've done the same thing over and over in completely different,
[00:52:22.560 --> 00:52:27.880]   innovative ways in all the films. But El Mariachi is such a radical leap for you.
[00:52:27.880 --> 00:52:32.940]   That was crazy. That thing's held together with Scotch tape and rubber bands because of the camera I
[00:52:32.940 --> 00:52:38.300]   borrowed. You directed, you did cinematography, you did the sound.
[00:52:38.300 --> 00:52:43.040]   It's better to just say what I didn't do. I didn't act in front of the camera. Everything else I did.
[00:52:43.040 --> 00:52:49.240]   Everything else, I was the whole crew. It's just like you're doing here, except you've got sound
[00:52:49.240 --> 00:52:54.680]   recording right onto the cameras, right? Or do you have it to the system?
[00:52:54.680 --> 00:52:57.820]   Separately, but it's synced. I mean, all the modern technology.
[00:52:57.820 --> 00:52:58.900]   But it's synced, yeah. So I didn't have sync camera.
[00:52:58.900 --> 00:52:59.240]   Yep.
[00:52:59.240 --> 00:53:05.700]   So I had a camera that, it was not a sync camera. And the thing was, it was so loud,
[00:53:05.700 --> 00:53:09.320]   I would have had to blimp the shit out of it, which I didn't have a blimp. And then I would
[00:53:09.320 --> 00:53:10.140]   have needed a sound guy.
[00:53:10.260 --> 00:53:14.160]   Just to be clear, so if people don't understand this, you're shooting basically no sound.
[00:53:14.160 --> 00:53:16.060]   Because the camera sounds like this.
[00:53:16.060 --> 00:53:22.460]   It's like, it sounds like all your money's going away, first of all. So I would go like this.
[00:53:22.460 --> 00:53:24.460]   Action. You'd start running.
[00:53:24.460 --> 00:53:25.060]   Yeah.
[00:53:25.060 --> 00:53:26.560]   And I shoot my edit.
[00:53:26.560 --> 00:53:30.200]   Cut.
[00:53:30.200 --> 00:53:31.120]   Yep.
[00:53:31.120 --> 00:53:35.020]   You know, they're still running, you know, like I'm only using this part. And there's no slates.
[00:53:35.020 --> 00:53:38.660]   There's no, there's, there's guys holding up their fingers at the beginning of rolling. This
[00:53:38.660 --> 00:53:43.660]   is real seven for just a few frames. I know which real it is. And then that 10 minutes of film
[00:53:43.660 --> 00:53:50.260]   is just one shot after another. And I use almost every frame of those shots because I was cutting
[00:53:50.260 --> 00:53:55.040]   in the camera. Now, after I shoot, like, let's say, you know, tell me your name.
[00:53:55.040 --> 00:53:55.900]   Lex.
[00:53:55.900 --> 00:53:57.140]   What's your last name?
[00:53:57.140 --> 00:53:58.020]   Friedman.
[00:53:58.020 --> 00:53:59.000]   Where do you live?
[00:53:59.000 --> 00:54:00.680]   Austin, Texas.
[00:54:00.680 --> 00:54:05.320]   I would do the whole scene. Then I'll get the sound, bring the mic in close like that. Say it again.
[00:54:05.320 --> 00:54:05.980]   Lex.
[00:54:07.080 --> 00:54:09.080]   Friedman, Austin, Texas.
[00:54:09.080 --> 00:54:14.440]   That'll probably sink. Now, if you were going on and on, there's a place where it'd go out
[00:54:14.440 --> 00:54:21.900]   of sync. I hate rubbery lips. So I would cut away to the dog or to the knife or to the girl. And then
[00:54:21.900 --> 00:54:26.100]   I cut back when you're back in sync. And since these were non-actors, they say everything the
[00:54:26.100 --> 00:54:30.740]   same way each time. They would say their line just like they weren't, they weren't performing it to
[00:54:30.740 --> 00:54:33.080]   where they didn't remember how they performed the thing before. They were just talking in their
[00:54:33.080 --> 00:54:36.860]   own rhythm. So a lot of the times it's the, anytime you see anyone on camera talking,
[00:54:36.860 --> 00:54:41.280]   they're in sync with themselves. And as soon as it cuts away, they're out of sync.
[00:54:41.280 --> 00:54:45.900]   And it created this really fast cutting style that I probably wouldn't have had on such a low budget
[00:54:45.900 --> 00:54:49.340]   movie, but it was the only way to keep things in sync. So when I would shoot two people talking,
[00:54:49.340 --> 00:54:54.600]   I would make sure I'd film a couple of shots of like the dog or a stuffed cat or something,
[00:54:54.600 --> 00:54:56.840]   just so I'd have something to cut away to, to get them back in sync.
[00:54:56.840 --> 00:54:57.620]   That's so brilliant.
[00:54:57.620 --> 00:55:01.860]   And it's, I call it, it's just resourceful. It's just being very resourceful.
[00:55:01.860 --> 00:55:04.480]   And you allow it to get maybe a little bit out of sync sometimes?
[00:55:04.480 --> 00:55:08.180]   I didn't allow it, but I, oh yeah, I would let it, if I just didn't have a way to cut away.
[00:55:08.180 --> 00:55:08.500]   Right.
[00:55:08.500 --> 00:55:10.480]   And I would try to sync it as best I could.
[00:55:10.480 --> 00:55:14.300]   But we as the audience, like, do you understand where the threshold is?
[00:55:14.300 --> 00:55:14.860]   Yeah.
[00:55:14.860 --> 00:55:15.920]   Where we notice something?
[00:55:15.920 --> 00:55:16.220]   Yeah.
[00:55:16.220 --> 00:55:17.920]   It seems like you can get away with a lot.
[00:55:17.920 --> 00:55:21.480]   You can get away with, I just don't, I'm just particular about that.
[00:55:21.640 --> 00:55:26.740]   I just don't like seeing a dub movie where it just feels canned. It makes you not believe in it
[00:55:26.740 --> 00:55:32.320]   anymore. So I just cut away where the lips are just way off. I just didn't want any of that.
[00:55:32.320 --> 00:55:38.400]   I just felt like I wanted it to just be believable and there, they could be really believable if
[00:55:38.400 --> 00:55:43.120]   they were in sync, but I didn't shoot two takes of film or even two takes of audio, but just one
[00:55:43.120 --> 00:55:47.980]   take. We just went to the, and what's cool is that because I just had them go through the whole scene
[00:55:47.980 --> 00:55:52.740]   again. So I would go ahead and record them, like grabbing the bottle or any action they did opening
[00:55:52.740 --> 00:55:56.800]   the suitcase. I have all the sound effects too. I just had to sync it by hand. That's a lot of work
[00:55:56.800 --> 00:56:02.980]   for me, but I got great sound that way. Cause if I had had a sync camera, the mic would have been so
[00:56:02.980 --> 00:56:08.520]   far. We wouldn't have, we would have had to go get new sound effects, but because the camera's off,
[00:56:08.520 --> 00:56:11.740]   I could record everything close up. So there was some blessing to that.
[00:56:12.620 --> 00:56:16.380]   You, uh, and Quentin Tarantino had a great conversation about a lot of topics, but one of
[00:56:16.380 --> 00:56:20.520]   them is how to bring out the best in the actors. Like what in that El Mariachi, how do you bring
[00:56:20.520 --> 00:56:27.060]   out the best in these non-actors? And then maybe what's the thread that connects to your future
[00:56:27.060 --> 00:56:27.540]   work too?
[00:56:27.540 --> 00:56:33.360]   What really helped for those non-actors was that they just look across and it's me filming.
[00:56:33.360 --> 00:56:37.100]   They didn't feel like they're, so they're being so natural. And I think I, who played the bad
[00:56:37.100 --> 00:56:41.720]   guy, I met him in the research hospital where I was sold my body to science. He was my bunkmate.
[00:56:41.720 --> 00:56:45.280]   And I said, dude, you look kind of like Rudger Hauer. And then it's like, we saw another movie,
[00:56:45.280 --> 00:56:49.440]   man, you look like James Spader. Shit. You should be the bad guy in my movie. And it'd be cool to have
[00:56:49.440 --> 00:56:52.760]   you as the bad guy. He goes, but I don't speak Spanish. Well, that's okay. All right. And I'll
[00:56:52.760 --> 00:56:57.300]   teach you phonetically. And you're going to wear sunglasses. And if you look close, he's holding the,
[00:56:57.300 --> 00:57:01.520]   he's holding the lines here. And he's looking at the lines like that and just smiling.
[00:57:01.520 --> 00:57:06.740]   So can't believe he's getting away with this. He's smiling and he's got the sunglasses on.
[00:57:06.960 --> 00:57:08.760]   I read that somewhere in the pool. There's like a scene in the pool.
[00:57:08.760 --> 00:57:09.860]   In the pool. He's like this.
[00:57:09.860 --> 00:57:12.560]   With the sunglasses on. Oh man.
[00:57:12.560 --> 00:57:17.220]   But he was doing it phonetically. And I tell you what, he was so great. That guy, right?
[00:57:17.220 --> 00:57:17.880]   Yeah.
[00:57:17.880 --> 00:57:22.960]   When we do Desperado, I brought him back. Didn't even have to do any dialogue. Watch that movie.
[00:57:22.960 --> 00:57:27.600]   When he shows up in the opening scene, when Desperado, he's playing the guitar and the opening
[00:57:27.600 --> 00:57:32.640]   with the credits to tie it into the first movie, he shows up again. And all he has to do is light a
[00:57:32.640 --> 00:57:38.720]   cigarette. And you see this. He's so nervous because now there's a crew behind me. Now it's
[00:57:38.720 --> 00:57:44.100]   real. Before it was just me and him and it didn't feel like a real movie. So everyone gave a great
[00:57:44.100 --> 00:57:50.520]   performance. So how do you recreate that later on a big movie is just building a report, making a safe
[00:57:50.520 --> 00:57:54.160]   zone for your actors. Quentin once told me, sometimes being, you know, we're talking about
[00:57:54.160 --> 00:57:57.760]   directing is sometimes being a great director, just being a great audience, you know, being a great
[00:57:57.760 --> 00:58:01.180]   audience for them. Cause you're, you're the, you're taking the place of the audience for the
[00:58:01.180 --> 00:58:05.180]   actor. They try something. And if you're enjoying it, they know that the audience is going to enjoy
[00:58:05.180 --> 00:58:10.040]   it. Or if you're, you know, makes you cry, you know, so sometimes you just, you don't have to tell
[00:58:10.040 --> 00:58:15.080]   them a lot sometimes. And if you do have something very specific to tell them, they usually, you know,
[00:58:15.080 --> 00:58:20.440]   go with it. But I always just like to see what they do. And a lot of times they just are in the zone
[00:58:20.440 --> 00:58:23.680]   because again, they're, they're getting that flow too. You create the right environment.
